Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2e-06,22.664532,[ 5 26] ; [28 10],[14.82608696 16.17391304] ; [18.17391304 19.82608696],1
d3,1,6.9e-05,15.833768,[14 17] ; [34  4],[21.56521739  9.43478261] ; [26.43478261 11.56521739],1
a4,1,0.000187,13.956139,[ 5 26] ; [23 15],[12.57971014 18.42028986] ; [15.42028986 22.57971014],1
a5,1,0.000219,13.656715,[14 17] ; [33  5],[21.11594203  9.88405797] ; [25.88405797 12.11594203],1
d5,1,0.000826,11.182373,[21 10] ; [37  1],[26.05797101  4.94202899] ; [31.94202899  6.05797101],1
a2,1,0.005048,7.861998,[ 1 30] ; [11 27],[ 5.39130435 25.60869565] ; [ 6.60869565 31.39130435],0
p11,1,0.033107,4.540219,[24  7] ; [20 18],[19.76811594 11.23188406] ; [24.23188406 13.76811594],0
r1,1,0.070949,3.26092,[18 13] ; [29  8],[21.42647059  9.57352941] ; [25.57352941 11.42647059],0
p3,1,0.08005,3.063886,[11 20] ; [21 16],[14.58823529 16.41176471] ; [17.41176471 19.58823529],0
s4,1,0.087018,2.928693,[ 7 24] ; [16 22],[10.33333333 20.66666667] ; [12.66666667 25.33333333],0
p4,1,0.088307,2.904969,[12 19] ; [22 15],[15.5 15.5] ; [18.5 18.5],0
u1,1,0.126788,2.331394,[ 3 28] ; [ 9 29],[ 5.39130435 25.60869565] ; [ 6.60869565 31.39130435],0
a3,1,0.132402,2.264114,[16 14] ; [27 11],[18.97058824 11.02941176] ; [24.02941176 13.97058824],0
u3,1,0.183902,1.765803,[7 8] ; [8 3],[8.65384615 6.34615385] ; [6.34615385 4.65384615],0
a6,1,0.187178,1.739693,[13 18] ; [22 16],[15.72463768 15.27536232] ; [19.27536232 18.72463768],0
n3,1,0.203737,1.615385,[4 4] ; [10  3],[5.33333333 2.66666667] ; [8.66666667 4.33333333],0
p1,1,0.230644,1.436883,[ 2 28] ; [ 6 31],[ 3.58208955 26.41791045] ; [ 4.41791045 32.58208955],0
a1,1,0.26257,1.255154,[ 4 27] ; [ 2 36],[ 2.69565217 28.30434783] ; [ 3.30434783 34.69565217],0
v4,1,0.274681,1.193221,[28  1] ; [34  4],[26.8358209  2.1641791] ; [35.1641791  2.8358209],0
p10,1,0.290111,1.119108,[21  9] ; [30  7],[22.8358209  7.1641791] ; [28.1641791  8.8358209],0
p9,1,0.29545,1.094621,[22  8] ; [31  6],[23.73134328  6.26865672] ; [29.26865672  7.73134328],0
p6,1,0.370898,0.800652,[ 9 21] ; [15 22],[10.74626866 19.25373134] ; [13.25373134 23.74626866],0
n6,1,0.406949,0.687695,[23  8] ; [24 13],[21.42647059  9.57352941] ; [25.57352941 11.42647059],0
