Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.006398,7.434716,[ 6 25] ; [6 3],[ 9.3 21.7] ; [2.7 6.3],0
v3,1,0.008038,7.02509,[ 1 30] ; [3 6],[ 3.1 27.9] ; [0.9 8.1],0
a4,1,0.015669,5.839656,[ 3 28] ; [4 5],[ 5.425 25.575] ; [1.575 7.425],0
u3,1,0.019133,5.489279,[ 2 17] ; [2 1],[ 3.45454545 15.54545455] ; [0.54545455 2.45454545],0
a6,1,0.040067,4.215054,[ 9 22] ; [6 3],[11.625 19.375] ; [3.375 5.625],0
a2,1,0.05681,3.628144,[ 1 30] ; [2 7],[ 2.325 28.675] ; [0.675 8.325],0
n5,1,0.063603,3.44086,[21 10] ; [3 6],[18.6 12.4] ; [5.4 3.6],0
a5,1,0.095726,2.775349,[11 20] ; [6 3],[13.175 17.825] ; [3.825 5.175],0
b5,1,0.118701,2.43438,[15 16] ; [7 2],[17.05 13.95] ; [4.95 4.05],0
a3,1,0.15929,1.980952,[12 18] ; [6 3],[13.84615385 16.15384615] ; [4.15384615 4.84615385],0
s1,1,0.16503,1.927519,[ 2 29] ; [2 7],[ 3.1 27.9] ; [0.9 8.1],0
s3,1,0.170294,1.880357,[ 4 26] ; [3 6],[ 5.38461538 24.61538462] ; [1.61538462 7.38461538],0
n4,1,0.190891,1.710728,[18 13] ; [3 6],[16.275 14.725] ; [4.725 4.275],0
v2,1,0.21706,1.523701,[ 7 23] ; [4 5],[ 8.46153846 21.53846154] ; [2.53846154 6.46153846],0
v4,1,0.255989,1.290323,[14 17] ; [6 3],[15.5 15.5] ; [4.5 4.5],0
v1,1,0.255989,1.290323,[ 5 26] ; [3 6],[ 6.2 24.8] ; [1.8 7.2],0
a7,1,0.255989,1.290323,[14 17] ; [6 3],[15.5 15.5] ; [4.5 4.5],0
s6,1,0.282759,1.153781,[ 8 23] ; [4 5],[ 9.3 21.7] ; [2.7 6.3],0
s2,1,0.316445,1.003584,[ 3 28] ; [2 7],[ 3.875 27.125] ; [1.125 7.875],0
p2,1,0.333672,0.934595,[16 15] ; [3 6],[14.725 16.275] ; [4.275 4.725],0
n3,1,0.347756,0.881629,[10  6] ; [1 2],[9.26315789 6.73684211] ; [1.73684211 1.26315789],0
p8,1,0.352674,0.863812,[ 8 23] ; [1 8],[ 6.975 24.025] ; [2.025 6.975],0
r1,1,0.384822,0.755241,[ 9 22] ; [4 5],[10.075 20.925] ; [2.925 6.075],0
s7,1,0.468981,0.524376,[ 5 25] ; [2 5],[ 5.67567568 24.32432432] ; [1.32432432 5.67567568],0
p10,1,0.479265,0.500535,[14 16] ; [3 6],[13.07692308 16.92307692] ; [3.92307692 5.07692308],0
s8,1,0.490657,0.475086,[ 4 27] ; [2 7],[ 4.65 26.35] ; [1.35 7.65],0
p9,1,0.529249,0.395833,[15 15] ; [3 5],[14.21052632 15.78947368] ; [3.78947368 4.21052632],0
p7,1,0.563005,0.334528,[10 21] ; [2 7],[ 9.3 21.7] ; [2.7 6.3],0
b2,1,0.629412,0.232859,[ 7 11] ; [2 5],[ 6.48 11.52] ; [2.52 4.48],0
b3,1,0.629412,0.232859,[ 7 11] ; [2 5],[ 6.48 11.52] ; [2.52 4.48],0
u2,1,0.650041,0.205848,[10  9] ; [2 1],[10.36363636  8.63636364] ; [1.63636364 1.36363636],0
r4,1,0.671918,0.179367,[ 5 26] ; [2 7],[ 5.425 25.575] ; [1.575 7.425],0
b4,1,0.687098,0.162245,[22  9] ; [7 2],[22.475  8.525] ; [6.525 2.475],0
r3,1,0.718432,0.13,[18 12] ; [6 3],[18.46153846 11.53846154] ; [5.53846154 3.46153846],0
n6,1,0.769943,0.085526,[15 15] ; [4 5],[14.61538462 15.38461538] ; [4.38461538 4.61538462],0
p11,1,0.834828,0.043478,[16 15] ; [5 4],[16.275 14.725] ; [4.725 4.275],0
b1,1,0.89337,0.017967,[18 13] ; [5 4],[17.825 13.175] ; [5.175 3.825],0
p1,1,0.899563,0.01593,[ 3 28] ; [1 8],[ 3.1 27.9] ; [0.9 8.1],0
