Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,4e-06,21.437637,[9 1] ; [ 3 25],[3.15789474 6.84210526] ; [ 8.84210526 19.15789474],1
s6,1,0.001742,9.803793,[8 2] ; [ 7 22],[3.84615385 6.15384615] ; [11.15384615 17.84615385],0
d3,1,0.050802,3.81478,[7 3] ; [10 19],[4.35897436 5.64102564] ; [12.64102564 16.35897436],0
d1,1,0.076763,3.132147,[4 6] ; [ 4 25],[2.05128205 7.94871795] ; [ 5.94871795 23.05128205],0
p7,1,0.104475,2.635862,[6 4] ; [ 9 20],[3.84615385 6.15384615] ; [11.15384615 17.84615385],0
u3,1,0.115078,2.483069,[3 2] ; [ 5 16],[1.53846154 3.46153846] ; [ 6.46153846 14.53846154],0
d4,1,0.116985,2.457234,[8 2] ; [15 14],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
v3,1,0.137409,2.20674,[3 7] ; [ 3 26],[1.53846154 8.46153846] ; [ 4.46153846 24.53846154],0
v1,1,0.140758,2.169655,[4 6] ; [ 5 24],[2.30769231 7.69230769] ; [ 6.69230769 22.30769231],0
p4,1,0.157179,2.001162,[6 4] ; [10 19],[4.1025641 5.8974359] ; [11.8974359 17.1025641],0
a3,1,0.194787,1.681034,[5 5] ; [ 8 21],[3.33333333 6.66666667] ; [ 9.66666667 19.33333333],0
v2,1,0.220165,1.503297,[5 5] ; [ 8 20],[3.42105263 6.57894737] ; [ 9.57894737 18.42105263],0
s7,1,0.224114,1.477833,[3 6] ; [ 4 23],[1.75 7.25] ; [ 5.25 21.75],0
r3,1,0.224244,1.477005,[8 2] ; [17 12],[6.41025641 3.58974359] ; [18.58974359 10.41025641],0
r4,1,0.227844,1.454269,[4 6] ; [ 6 23],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
p10,1,0.258116,1.278832,[6 4] ; [11 17],[4.47368421 5.52631579] ; [12.52631579 15.47368421],0
p2,1,0.280986,1.162315,[5 5] ; [20  9],[6.41025641 3.58974359] ; [18.58974359 10.41025641],0
r1,1,0.336449,0.923914,[4 6] ; [ 7 22],[2.82051282 7.17948718] ; [ 8.17948718 20.82051282],0
b4,1,0.384437,0.756466,[5 5] ; [19 10],[6.15384615 3.84615385] ; [17.84615385 11.15384615],0
s8,1,0.388904,0.742367,[3 7] ; [ 5 24],[2.05128205 7.94871795] ; [ 5.94871795 23.05128205],0
n2,1,0.396144,0.72,[1 2] ; [9 6],[1.66666667 1.33333333] ; [8.33333333 6.66666667],0
p11,1,0.407818,0.685154,[6 4] ; [13 16],[4.87179487 5.12820513] ; [14.12820513 14.87179487],0
n4,1,0.41107,0.675703,[7 3] ; [16 13],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
b5,1,0.41107,0.675703,[7 3] ; [16 13],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
a1,1,0.417955,0.656058,[1 9] ; [ 1 28],[0.51282051 9.48717949] ; [ 1.48717949 27.51282051],0
p1,1,0.417955,0.656058,[1 9] ; [ 1 28],[0.51282051 9.48717949] ; [ 1.48717949 27.51282051],0
s1,1,0.417955,0.656058,[1 9] ; [ 1 28],[0.51282051 9.48717949] ; [ 1.48717949 27.51282051],0
p6,1,0.418796,0.65369,[3 7] ; [ 5 23],[2.10526316 7.89473684] ; [ 5.89473684 22.10526316],0
a6,1,0.463291,0.537931,[4 6] ; [ 8 21],[3.07692308 6.92307692] ; [ 8.92307692 20.07692308],0
u2,1,0.489534,0.477551,[3 2] ; [ 9 12],[2.30769231 2.69230769] ; [ 9.69230769 11.30769231],0
n5,1,0.503445,0.447667,[5 5] ; [18 11],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
a7,1,0.523593,0.40681,[3 7] ; [12 17],[3.84615385 6.15384615] ; [11.15384615 17.84615385],0
n1,1,0.61209,0.257143,[1 2] ; [ 3 12],[0.66666667 2.33333333] ; [ 3.33333333 11.66666667],0
d5,1,0.650774,0.204926,[4 6] ; [14 15],[4.61538462 5.38461538] ; [13.38461538 15.61538462],0
s4,1,0.714301,0.134019,[3 7] ; [ 7 22],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
p3,1,0.714301,0.134019,[3 7] ; [ 7 22],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
d2,1,0.714301,0.134019,[3 7] ; [ 7 22],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
p9,1,0.725622,0.123169,[4 6] ; [13 15],[4.47368421 5.52631579] ; [12.52631579 15.47368421],0
p5,1,0.750798,0.100862,[1 9] ; [ 2 27],[0.76923077 9.23076923] ; [ 2.23076923 26.76923077],0
a4,1,0.757027,0.09572,[1 9] ; [ 4 25],[1.28205128 8.71794872] ; [ 3.71794872 25.28205128],0
a8,1,0.780826,0.077419,[1 8] ; [ 4 23],[1.25 7.75] ; [ 3.75 23.25],0
v4,1,0.795397,0.067241,[7 3] ; [19 10],[6.66666667 3.33333333] ; [19.33333333  9.66666667],0
s5,1,0.844595,0.038424,[2 8] ; [ 5 24],[1.79487179 8.20512821] ; [ 5.20512821 23.79487179],0
p8,1,0.883708,0.021395,[3 7] ; [ 8 21],[2.82051282 7.17948718] ; [ 8.17948718 20.82051282],0
n6,1,0.939048,0.005847,[6 4] ; [17 12],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
b1,1,0.939048,0.005847,[6 4] ; [17 12],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
