Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.018468,5.551199,[13 24] ; [13 69],[ 8.08403361 28.91596639] ; [17.91596639 64.08403361],0
d4,1,0.022862,5.178993,[31  6] ; [53 31],[25.68595041 11.31404959] ; [58.31404959 25.68595041],0
r3,1,0.042904,4.099196,[32  5] ; [58 26],[27.52066116  9.47933884] ; [62.47933884 21.52066116],0
d2,1,0.053397,3.731444,[13 24] ; [45 38],[17.88333333 19.11666667] ; [40.11666667 42.88333333],0
b4,1,0.062358,3.473527,[28 10] ; [47 37],[23.36065574 14.63934426] ; [51.63934426 32.36065574],0
p10,1,0.079368,3.077794,[14 24] ; [18 65],[10.04958678 27.95041322] ; [21.95041322 61.04958678],0
p8,1,0.086177,2.944369,[16 22] ; [22 61],[11.9338843 26.0661157] ; [26.0661157 56.9338843],0
a4,1,0.096891,2.755979,[ 8 30] ; [30 53],[11.9338843 26.0661157] ; [26.0661157 56.9338843],0
p4,1,0.120722,2.407924,[18 19] ; [28 55],[14.18333333 22.81666667] ; [31.81666667 51.18333333],0
d5,1,0.133869,2.247052,[30  8] ; [55 29],[26.47540984 11.52459016] ; [58.52459016 25.47540984],0
a2,1,0.14762,2.09667,[ 2 36] ; [12 72],[ 4.36065574 33.63934426] ; [ 9.63934426 74.36065574],0
v4,1,0.205816,1.600616,[32  6] ; [62 22],[29.27868852  8.72131148] ; [64.72131148 19.27868852],0
s4,1,0.219196,1.509628,[ 4 34] ; [16 66],[ 6.33333333 31.66666667] ; [13.66666667 68.33333333],0
n3,1,0.229911,1.44141,[7 3] ; [18 19],[5.31914894 4.68085106] ; [19.68085106 17.31914894],0
s1,1,0.250789,1.3189,[ 1 36] ; [ 7 77],[ 2.44628099 34.55371901] ; [ 5.55371901 78.44628099],0
n5,1,0.259661,1.270561,[18 20] ; [49 35],[20.86885246 17.13114754] ; [46.13114754 37.86885246],0
n4,1,0.274929,1.191985,[20 18] ; [53 31],[22.73770492 15.26229508] ; [50.26229508 33.73770492],0
s5,1,0.285049,1.142857,[ 8 28] ; [12 72],[ 6. 30.] ; [14. 70.],0
p11,1,0.315709,1.00664,[20 18] ; [36 48],[17.44262295 20.55737705] ; [38.55737705 45.44262295],0
u3,1,0.337208,0.921019,[ 7 11] ; [21 19],[8.68965517 9.31034483] ; [19.31034483 20.68965517],0
s8,1,0.35876,0.842229,[ 9 29] ; [14 70],[ 7.16393443 30.83606557] ; [15.83606557 68.16393443],0
a6,1,0.473852,0.51298,[23 15] ; [45 39],[21.18032787 16.81967213] ; [46.81967213 37.18032787],0
s7,1,0.490865,0.47463,[ 7 29] ; [20 59],[ 8.45217391 27.54782609] ; [18.54782609 60.45217391],0
p7,1,0.493028,0.469912,[17 20] ; [33 51],[15.2892562 21.7107438] ; [34.7107438 49.2892562],0
n1,1,0.516836,0.420202,[2 7] ; [13 26],[2.8125 6.1875] ; [12.1875 26.8125],0
d1,1,0.556278,0.34619,[18 20] ; [35 49],[16.50819672 21.49180328] ; [36.49180328 47.50819672],0
n6,1,0.559512,0.34055,[25 13] ; [50 33],[23.55371901 14.44628099] ; [51.44628099 31.55371901],0
r1,1,0.568522,0.325162,[26 12] ; [53 31],[24.60655738 13.39344262] ; [54.39344262 29.60655738],0
n2,1,0.5713,0.320513,[6 4] ; [20 20],[5.2 4.8] ; [20.8 19.2],0
r4,1,0.592203,0.286917,[25 13] ; [51 33],[23.67213115 14.32786885] ; [52.32786885 31.67213115],0
