Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,36.278431,[60  4] ; [ 8 16],[49.45454545 14.54545455] ; [18.54545455  5.45454545],1
r4,1,4.5e-05,16.667668,[47 17] ; [ 7 19],[38.4 25.6] ; [15.6 10.4],1
p2,1,4.9e-05,16.493423,[50 13] ; [ 9 17],[41.76404494 21.23595506] ; [17.23595506  8.76404494],1
p11,1,5.4e-05,16.309172,[54 10] ; [11 15],[46.22222222 17.77777778] ; [18.77777778  7.22222222],1
r3,1,0.004986,7.884639,[59  5] ; [18  8],[54.75555556  9.24444444] ; [22.24444444  3.75555556],0
p7,1,0.005184,7.814016,[35 28] ; [ 6 20],[29.02247191 33.97752809] ; [11.97752809 14.02247191],0
s6,1,0.005438,7.727534,[42 21] ; [ 9 17],[36.1011236 26.8988764] ; [14.8988764 11.1011236],0
n5,1,0.008509,6.923077,[48 16] ; [12 14],[42.66666667 21.33333333] ; [17.33333333  8.66666667],0
p8,1,0.010693,6.51556,[28 34] ; [ 4 21],[22.8045977 39.1954023] ; [ 9.1954023 15.8045977],0
s2,1,0.011585,6.373273,[36 28] ; [ 7 19],[30.57777778 33.42222222] ; [12.42222222 13.57777778],0
r2,1,0.01817,5.57965,[56  6] ; [16  7],[52.51764706  9.48235294] ; [19.48235294  3.51764706],0
s5,1,0.018355,5.561977,[23 36] ; [ 3 21],[18.48192771 40.51807229] ; [ 7.51807229 16.48192771],0
p3,1,0.02341,5.137817,[35 29] ; [ 7 18],[30.20224719 33.79775281] ; [11.79775281 13.20224719],0
v4,1,0.027149,4.88131,[55  9] ; [17  9],[51.2 12.8] ; [20.8  5.2],0
s1,1,0.032675,4.562722,[ 1 63] ; [ 3 22],[ 2.87640449 61.12359551] ; [ 1.12359551 23.87640449],0
s3,1,0.054231,3.705587,[35 29] ; [ 8 17],[30.92134831 33.07865169] ; [12.07865169 12.92134831],0
b1,1,0.058237,3.586901,[23 41] ; [15 11],[27.02222222 36.97777778] ; [10.97777778 15.02222222],0
b4,1,0.068058,3.329236,[45 19] ; [13 13],[41.24444444 22.75555556] ; [16.75555556  9.24444444],0
a7,1,0.068058,3.329236,[45 19] ; [13 13],[41.24444444 22.75555556] ; [16.75555556  9.24444444],0
v1,1,0.080984,3.045048,[31 31] ; [ 7 17],[27.39534884 34.60465116] ; [10.60465116 13.39534884],0
n4,1,0.104377,2.637363,[48 16] ; [15 11],[44.8 19.2] ; [18.2  7.8],0
s8,1,0.106516,2.605168,[29 35] ; [ 7 19],[25.6 38.4] ; [10.4 15.6],0
n6,1,0.125349,2.349173,[53 11] ; [17  8],[50.33707865 13.66292135] ; [19.66292135  5.33707865],0
v3,1,0.136345,2.218726,[25 36] ; [ 6 19],[21.98837209 39.01162791] ; [ 9.01162791 15.98837209],0
p5,1,0.156148,2.011135,[ 9 54] ; [ 1 25],[ 7.07865169 55.92134831] ; [ 2.92134831 23.07865169],0
n1,1,0.171301,1.871521,[ 8 11] ; [ 3 12],[ 6.14705882 12.85294118] ; [ 4.85294118 10.14705882],0
p4,1,0.24002,1.380478,[37 27] ; [11 14],[34.51685393 29.48314607] ; [13.48314607 11.51685393],0
u1,1,0.277787,1.177885,[ 5 59] ; [ 4 22],[ 6.4 57.6] ; [ 2.6 23.4],0
n2,1,0.279041,1.171756,[14  5] ; [9 7],[12.48571429  6.51428571] ; [10.51428571  5.48571429],0
d2,1,0.288543,1.126406,[44 20] ; [20  5],[46.02247191 17.97752809] ; [17.97752809  7.02247191],0
b5,1,0.296189,1.091275,[42 22] ; [14 12],[39.82222222 24.17777778] ; [16.17777778  9.82222222],0
b2,1,0.326804,0.961523,[18 22] ; [ 6 13],[16.27118644 23.72881356] ; [ 7.72881356 11.27118644],0
b3,1,0.326804,0.961523,[18 22] ; [ 6 13],[16.27118644 23.72881356] ; [ 7.72881356 11.27118644],0
p6,1,0.333757,0.934264,[26 36] ; [ 7 16],[24.07058824 37.92941176] ; [ 8.92941176 14.07058824],0
u2,1,0.374857,0.7875,[7 7] ; [1 3],[6.22222222 7.77777778] ; [1.77777778 2.22222222],0
a1,1,0.395847,0.720906,[ 4 60] ; [ 3 23],[ 4.97777778 59.02222222] ; [ 2.02222222 23.97777778],0
n3,1,0.433273,0.614035,[12  7] ; [8 8],[10.85714286  8.14285714] ; [9.14285714 6.85714286],0
s7,1,0.46568,0.532208,[27 35] ; [ 8 15],[25.52941176 36.47058824] ; [ 9.47058824 13.52941176],0
s4,1,0.485368,0.486779,[14 50] ; [ 4 22],[12.8 51.2] ; [ 5.2 20.8],0
a3,1,0.485368,0.486779,[50 14] ; [22  4],[51.2 12.8] ; [20.8  5.2],0
d4,1,0.505315,0.443755,[63  1] ; [25  1],[62.57777778  1.42222222] ; [25.42222222  0.57777778],0
d3,1,0.539772,0.375962,[55  9] ; [21  5],[54.04444444  9.95555556] ; [21.95555556  4.04444444],0
a5,1,0.557527,0.344004,[48 16] ; [21  5],[49.06666667 14.93333333] ; [19.93333333  6.06666667],0
a8,1,0.607708,0.263526,[ 4 56] ; [ 1 25],[ 3.48837209 56.51162791] ; [ 1.51162791 24.48837209],0
a4,1,0.61069,0.259171,[32 32] ; [14 11],[33.07865169 30.92134831] ; [12.92134831 12.07865169],0
v2,1,0.648427,0.207889,[35 26] ; [13 12],[34.04651163 26.95348837] ; [13.95348837 11.04651163],0
a6,1,0.671528,0.17982,[40 24] ; [15 11],[39.11111111 24.88888889] ; [15.88888889 10.11111111],0
p1,1,0.749523,0.101932,[ 9 55] ; [ 3 23],[ 8.53333333 55.46666667] ; [ 3.46666667 22.53333333],0
u3,1,0.799846,0.064286,[8 6] ; [2 2],[7.77777778 6.22222222] ; [2.22222222 1.77777778],0
a2,1,0.95788,0.002789,[12 52] ; [ 5 21],[12.08888889 51.91111111] ; [ 4.91111111 21.08888889],0
