Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,26.317021,[117  38] ; [24 38],[100.71428571  54.28571429] ; [40.28571429 21.71428571],1
a6,1,2e-06,22.655427,[112  44] ; [23 39],[96.60550459 59.39449541] ; [38.39449541 23.60550459],1
p2,1,5.3e-05,16.353381,[123  30] ; [33 29],[111.01395349  41.98604651] ; [44.98604651 17.01395349],1
p9,1,0.000401,12.527055,[124  27] ; [36 25],[113.96226415  37.03773585] ; [46.03773585 14.96226415],1
a1,1,0.00064,11.656887,[  1 155] ; [ 6 56],[  5.00917431 150.99082569] ; [ 1.99082569 60.00917431],1
p10,1,0.003158,8.713628,[113  38] ; [33 28],[103.99056604  47.00943396] ; [42.00943396 18.99056604],0
d1,1,0.009927,6.647911,[83 73] ; [21 41],[74.42201835 81.57798165] ; [29.57798165 32.42201835],0
u1,1,0.01476,5.944931,[ 19 137] ; [ 1 61],[ 14.31192661 141.68807339] ; [ 5.68807339 56.31192661],0
d5,1,0.020372,5.37976,[122  34] ; [39 23],[115.21100917  40.78899083] ; [45.78899083 16.21100917],0
r1,1,0.028046,4.825263,[118  37] ; [38 24],[111.42857143  43.57142857] ; [44.57142857 17.42857143],0
d4,1,0.033849,4.502335,[128  28] ; [42 19],[122.21198157  33.78801843] ; [47.78801843 13.21198157],0
b1,1,0.037322,4.335648,[ 45 111] ; [27 35],[ 51.52293578 104.47706422] ; [20.47706422 41.52293578],0
p8,1,0.038265,4.293194,[73 80] ; [20 42],[66.18139535 86.81860465] ; [26.81860465 35.18139535],0
s6,1,0.046374,3.967973,[98 57] ; [29 31],[91.55813953 63.44186047] ; [35.44186047 24.55813953],0
a2,1,0.048258,3.900991,[ 26 130] ; [ 4 58],[ 21.46788991 134.53211009] ; [ 8.53211009 53.46788991],0
v3,1,0.05229,3.766474,[ 44 102] ; [10 49],[ 38.45853659 107.54146341] ; [15.54146341 43.45853659],0
v2,1,0.08162,3.032343,[79 67] ; [24 35],[73.35609756 72.64390244] ; [29.64390244 29.35609756],0
n2,1,0.082011,3.024594,[33 19] ; [23  5],[36.4 15.6] ; [19.6  8.4],0
s7,1,0.088309,2.904923,[54 96] ; [14 45],[ 48.80382775 101.19617225] ; [19.19617225 39.80382775],0
b5,1,0.088725,2.897355,[100  56] ; [32 30],[94.4587156 61.5412844] ; [37.5412844 24.4587156],0
r3,1,0.107855,2.58538,[147   8] ; [55  7],[144.28571429  10.71428571] ; [57.71428571  4.28571429],0
s1,1,0.171601,1.8689,[  4 151] ; [ 4 58],[  5.71428571 149.28571429] ; [ 2.28571429 59.71428571],0
a4,1,0.199269,1.647727,[ 44 112] ; [23 39],[ 47.94495413 108.05504587] ; [19.05504587 42.94495413],0
v4,1,0.209023,1.578183,[147   8] ; [55  6],[144.9537037  10.0462963] ; [57.0462963  3.9537037],0
