Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,25.0162,[ 68 101] ; [92 41],[89.53642384 79.46357616] ; [70.46357616 62.53642384],1
s6,1,0.001446,10.146033,[81 93] ; [88 48],[94.85806452 79.14193548] ; [74.14193548 61.85806452],0
p2,1,0.00193,9.614907,[108  68] ; [108  31],[120.68571429  55.31428571] ; [95.31428571 43.68571429],0
b3,1,0.00198,9.568351,[29 69] ; [41 37],[38.97727273 59.02272727] ; [31.02272727 46.97727273],0
b2,1,0.00198,9.568351,[29 69] ; [41 37],[38.97727273 59.02272727] ; [31.02272727 46.97727273],0
v3,1,0.003532,8.509936,[ 47 125] ; [58 76],[ 59.01960784 112.98039216] ; [45.98039216 88.01960784],0
s5,1,0.009968,6.640667,[ 36 133] ; [46 87],[ 45.88741722 123.11258278] ; [36.11258278 96.88741722],0
a7,1,0.010316,6.579489,[134  42] ; [88 52],[123.64556962  52.35443038] ; [98.35443038 41.64556962],0
p3,1,0.011382,6.404624,[ 31 145] ; [41 97],[ 40.3566879 135.6433121] ; [ 31.6433121 106.3566879],0
v4,1,0.014357,5.993669,[150  25] ; [131   8],[156.60828025  18.39171975] ; [124.39171975  14.60828025],0
s2,1,0.015909,5.812899,[ 62 113] ; [68 71],[ 72.4522293 102.5477707] ; [57.5477707 81.4522293],0
s8,1,0.019066,5.495424,[ 50 126] ; [57 82],[ 59.78412698 116.21587302] ; [47.21587302 91.78412698],0
r2,1,0.023183,5.154761,[155  18] ; [133   5],[160.20578778  12.79421222] ; [127.79421222  10.20578778],0
p7,1,0.025073,5.018806,[ 69 103] ; [70 62],[78.64473684 93.35526316] ; [60.35526316 71.64473684],0
p6,1,0.04443,4.040162,[ 23 152] ; [ 29 104],[ 29.54545455 145.45454545] ; [ 22.45454545 110.54545455],0
a4,1,0.045176,4.012071,[ 69 106] ; [71 69],[77.77777778 97.22222222] ; [62.22222222 77.77777778],0
r1,1,0.052418,3.76237,[128  48] ; [114  25],[135.21269841  40.78730159] ; [106.78730159  32.21269841],0
p9,1,0.055268,3.673979,[120  52] ; [108  28],[127.32467532  44.67532468] ; [100.67532468  35.32467532],0
b5,1,0.081772,3.029335,[100  76] ; [93 47],[107.49367089  68.50632911] ; [85.50632911 54.49367089],0
a3,1,0.087897,2.912473,[123  53] ; [109  30],[129.62539683  46.37460317] ; [102.37460317  36.62539683],0
s7,1,0.098999,2.721589,[ 57 112] ; [58 77],[ 63.93092105 105.06907895] ; [51.06907895 83.93092105],0
p12,1,0.115981,2.470766,[  5 170] ; [  9 128],[  7.8525641 167.1474359] ; [  6.1474359 130.8525641],0
u2,1,0.130872,2.282132,[25 27] ; [19 10],[28.24691358 23.75308642] ; [15.75308642 13.24691358],0
p1,1,0.138929,2.189783,[  6 168] ; [ 10 130],[  8.86624204 165.13375796] ; [  7.13375796 132.86624204],0
r3,1,0.147926,2.093506,[157  18] ; [131   8],[160.50955414  14.49044586] ; [127.49044586  11.50955414],0
s3,1,0.153186,2.040239,[81 93] ; [76 63],[87.27795527 86.72204473] ; [69.72204473 69.27795527],0
a5,1,0.162837,1.947683,[114  62] ; [101  39],[119.74683544  56.25316456] ; [95.25316456 44.74683544],0
n5,1,0.190296,1.715327,[100  74] ; [90 49],[105.62300319  68.37699681] ; [84.37699681 54.62300319],0
r4,1,0.192108,1.70138,[141  35] ; [120  20],[145.36708861  30.63291139] ; [115.63291139  24.36708861],0
a8,1,0.221244,1.496282,[ 19 148] ; [ 21 108],[ 22.56756757 144.43243243] ; [ 17.43243243 111.56756757],0
p5,1,0.298641,1.080253,[  4 172] ; [  6 132],[  5.60509554 170.39490446] ; [  4.39490446 133.60509554],0
a6,1,0.299177,1.077857,[120  56] ; [87 52],[115.65714286  60.34285714] ; [91.34285714 47.65714286],0
p11,1,0.310175,1.029932,[115  61] ; [99 41],[119.18987342  56.81012658] ; [94.81012658 45.18987342],0
s1,1,0.3132,1.017132,[  4 170] ; [  6 133],[  5.55910543 168.44089457] ; [  4.44089457 134.55910543],0
p8,1,0.330398,0.947338,[ 48 125] ; [45 92],[ 51.9 121.1] ; [41.1 95.9],0
n1,1,0.459897,0.546146,[21 38] ; [18 24],[22.78217822 36.21782178] ; [16.21782178 25.78217822],0
a1,1,0.470702,0.520327,[  7 169] ; [  8 132],[  8.35443038 167.64556962] ; [  6.64556962 133.35443038],0
n2,1,0.473222,0.514443,[41 20] ; [31 11],[42.6407767 18.3592233] ; [29.3592233 12.6407767],0
u4,1,0.476333,0.507247,[  2 174] ; [  3 137],[  2.78481013 173.21518987] ; [  2.21518987 137.78481013],0
n3,1,0.505121,0.44416,[36 23] ; [29 14],[37.59803922 21.40196078] ; [27.40196078 15.59803922],0
d2,1,0.51287,0.428207,[86 88] ; [64 76],[83.12101911 90.87898089] ; [66.87898089 73.12101911],0
s4,1,0.525183,0.403702,[ 30 145] ; [ 20 118],[ 27.95527157 147.04472843] ; [ 22.04472843 115.95527157],0
d3,1,0.543311,0.369438,[125  51] ; [95 45],[122.53164557  53.46835443] ; [97.46835443 42.53164557],0
