Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.00027,13.270833,[22  3] ; [17 23],[15. 10.] ; [24. 16.],1
s2,1,0.007661,7.111111,[14 10] ; [10 30],[ 9. 15.] ; [15. 25.],0
s7,1,0.008963,6.830198,[13 11] ; [ 8 29],[ 8.26229508 15.73770492] ; [12.73770492 24.26229508],0
s3,1,0.0238,5.109156,[16  8] ; [15 25],[11.625 12.375] ; [19.375 20.625],0
n5,1,0.037373,4.333333,[14 11] ; [12 28],[10. 15.] ; [16. 24.],0
p10,1,0.040095,4.213848,[22  3] ; [26 14],[18.46153846  6.53846154] ; [29.53846154 10.46153846],0
u2,1,0.04585,3.987093,[10  1] ; [10  8],[7.5862069 3.4137931] ; [12.4137931  5.5862069],0
p2,1,0.055859,3.65625,[23  2] ; [29 11],[20.  5.] ; [32.  8.],0
d1,1,0.076679,3.133929,[15 10] ; [15 25],[11.53846154 13.46153846] ; [18.46153846 21.53846154],0
p11,1,0.095828,2.773641,[21  4] ; [26 14],[18.07692308  6.92307692] ; [28.92307692 11.07692308],0
p9,1,0.095828,2.773641,[21  4] ; [26 14],[18.07692308  6.92307692] ; [28.92307692 11.07692308],0
v2,1,0.104426,2.636614,[10 15] ; [22 14],[13.1147541 11.8852459] ; [18.8852459 17.1147541],0
s5,1,0.104799,2.630952,[ 8 17] ; [ 6 34],[ 5.38461538 19.61538462] ; [ 8.61538462 31.38461538],0
d2,1,0.11103,2.539502,[11 14] ; [10 30],[ 8.07692308 16.92307692] ; [12.92307692 27.07692308],0
u3,1,0.119362,2.425668,[9 2] ; [9 8],[7.07142857 3.92857143] ; [10.92857143  6.07142857],0
p5,1,0.12101,2.404201,[ 3 22] ; [ 1 39],[ 1.53846154 23.46153846] ; [ 2.46153846 37.53846154],0
s4,1,0.128019,2.316364,[ 6 19] ; [ 4 36],[ 3.84615385 21.15384615] ; [ 6.15384615 33.84615385],0
d3,1,0.184751,1.758985,[19  6] ; [24 16],[16.53846154  8.46153846] ; [26.46153846 13.53846154],0
v1,1,0.223129,1.484135,[13 11] ; [15 24],[10.66666667 13.33333333] ; [17.33333333 21.66666667],0
b3,1,0.234713,1.412069,[ 7 14] ; [ 3 15],[ 5.38461538 15.61538462] ; [ 4.61538462 13.38461538],0
b2,1,0.234713,1.412069,[ 7 14] ; [ 3 15],[ 5.38461538 15.61538462] ; [ 4.61538462 13.38461538],0
b1,1,0.239261,1.384943,[15 10] ; [18 22],[12.69230769 12.30769231] ; [20.30769231 19.69230769],0
v4,1,0.268176,1.226054,[23  1] ; [35  5],[21.75  2.25] ; [36.25  3.75],0
n1,1,0.307741,1.040344,[3 1] ; [4 5],[2.15384615 1.84615385] ; [4.84615385 4.15384615],0
p6,1,0.316423,1.003675,[11 14] ; [12 26],[ 9.12698413 15.87301587] ; [13.87301587 24.12698413],0
a8,1,0.333393,0.935673,[ 2 22] ; [ 1 35],[ 1.2 22.8] ; [ 1.8 34.2],0
b4,1,0.38813,0.744792,[11 14] ; [22 18],[12.69230769 12.30769231] ; [20.30769231 19.69230769],0
p7,1,0.412367,0.671966,[18  4] ; [29 11],[16.67741935  5.32258065] ; [30.32258065  9.67741935],0
a6,1,0.470072,0.521806,[16  9] ; [29 11],[17.30769231  7.69230769] ; [27.69230769 12.30769231],0
n3,1,0.505985,0.442361,[3 1] ; [5 4],[2.46153846 1.53846154] ; [5.53846154 3.46153846],0
n4,1,0.526293,0.401544,[12 13] ; [16 24],[10.76923077 14.23076923] ; [17.23076923 22.76923077],0
a4,1,0.598941,0.276596,[ 6 19] ; [12 28],[ 6.92307692 18.07692308] ; [11.07692308 28.92307692],0
p4,1,0.602773,0.270833,[16  9] ; [23 17],[15. 10.] ; [24. 16.],0
a2,1,0.691017,0.157986,[ 4 21] ; [ 5 35],[ 3.46153846 21.53846154] ; [ 5.53846154 34.46153846],0
p12,1,0.733335,0.116071,[ 1 24] ; [ 1 39],[ 0.76923077 24.23076923] ; [ 1.23076923 38.76923077],0
a5,1,0.747081,0.104,[16  9] ; [24 16],[15.38461538  9.61538462] ; [24.61538462 15.38461538],0
p1,1,0.786383,0.073446,[ 2 23] ; [ 4 36],[ 2.30769231 22.69230769] ; [ 3.69230769 36.30769231],0
b5,1,0.803612,0.061839,[17  8] ; [26 14],[16.53846154  8.46153846] ; [26.46153846 13.53846154],0
u1,1,0.851708,0.034946,[ 1 24] ; [ 2 38],[ 1.15384615 23.84615385] ; [ 1.84615385 38.15384615],0
r2,1,0.858898,0.031605,[20  4] ; [34  6],[20.25  3.75] ; [33.75  6.25],0
d4,1,0.863063,0.029748,[18  7] ; [28 12],[17.69230769  7.30769231] ; [28.30769231 11.69230769],0
a7,1,0.865036,0.028889,[17  8] ; [28 12],[17.30769231  7.69230769] ; [27.69230769 12.30769231],0
p3,1,0.875315,0.024621,[12 13] ; [20 20],[12.30769231 12.69230769] ; [19.69230769 20.30769231],0
s1,1,0.87864,0.023315,[ 1 23] ; [ 2 38],[ 1.125 22.875] ; [ 1.875 38.125],0
v3,1,0.885549,0.020718,[ 8 16] ; [12 26],[ 7.74193548 16.25806452] ; [12.25806452 25.74193548],0
d5,1,0.888943,0.0195,[19  6] ; [31  9],[19.23076923  5.76923077] ; [30.76923077  9.23076923],0
a3,1,0.937108,0.006226,[14 11] ; [22 18],[13.84615385 11.15384615] ; [22.15384615 17.84615385],0
r3,1,0.94133,0.005417,[23  2] ; [37  3],[23.07692308  1.92307692] ; [36.92307692  3.07692308],0
r4,1,1.0,0.0,[20  5] ; [32  8],[20.  5.] ; [32.  8.],0
r1,1,1.0,0.0,[20  5] ; [32  8],[20.  5.] ; [32.  8.],0
