Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.029225,4.754286,[ 3 18] ; [3 2],[ 4.84615385 16.15384615] ; [1.15384615 3.84615385],0
r4,1,0.039406,4.24329,[ 4 20] ; [3 2],[ 5.79310345 18.20689655] ; [1.20689655 3.79310345],0
s8,1,0.039406,4.24329,[ 4 20] ; [3 2],[ 5.79310345 18.20689655] ; [1.20689655 3.79310345],0
p10,1,0.053925,3.715033,[ 8 16] ; [4 1],[ 9.93103448 14.06896552] ; [2.06896552 2.93103448],0
p9,1,0.053925,3.715033,[ 8 16] ; [4 1],[ 9.93103448 14.06896552] ; [2.06896552 2.93103448],0
p6,1,0.069832,3.286957,[ 2 21] ; [2 3],[ 3.28571429 19.71428571] ; [0.71428571 4.28571429],0
u3,1,0.073638,3.2,[3 9] ; [3 1],[4.5 7.5] ; [1.5 2.5],0
s2,1,0.074653,3.177629,[ 5 19] ; [3 2],[ 6.62068966 17.37931034] ; [1.37931034 3.62068966],0
p4,1,0.082142,3.021995,[ 9 15] ; [4 1],[10.75862069 13.24137931] ; [2.24137931 2.75862069],0
p11,1,0.118648,2.435079,[10 14] ; [4 1],[11.5862069 12.4137931] ; [2.4137931 2.5862069],0
n3,1,0.124541,2.359259,[8 2] ; [1 2],[6.92307692 3.07692308] ; [2.07692308 0.92307692],0
p8,1,0.186978,1.741272,[ 7 17] ; [3 2],[ 8.27586207 15.72413793] ; [1.72413793 3.27586207],0
b1,1,0.186978,1.741272,[17  7] ; [2 3],[15.72413793  8.27586207] ; [3.27586207 1.72413793],0
p12,1,0.203708,1.615586,[ 1 23] ; [1 4],[ 1.65517241 22.34482759] ; [0.34482759 4.65517241],0
s4,1,0.203708,1.615586,[ 1 23] ; [1 4],[ 1.65517241 22.34482759] ; [0.34482759 4.65517241],0
a8,1,0.218065,1.517057,[ 1 22] ; [1 4],[ 1.64285714 21.35714286] ; [0.35714286 4.64285714],0
a3,1,0.219786,1.505769,[12 12] ; [1 4],[10.75862069 13.24137931] ; [2.24137931 2.75862069],0
a7,1,0.285982,1.13844,[13 11] ; [4 1],[14.06896552  9.93103448] ; [2.93103448 2.06896552],0
b3,1,0.347465,0.882692,[ 3 12] ; [1 1],[ 3.52941176 11.47058824] ; [0.47058824 1.52941176],0
b2,1,0.347465,0.882692,[ 3 12] ; [1 1],[ 3.52941176 11.47058824] ; [0.47058824 1.52941176],0
b5,1,0.352732,0.863603,[15  9] ; [2 3],[14.06896552  9.93103448] ; [2.93103448 2.06896552],0
n6,1,0.352732,0.863603,[ 9 15] ; [3 2],[ 9.93103448 14.06896552] ; [2.06896552 2.93103448],0
v4,1,0.363698,0.825084,[14 10] ; [4 1],[14.89655172  9.10344828] ; [3.10344828 1.89655172],0
r1,1,0.363698,0.825084,[10 14] ; [1 4],[ 9.10344828 14.89655172] ; [1.89655172 3.10344828],0
p3,1,0.392742,0.730435,[ 5 18] ; [2 3],[ 5.75 17.25] ; [1.25 3.75],0
n2,1,0.416448,0.660317,[6 4] ; [1 2],[5.38461538 4.61538462] ; [1.61538462 1.38461538],0
a1,1,0.435819,0.607265,[ 2 22] ; [1 4],[ 2.48275862 21.51724138] ; [0.51724138 4.48275862],0
p2,1,0.453889,0.560921,[15  9] ; [4 1],[15.72413793  8.27586207] ; [3.27586207 1.72413793],0
s3,1,0.532528,0.389565,[ 6 17] ; [2 3],[ 6.57142857 16.42857143] ; [1.42857143 3.57142857],0
a6,1,0.564144,0.332579,[11 13] ; [3 2],[11.5862069 12.4137931] ; [2.4137931 2.5862069],0
p7,1,0.564144,0.332579,[11 13] ; [3 2],[11.5862069 12.4137931] ; [2.4137931 2.5862069],0
n1,1,0.630701,0.231111,[2 8] ; [1 2],[2.30769231 7.69230769] ; [0.69230769 2.30769231],0
r3,1,0.676531,0.174058,[17  7] ; [4 1],[17.37931034  6.62068966] ; [3.62068966 1.37931034],0
n4,1,0.775404,0.081404,[ 8 16] ; [2 3],[ 8.27586207 15.72413793] ; [1.72413793 3.27586207],0
v1,1,0.775404,0.081404,[ 8 16] ; [2 3],[ 8.27586207 15.72413793] ; [1.72413793 3.27586207],0
a5,1,0.811414,0.056931,[11 13] ; [2 3],[10.75862069 13.24137931] ; [2.24137931 2.75862069],0
d5,1,0.811414,0.056931,[13 11] ; [3 2],[13.24137931 10.75862069] ; [2.75862069 2.24137931],0
d2,1,0.812126,0.056494,[ 6 18] ; [1 4],[ 5.79310345 18.20689655] ; [1.20689655 3.79310345],0
v3,1,0.857541,0.032222,[ 4 20] ; [1 4],[ 4.13793103 19.86206897] ; [0.86206897 4.13793103],0
d3,1,0.916528,0.010985,[15  9] ; [3 2],[14.89655172  9.10344828] ; [3.10344828 1.89655172],0
b4,1,0.916528,0.010985,[15  9] ; [3 2],[14.89655172  9.10344828] ; [3.10344828 1.89655172],0
