Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,48.583555,[98  5] ; [ 5 11],[89.1512605 13.8487395] ; [13.8487395  2.1512605],1
p2,1,9e-06,19.733872,[96  8] ; [9 8],[90.24793388 13.75206612] ; [14.75206612  2.24793388],1
s2,1,0.002,9.549433,[76 28] ; [ 6 11],[70.47933884 33.52066116] ; [11.52066116  5.47933884],0
r4,1,0.003484,8.534926,[98  7] ; [12  5],[94.67213115 10.32786885] ; [15.32786885  1.67213115],0
p7,1,0.005046,7.86296,[71 30] ; [ 6 11],[65.90677966 35.09322034] ; [11.09322034  5.90677966],0
v4,1,0.00934,6.756706,[101   3] ; [14  3],[98.84297521  5.15702479] ; [16.15702479  0.84297521],0
s8,1,0.018628,5.536134,[57 48] ; [ 4 13],[52.5 52.5] ; [8.5 8.5],0
p11,1,0.020398,5.377549,[83 22] ; [9 8],[79.18032787 25.81967213] ; [12.81967213  4.18032787],0
s6,1,0.02286,5.179081,[93 10] ; [12  5],[90.125 12.875] ; [14.875  2.125],0
r3,1,0.025506,4.989197,[97  7] ; [13  4],[94.54545455  9.45454545] ; [15.45454545  1.54545455],0
d2,1,0.027219,4.876896,[50 55] ; [13  4],[54.22131148 50.77868852] ; [8.77868852 8.22131148],0
p6,1,0.029814,4.72,[54 50] ; [ 4 13],[49.85123967 54.14876033] ; [8.14876033 8.85123967],0
b3,1,0.036648,4.366695,[29 33] ; [ 2 11],[25.62666667 36.37333333] ; [5.37333333 7.62666667],0
b2,1,0.036648,4.366695,[29 33] ; [ 2 11],[25.62666667 36.37333333] ; [5.37333333 7.62666667],0
p8,1,0.040258,4.20697,[59 46] ; [ 5 12],[55.08196721 49.91803279] ; [8.91803279 8.08196721],0
r2,1,0.046471,3.964445,[100   5] ; [14  3],[98.1147541  6.8852459] ; [15.8852459  1.1147541],0
p4,1,0.052036,3.774608,[72 33] ; [7 9],[68.55371901 36.44628099] ; [10.44628099  5.55371901],0
s1,1,0.052037,3.774587,[ 5 97] ; [ 3 14],[ 6.85714286 95.14285714] ; [ 1.14285714 15.85714286],0
n6,1,0.066227,3.374139,[92 13] ; [12  5],[89.50819672 15.49180328] ; [14.49180328  2.50819672],0
d4,1,0.069273,3.300166,[91 13] ; [12  5],[88.52892562 15.47107438] ; [14.47107438  2.52892562],0
v1,1,0.078649,3.092597,[54 49] ; [ 5 12],[50.64166667 52.35833333] ; [8.35833333 8.64166667],0
s3,1,0.0798,3.068979,[76 27] ; [9 8],[72.95833333 30.04166667] ; [12.04166667  4.95833333],0
d3,1,0.105742,2.616736,[76 29] ; [9 8],[73.1557377 31.8442623] ; [11.8442623  5.1557377],0
d1,1,0.106925,2.599097,[65 40] ; [ 7 10],[61.96721311 43.03278689] ; [10.03278689  6.96721311],0
r1,1,0.107976,2.583598,[85 19] ; [11  6],[82.51239669 21.48760331] ; [13.48760331  3.51239669],0
