Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.001143,10.580145,[8 2] ; [ 45 105],[3.3125 6.6875] ; [ 49.6875 100.3125],0
p3,1,0.003381,8.589679,[7 3] ; [ 40 111],[2.91925466 7.08074534] ; [ 44.08074534 106.91925466],0
d2,1,0.025446,4.993305,[8 2] ; [65 84],[4.59119497 5.40880503] ; [68.40880503 80.59119497],0
s6,1,0.06034,3.528022,[8 2] ; [73 75],[5.12658228 4.87341772] ; [75.87341772 72.12658228],0
s5,1,0.114785,2.487071,[5 5] ; [ 38 104],[2.82894737 7.17105263] ; [ 40.17105263 101.82894737],0
d3,1,0.124731,2.356885,[6 4] ; [54 97],[3.72670807 6.27329193] ; [56.27329193 94.72670807],0
s8,1,0.154044,2.031746,[1 9] ; [ 47 103],[3. 7.] ; [ 45. 105.],0
b1,1,0.159069,1.983057,[7 3] ; [71 80],[4.8447205 5.1552795] ; [73.1552795 77.8447205],0
p7,1,0.173527,1.852205,[6 4] ; [57 92],[3.96226415 6.03773585] ; [59.03773585 89.96226415],0
r2,1,0.196004,1.671901,[7 3] ; [128  22],[8.4375 1.5625] ; [126.5625  23.4375],0
v1,1,0.260169,1.267857,[6 4] ; [61 85],[4.29487179 5.70512821] ; [62.70512821 83.29487179],0
p2,1,0.262443,1.255825,[7 2] ; [89 62],[5.4 3.6] ; [90.6 60.4],0
a6,1,0.276476,1.18433,[6 4] ; [64 87],[4.34782609 5.65217391] ; [65.65217391 85.34782609],0
p9,1,0.303139,1.060336,[8 2] ; [94 53],[6.49681529 3.50318471] ; [95.50318471 51.49681529],0
b4,1,0.374649,0.788186,[7 3] ; [84 67],[5.65217391 4.34782609] ; [85.34782609 65.65217391],0
v3,1,0.386708,0.749268,[4 6] ; [ 39 104],[2.81045752 7.18954248] ; [ 40.18954248 102.81045752],0
p10,1,0.389581,0.74025,[7 3] ; [83 65],[5.69620253 4.30379747] ; [84.30379747 63.69620253],0
d1,1,0.389851,0.739408,[5 5] ; [55 96],[3.72670807 6.27329193] ; [56.27329193 94.72670807],0
r4,1,0.39047,0.737479,[8 2] ; [101  50],[6.77018634 3.22981366] ; [102.22981366  48.77018634],0
r3,1,0.419047,0.652985,[9 1] ; [120  31],[8.01242236 1.98757764] ; [120.98757764  30.01242236],0
v4,1,0.421106,0.647227,[7 3] ; [120  29],[7.98742138 2.01257862] ; [119.01257862  29.98742138],0
u1,1,0.449652,0.571528,[1 9] ; [  7 144],[0.49689441 9.50310559] ; [  7.50310559 143.49689441],0
n6,1,0.493741,0.468363,[8 2] ; [104  45],[7.04402516 2.95597484] ; [104.95597484  44.04402516],0
s2,1,0.494686,0.466318,[3 7] ; [61 88],[4.02515723 5.97484277] ; [59.97484277 89.02515723],0
b5,1,0.581002,0.304617,[6 4] ; [77 74],[5.1552795 4.8447205] ; [77.8447205 73.1552795],0
p6,1,0.592788,0.286011,[1 8] ; [ 27 122],[1.59493671 7.40506329] ; [ 26.40506329 122.59493671],0
r1,1,0.595445,0.28192,[7 3] ; [93 58],[6.21118012 3.78881988] ; [93.78881988 57.21118012],0
b2,1,0.612988,0.255847,[3 6] ; [42 58],[3.71559633 5.28440367] ; [41.28440367 58.71559633],0
b3,1,0.612988,0.255847,[3 6] ; [42 58],[3.71559633 5.28440367] ; [41.28440367 58.71559633],0
s1,1,0.622295,0.242655,[1 9] ; [  9 139],[0.63291139 9.36708861] ; [  9.36708861 138.63291139],0
p1,1,0.681828,0.168076,[1 9] ; [ 10 141],[0.68322981 9.31677019] ; [ 10.31677019 140.68322981],0
d5,1,0.742996,0.107511,[7 3] ; [98 53],[6.52173913 3.47826087] ; [98.47826087 52.52173913],0
p11,1,0.774475,0.082098,[7 3] ; [99 52],[6.58385093 3.41614907] ; [99.41614907 51.58385093],0
d4,1,0.795628,0.067086,[7 3] ; [99 51],[6.625 3.375] ; [99.375 50.625],0
u2,1,0.818634,0.052579,[1 2] ; [20 30],[1.18867925 1.81132075] ; [19.81132075 30.18867925],0
a4,1,0.822876,0.050108,[4 6] ; [65 84],[4.33962264 5.66037736] ; [64.66037736 84.33962264],0
a3,1,0.828327,0.047023,[7 3] ; [100  50],[6.6875 3.3125] ; [100.3125  49.6875],0
a8,1,0.84444,0.038501,[1 8] ; [ 13 129],[0.83443709 8.16556291] ; [ 13.16556291 128.83443709],0
v2,1,0.874636,0.024892,[4 6] ; [54 90],[3.76623377 6.23376623] ; [54.23376623 89.76623377],0
a2,1,0.93882,0.005891,[1 9] ; [ 14 137],[0.93167702 9.06832298] ; [ 14.06832298 136.93167702],0
a5,1,0.947394,0.004353,[6 4] ; [89 62],[5.90062112 4.09937888] ; [89.09937888 61.90062112],0
s3,1,0.950845,0.0038,[5 5] ; [73 76],[4.90566038 5.09433962] ; [73.09433962 75.90566038],0
s7,1,0.985866,0.000314,[4 6] ; [56 85],[3.97350993 6.02649007] ; [56.02649007 84.97350993],0
