Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4e-06,21.178638,[10 27] ; [37 11],[20.45882353 16.54117647] ; [26.54117647 21.45882353],1
p11,1,1.9e-05,18.332472,[ 6 31] ; [30 18],[15.67058824 21.32941176] ; [20.32941176 27.67058824],1
p4,1,6.9e-05,15.834264,[ 4 33] ; [25 23],[12.62352941 24.37647059] ; [16.37647059 31.62352941],1
p10,1,8.5e-05,15.452803,[10 27] ; [33 14],[18.94047619 18.05952381] ; [24.05952381 22.94047619],1
p9,1,0.000139,14.513369,[10 25] ; [34 14],[18.55421687 16.44578313] ; [25.44578313 22.55421687],1
n6,1,0.001668,9.883599,[12 24] ; [32 15],[19.08433735 16.91566265] ; [24.91566265 22.08433735],0
r3,1,0.001786,9.757218,[ 8 29] ; [26 21],[14.97619048 22.02380952] ; [19.02380952 27.97619048],0
p7,1,0.003148,8.719692,[ 6 30] ; [22 24],[12.29268293 23.70731707] ; [15.70731707 30.29268293],0
a1,1,0.003701,8.425173,[ 8 29] ; [ 1 47],[ 3.91764706 33.08235294] ; [ 5.08235294 42.91764706],0
d2,1,0.005012,7.875,[18 18] ; [10 38],[12. 24.] ; [16. 32.],0
p3,1,0.008114,7.008045,[ 5 32] ; [19 29],[10.44705882 26.55294118] ; [13.55294118 34.44705882],0
p6,1,0.009046,6.813657,[ 1 35] ; [11 37],[ 5.14285714 30.85714286] ; [ 6.85714286 41.14285714],0
s6,1,0.009113,6.80048,[ 4 33] ; [17 31],[ 9.14117647 27.85882353] ; [11.85882353 36.14117647],0
p8,1,0.014177,6.015915,[ 6 30] ; [20 28],[11.14285714 24.85714286] ; [14.85714286 33.14285714],0
s1,1,0.018774,5.522437,[ 6 31] ; [ 1 47],[ 3.04705882 33.95294118] ; [ 3.95294118 44.04705882],0
a2,1,0.018774,5.522437,[ 6 31] ; [ 1 47],[ 3.04705882 33.95294118] ; [ 3.95294118 44.04705882],0
p1,1,0.028408,4.803109,[ 7 30] ; [ 2 46],[ 3.91764706 33.08235294] ; [ 5.08235294 42.91764706],0
s7,1,0.028507,4.797146,[ 6 28] ; [19 28],[10.49382716 23.50617284] ; [14.50617284 32.49382716],0
s2,1,0.035681,4.412269,[ 5 32] ; [16 32],[ 9.14117647 27.85882353] ; [11.85882353 36.14117647],0
a4,1,0.038764,4.271186,[15 21] ; [10 38],[10.71428571 25.28571429] ; [14.28571429 33.71428571],0
a6,1,0.038989,4.261348,[23 14] ; [19 29],[18.28235294 18.71764706] ; [23.71764706 24.28235294],0
s4,1,0.06295,3.457911,[ 4 33] ; [13 35],[ 7.4 29.6] ; [ 9.6 38.4],0
s5,1,0.063788,3.436054,[ 2 35] ; [ 9 38],[ 4.8452381 32.1547619] ; [ 6.1547619 40.8452381],0
s8,1,0.068009,3.330436,[ 3 34] ; [11 37],[ 6.09411765 30.90588235] ; [ 7.90588235 40.09411765],0
b3,1,0.083265,3.0,[12 15] ; [ 6 21],[ 9. 18.] ; [ 9. 18.],0
b2,1,0.083265,3.0,[12 15] ; [ 6 21],[ 9. 18.] ; [ 9. 18.],0
d1,1,0.087264,2.924144,[13 24] ; [ 9 39],[ 9.57647059 27.42352941] ; [12.42352941 35.57647059],0
u3,1,0.088508,2.901297,[ 2 13] ; [10 16],[ 4.3902439 10.6097561] ; [ 7.6097561 18.3902439],0
a5,1,0.103794,2.646259,[22 15] ; [20 28],[18.28235294 18.71764706] ; [23.71764706 24.28235294],0
n4,1,0.119194,2.427882,[24 13] ; [23 25],[20.45882353 16.54117647] ; [26.54117647 21.45882353],0
a3,1,0.137641,2.204138,[22 14] ; [21 26],[18.65060241 17.34939759] ; [24.34939759 22.65060241],0
v3,1,0.149426,2.078104,[ 7 30] ; [ 4 44],[ 4.78823529 32.21176471] ; [ 6.21176471 41.78823529],0
n2,1,0.160739,1.967256,[ 8 12] ; [13  8],[10.24390244  9.75609756] ; [10.75609756 10.24390244],0
u2,1,0.174144,1.846902,[ 4 11] ; [13 14],[6.07142857 8.92857143] ; [10.92857143 16.07142857],0
n5,1,0.22661,1.462015,[26 11] ; [27 20],[23.3452381 13.6547619] ; [29.6547619 17.3452381],0
n1,1,0.278912,1.172386,[10 10] ; [ 7 14],[ 8.29268293 11.70731707] ; [ 8.70731707 12.29268293],0
b1,1,0.290478,1.117406,[22 15] ; [23 25],[19.58823529 17.41176471] ; [25.41176471 22.58823529],0
n3,1,0.412325,0.672088,[ 7 13] ; [10 11],[ 8.29268293 11.70731707] ; [ 8.70731707 12.29268293],0
b5,1,0.418707,0.653941,[16 21] ; [25 23],[17.84705882 19.15294118] ; [23.15294118 24.84705882],0
a8,1,0.490244,0.475991,[ 3 34] ; [ 2 43],[ 2.25609756 34.74390244] ; [ 2.74390244 42.25609756],0
d3,1,0.565651,0.330015,[15 22] ; [22 25],[16.29761905 20.70238095] ; [20.70238095 26.29761905],0
