Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000419,12.444822,[103  46] ; [13 22],[93.93478261 55.06521739] ; [22.06521739 12.93478261],1
b1,1,0.00063,11.686525,[51 98] ; [23 12],[59.92391304 89.07608696] ; [14.07608696 20.92391304],1
r4,1,0.003164,8.710535,[107  42] ; [16 19],[99.60326087 49.39673913] ; [23.39673913 11.60326087],0
v3,1,0.004253,8.172314,[50 96] ; [ 3 30],[ 43.22905028 102.77094972] ; [ 9.77094972 23.22905028],0
n5,1,0.007717,7.097964,[103  45] ; [16 19],[96.24043716 51.75956284] ; [22.75956284 12.24043716],0
u3,1,0.053138,3.739582,[22 39] ; [9 5],[25.21333333 35.78666667] ; [5.78666667 8.21333333],0
r2,1,0.054021,3.712036,[122  23] ; [23 10],[118.11797753  26.88202247] ; [26.88202247  6.11797753],0
b4,1,0.059262,3.557914,[94 55] ; [16 19],[89.07608696 59.92391304] ; [20.92391304 14.07608696],0
p9,1,0.077743,3.111463,[123  23] ; [25 10],[119.38121547  26.61878453] ; [28.61878453  6.38121547],0
p10,1,0.077803,3.110208,[111  34] ; [21 13],[106.9273743  38.0726257] ; [25.0726257  8.9273743],0
p3,1,0.080734,3.050062,[70 79] ; [10 23],[65.49450549 83.50549451] ; [14.50549451 18.49450549],0
v4,1,0.091779,2.842887,[133  15] ; [27  7],[130.10989011  17.89010989] ; [29.89010989  4.10989011],0
p8,1,0.108982,2.568915,[67 80] ; [10 23],[62.88333333 84.11666667] ; [14.11666667 18.88333333],0
p2,1,0.110119,2.552506,[114  34] ; [21 12],[110.38674033  37.61325967] ; [24.61325967  8.38674033],0
s4,1,0.135556,2.227693,[ 26 123] ; [10 25],[ 29.15217391 119.84782609] ; [ 6.84782609 28.15217391],0
b3,1,0.158549,1.988009,[29 54] ; [ 5 20],[26.12962963 56.87037037] ; [ 7.87037037 17.12962963],0
b2,1,0.158549,1.988009,[29 54] ; [ 5 20],[26.12962963 56.87037037] ; [ 7.87037037 17.12962963],0
p11,1,0.187539,1.736848,[114  35] ; [23 12],[110.94021739  38.05978261] ; [26.05978261  8.94021739],0
n1,1,0.19367,1.689473,[16 31] ; [7 6],[18.01666667 28.98333333] ; [4.98333333 8.01666667],0
a6,1,0.222804,1.486222,[81 68] ; [23 12],[84.2173913 64.7826087] ; [19.7826087 15.2173913],0
s3,1,0.233144,1.421579,[68 80] ; [20 15],[71.16939891 76.83060109] ; [16.83060109 18.16939891],0
d2,1,0.244115,1.356675,[52 96] ; [16 19],[54.99453552 93.00546448] ; [13.00546448 21.99453552],0
p5,1,0.309022,1.034851,[ 17 130] ; [ 2 33],[ 15.34615385 131.65384615] ; [ 3.65384615 31.34615385],0
u2,1,0.325008,0.968688,[26 35] ; [8 6],[27.65333333 33.34666667] ; [6.34666667 7.65333333],0
a7,1,0.350438,0.871871,[93 55] ; [19 16],[90.57923497 57.42076503] ; [21.42076503 13.57923497],0
v1,1,0.378334,0.776109,[60 84] ; [11 22],[57.76271186 86.23728814] ; [13.23728814 19.76271186],0
d5,1,0.391848,0.7332,[108  40] ; [23 12],[105.94535519  42.05464481] ; [25.05464481  9.94535519],0
a2,1,0.392293,0.731823,[ 14 135] ; [ 5 30],[ 15.38586957 133.61413043] ; [ 3.61413043 31.38586957],0
n2,1,0.404147,0.695953,[36 11] ; [13  2],[37.14516129  9.85483871] ; [11.85483871  3.14516129],0
d3,1,0.431051,0.619989,[85 63] ; [17 17],[82.94505495 65.05494505] ; [19.05494505 14.94505495],0
n3,1,0.459416,0.547317,[33 14] ; [12  3],[34.11290323 12.88709677] ; [10.88709677  4.11290323],0
a1,1,0.47209,0.51708,[  8 141] ; [ 3 32],[  8.9076087 140.0923913] ; [ 2.0923913 32.9076087],0
p7,1,0.476156,0.507655,[76 70] ; [20 14],[77.86666667 68.13333333] ; [18.13333333 15.86666667],0
s2,1,0.499389,0.456234,[63 86] ; [17 18],[64.7826087 84.2173913] ; [15.2173913 19.7826087],0
p1,1,0.531696,0.391149,[ 12 136] ; [ 4 31],[ 12.93989071 135.06010929] ; [ 3.06010929 31.93989071],0
p12,1,0.550077,0.357179,[  8 140] ; [ 1 33],[  7.31868132 140.68131868] ; [ 1.68131868 32.31868132],0
s5,1,0.59034,0.289814,[ 36 104] ; [ 7 26],[ 34.79768786 105.20231214] ; [ 8.20231214 24.79768786],0
s6,1,0.606845,0.264795,[81 63] ; [18 17],[79.6424581 64.3575419] ; [19.3575419 15.6424581],0
v2,1,0.699579,0.14891,[65 80] ; [14 20],[63.99441341 81.00558659] ; [15.00558659 18.99441341],0
d4,1,0.829213,0.046531,[108  41] ; [26  9],[108.51086957  40.48913043] ; [25.48913043  9.51086957],0
a8,1,0.860171,0.031031,[ 15 125] ; [ 4 30],[ 15.28735632 124.71264368] ; [ 3.71264368 30.28735632],0
s8,1,0.868547,0.027392,[ 49 100] ; [11 24],[ 48.58695652 100.41304348] ; [11.41304348 23.58695652],0
b5,1,0.886215,0.020476,[96 53] ; [23 12],[96.36413043 52.63586957] ; [22.63586957 12.36413043],0
p6,1,0.890157,0.019073,[48 97] ; [11 21],[48.33333333 96.66666667] ; [10.66666667 21.33333333],0
a5,1,0.89258,0.018236,[79 70] ; [19 16],[79.35869565 69.64130435] ; [18.64130435 16.35869565],0
a3,1,0.895324,0.017311,[87 61] ; [21 14],[87.3442623 60.6557377] ; [20.6557377 14.3442623],0
s1,1,0.902522,0.015,[  5 144] ; [ 1 33],[  4.8852459 144.1147541] ; [ 1.1147541 32.8852459],0
u1,1,0.935398,0.00657,[  8 141] ; [ 2 33],[  8.09782609 140.90217391] ; [ 1.90217391 33.09782609],0
p4,1,0.943349,0.00505,[73 75] ; [17 17],[73.18681319 74.81318681] ; [16.81318681 17.18681319],0
s7,1,0.944328,0.004876,[53 88] ; [13 21],[53.17714286 87.82285714] ; [12.82285714 21.17714286],0
a4,1,0.948951,0.004099,[ 46 103] ; [11 24],[ 46.1576087 102.8423913] ; [10.8423913 24.1576087],0
d1,1,0.950584,0.003841,[63 86] ; [15 20],[63.16304348 85.83695652] ; [14.83695652 20.16304348],0
