Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3.5e-05,17.141874,[54 91] ; [32 12],[65.97883598 79.02116402] ; [20.02116402 23.97883598],1
p1,1,0.000179,14.043264,[  4 149] ; [ 8 37],[  9.27272727 143.72727273] ; [ 2.72727273 42.27272727],1
p8,1,0.000605,11.75927,[ 40 109] ; [24 20],[49.40932642 99.59067358] ; [14.59067358 29.40932642],1
p6,1,0.001203,10.486301,[ 18 134] ; [14 29],[ 24.94358974 127.05641026] ; [ 7.05641026 35.94358974],0
s8,1,0.023753,5.112605,[ 53 100] ; [24 21],[59.5 93.5] ; [17.5 27.5],0
s5,1,0.034895,4.450323,[ 34 112] ; [17 26],[ 39.3968254 106.6031746] ; [11.6031746 31.3968254],0
v1,1,0.044783,4.026795,[56 93] ; [24 20],[61.76165803 87.23834197] ; [18.23834197 25.76165803],0
a7,1,0.112514,2.518552,[116  36] ; [29 16],[111.87817259  40.12182741] ; [33.12182741 11.87817259],0
p10,1,0.114196,2.495172,[106  46] ; [36  8],[110.12244898  41.87755102] ; [31.87755102 12.12244898],0
s7,1,0.134869,2.23555,[58 89] ; [22 20],[62.22222222 84.77777778] ; [17.77777778 24.22222222],0
v3,1,0.205202,1.604959,[49 95] ; [20 25],[52.57142857 91.42857143] ; [16.42857143 28.57142857],0
n1,1,0.205602,1.602127,[22 35] ; [6 4],[23.82089552 33.17910448] ; [4.17910448 5.82089552],0
u2,1,0.212107,1.556985,[21 13] ; [3 5],[19.42857143 14.57142857] ; [4.57142857 3.42857143],0
n2,1,0.248158,1.333646,[36 23] ; [8 2],[37.62318841 21.37681159] ; [6.37681159 3.62318841],0
n3,1,0.273155,1.200836,[36 22] ; [8 2],[37.52941176 20.47058824] ; [6.47058824 3.52941176],0
r3,1,0.313984,1.013843,[142  10] ; [40  5],[140.42639594  11.57360406] ; [41.57360406  3.42639594],0
a6,1,0.326136,0.96418,[118  34] ; [31 13],[115.55102041  36.44897959] ; [33.44897959 10.55102041],0
b1,1,0.352685,0.863772,[ 53 100] ; [19 26],[55.63636364 97.36363636] ; [16.36363636 28.63636364],0
p2,1,0.356044,0.8518,[101  52] ; [33 12],[103.54545455  49.45454545] ; [30.45454545 14.54545455],0
a3,1,0.363315,0.826402,[119  34] ; [37  7],[121.15736041  31.84263959] ; [34.84263959  9.15736041],0
p12,1,0.403217,0.698711,[  6 146] ; [ 3 40],[  7.01538462 144.98461538] ; [ 1.98461538 41.01538462],0
n4,1,0.416044,0.661463,[105  48] ; [33 11],[107.17766497  45.82233503] ; [30.82233503 13.17766497],0
b2,1,0.420803,0.648072,[31 53] ; [14 17],[32.86956522 51.13043478] ; [12.13043478 18.86956522],0
b3,1,0.420803,0.648072,[31 53] ; [14 17],[32.86956522 51.13043478] ; [12.13043478 18.86956522],0
a2,1,0.421204,0.646954,[ 48 105] ; [17 28],[ 50.22727273 102.77272727] ; [14.77272727 30.22727273],0
a5,1,0.46594,0.531588,[118  35] ; [37  8],[119.77272727  33.22727273] ; [35.22727273  9.77272727],0
d2,1,0.470031,0.521904,[105  45] ; [34 11],[106.92307692  43.07692308] ; [32.07692308 12.92307692],0
d3,1,0.509959,0.434152,[131  21] ; [37  8],[129.62436548  22.37563452] ; [38.37563452  6.62436548],0
p5,1,0.534183,0.386428,[  4 148] ; [ 2 43],[  4.62944162 147.37055838] ; [ 1.37055838 43.62944162],0
p9,1,0.535128,0.384645,[111  37] ; [35  9],[112.54166667  35.45833333] ; [33.45833333 10.54166667],0
v2,1,0.574795,0.314726,[79 64] ; [27 18],[80.62765957 62.37234043] ; [25.37234043 19.62765957],0
a1,1,0.587387,0.294443,[  6 147] ; [ 1 44],[  5.40909091 147.59090909] ; [ 1.59090909 43.40909091],0
u3,1,0.62503,0.238861,[18 16] ; [5 3],[18.61904762 15.38095238] ; [4.38095238 3.61904762],0
b5,1,0.657618,0.19643,[104  49] ; [29 16],[102.77272727  50.22727273] ; [30.22727273 14.77272727],0
b4,1,0.658695,0.195113,[94 59] ; [26 19],[92.72727273 60.27272727] ; [27.27272727 17.72727273],0
d4,1,0.670896,0.180556,[148   2] ; [44  1],[147.69230769   2.30769231] ; [44.30769231  0.69230769],0
u1,1,0.701002,0.147431,[ 30 123] ; [10 35],[ 30.90909091 122.09090909] ; [ 9.09090909 35.90909091],0
r1,1,0.715812,0.13254,[122  30] ; [35 10],[121.13705584  30.86294416] ; [35.86294416  9.13705584],0
v4,1,0.844985,0.038228,[137  15] ; [41  4],[137.34010152  14.65989848] ; [40.65989848  4.34010152],0
a8,1,0.848354,0.036565,[ 19 120] ; [ 5 35],[ 18.63687151 120.36312849] ; [ 5.36312849 34.63687151],0
n6,1,0.869756,0.026886,[120  33] ; [34 10],[119.60406091  33.39593909] ; [34.39593909  9.60406091],0
s2,1,0.886585,0.020342,[66 86] ; [19 26],[65.58375635 86.41624365] ; [19.41624365 25.58375635],0
r4,1,0.900013,0.015787,[128  25] ; [38  7],[128.27272727  24.72727273] ; [37.72727273  7.27272727],0
p11,1,0.907774,0.01342,[104  49] ; [31 14],[104.31818182  48.68181818] ; [30.68181818 14.31818182],0
s6,1,0.915789,0.011181,[81 70] ; [24 20],[81.30769231 69.69230769] ; [23.69230769 20.30769231],0
d5,1,0.9173,0.010782,[149   3] ; [44  1],[148.91370558   3.08629442] ; [44.08629442  0.91370558],0
n5,1,0.918694,0.01042,[98 54] ; [28 16],[97.71428571 54.28571429] ; [28.28571429 15.71428571],0
s1,1,0.926509,0.008508,[  3 147] ; [ 1 44],[  3.07692308 146.92307692] ; [ 0.92307692 44.07692308],0
a4,1,0.948611,0.004154,[87 65] ; [26 19],[87.18781726 64.81218274] ; [25.81218274 19.18781726],0
s3,1,0.98075,0.000582,[78 74] ; [23 22],[77.92893401 74.07106599] ; [23.07106599 21.92893401],0
s4,1,1.0,0.0,[ 20 130] ; [ 6 39],[ 20. 130.] ; [ 6. 39.],0
