Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.003975,8.295251,[83 10] ; [7 5],[79.71428571 13.28571429] ; [10.28571429  1.71428571],0
r1,1,0.004579,8.038647,[73 19] ; [5 7],[69. 23.] ; [9. 3.],0
s8,1,0.006377,7.440587,[46 46] ; [ 1 11],[41.57692308 50.42307692] ; [5.42307692 6.57692308],0
u3,1,0.020562,5.36358,[24  9] ; [1 4],[21.71052632 11.28947368] ; [3.28947368 1.71052632],0
p9,1,0.027833,4.838366,[67 25] ; [5 7],[63.69230769 28.30769231] ; [8.30769231 3.69230769],0
p2,1,0.033987,4.495375,[78 15] ; [7 5],[75.28571429 17.71428571] ; [9.71428571 2.28571429],0
s7,1,0.038276,4.292698,[50 33] ; [3 8],[46.79787234 36.20212766] ; [6.20212766 4.79787234],0
r3,1,0.054597,3.694357,[85  7] ; [9 3],[83.15384615  8.84615385] ; [10.84615385  1.15384615],0
r2,1,0.054597,3.694357,[85  7] ; [9 3],[83.15384615  8.84615385] ; [10.84615385  1.15384615],0
d5,1,0.061,3.509986,[76 17] ; [7 5],[73.51428571 19.48571429] ; [9.48571429 2.51428571],0
p10,1,0.074389,3.183415,[55 36] ; [4 8],[52.12621359 38.87378641] ; [6.87378641 5.12621359],0
n5,1,0.079997,3.064957,[62 30] ; [5 7],[59.26923077 32.73076923] ; [7.73076923 4.26923077],0
n6,1,0.082729,3.010448,[74 18] ; [7 5],[71.65384615 20.34615385] ; [9.34615385 2.65384615],0
d1,1,0.12159,2.396718,[53 40] ; [4 8],[50.48571429 42.51428571] ; [6.51428571 5.48571429],0
s2,1,0.154094,2.031252,[58 34] ; [5 7],[55.73076923 36.26923077] ; [7.26923077 4.73076923],0
d4,1,0.179118,1.804924,[71 22] ; [7 5],[69.08571429 23.91428571] ; [8.91428571 3.08571429],0
v2,1,0.206116,1.598501,[43 48] ; [8 4],[45.05825243 45.94174757] ; [5.94174757 6.05825243],0
u2,1,0.208967,1.578571,[17 17] ; [1 4],[15.69230769 18.30769231] ; [2.30769231 2.69230769],0
p8,1,0.257469,1.282317,[42 51] ; [3 8],[40.24038462 52.75961538] ; [4.75961538 6.24038462],0
n4,1,0.267172,1.231212,[61 31] ; [6 6],[59.26923077 32.73076923] ; [7.73076923 4.26923077],0
a4,1,0.360293,0.83687,[44 49] ; [4 8],[42.51428571 50.48571429] ; [5.48571429 6.51428571],0
s5,1,0.405962,0.690594,[35 52] ; [3 8],[33.73469388 53.26530612] ; [4.26530612 6.73469388],0
a7,1,0.416928,0.658959,[65 28] ; [7 5],[63.77142857 29.22857143] ; [8.22857143 3.77142857],0
n2,1,0.481819,0.494743,[19  9] ; [2 2],[18.375  9.625] ; [2.625 1.375],0
a2,1,0.489981,0.476568,[24 69] ; [ 2 10],[23.02857143 69.97142857] ; [2.97142857 9.02857143],0
d3,1,0.521094,0.411727,[70 23] ; [8 4],[69.08571429 23.91428571] ; [8.91428571 3.08571429],0
p3,1,0.568474,0.325243,[54 39] ; [8 4],[54.91428571 38.08571429] ; [7.08571429 4.91428571],0
s4,1,0.57523,0.31401,[22 70] ; [ 2 10],[21.23076923 70.76923077] ; [2.76923077 9.23076923],0
a5,1,0.610254,0.259806,[63 30] ; [9 3],[63.77142857 29.22857143] ; [8.22857143 3.77142857],0
v1,1,0.63654,0.223296,[45 47] ; [5 7],[44.23076923 47.76923077] ; [5.76923077 6.23076923],0
a6,1,0.646052,0.210914,[53 40] ; [6 6],[52.25714286 40.74285714] ; [6.74285714 5.25714286],0
n3,1,0.673005,0.178108,[18 10] ; [3 1],[18.375  9.625] ; [2.625 1.375],0
s6,1,0.706135,0.142169,[70 20] ; [8 3],[69.5049505 20.4950495] ; [8.4950495 2.5049505],0
p1,1,0.711759,0.136526,[11 81] ; [ 1 11],[10.61538462 81.38461538] ; [ 1.38461538 10.61538462],0
p5,1,0.717699,0.130708,[12 81] ; [ 1 10],[11.625 81.375] ; [1.375 9.625],0
a3,1,0.751251,0.100483,[58 34] ; [7 5],[57.5 34.5] ; [7.5 4.5],0
b5,1,0.771662,0.084217,[58 35] ; [8 4],[58.45714286 34.54285714] ; [7.54285714 4.45714286],0
n1,1,0.787642,0.072562,[12 16] ; [2 2],[12.25 15.75] ; [1.75 2.25],0
b4,1,0.805733,0.060484,[50 43] ; [6 6],[49.6 43.4] ; [6.4 5.6],0
b1,1,0.818775,0.052496,[51 42] ; [7 5],[51.37142857 41.62857143] ; [6.62857143 5.37142857],0
s1,1,0.821901,0.05067,[ 6 85] ; [ 1 11],[ 6.18446602 84.81553398] ; [ 0.81553398 11.18446602],0
a8,1,0.856191,0.032842,[ 8 72] ; [ 1 11],[ 7.82608696 72.17391304] ; [ 1.17391304 10.82608696],0
p7,1,0.873691,0.025272,[52 41] ; [7 5],[52.25714286 40.74285714] ; [6.74285714 5.25714286],0
s3,1,0.900346,0.015681,[56 37] ; [7 5],[55.8 37.2] ; [7.2 4.8],0
p6,1,0.923334,0.009261,[37 55] ; [5 7],[37.15384615 54.84615385] ; [4.84615385 7.15384615],0
b2,1,0.92757,0.008263,[12 39] ; [2 6],[12.10169492 38.89830508] ; [1.89830508 6.10169492],0
b3,1,0.92757,0.008263,[12 39] ; [2 6],[12.10169492 38.89830508] ; [1.89830508 6.10169492],0
d2,1,0.972034,0.001229,[47 46] ; [6 6],[46.94285714 46.05714286] ; [6.05714286 5.94285714],0
v3,1,0.98429,0.000388,[33 57] ; [4 7],[32.97029703 57.02970297] ; [4.02970297 6.97029703],0
