Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.024387,5.066883,[ 3 19] ; [3 2],[ 4.88888889 17.11111111] ; [1.11111111 3.88888889],0
v1,1,0.027532,4.857112,[ 6 16] ; [4 1],[ 8.14814815 13.85185185] ; [1.85185185 3.14814815],0
p10,1,0.114306,2.493656,[13  9] ; [1 4],[11.40740741 10.59259259] ; [2.59259259 2.40740741],0
a7,1,0.114306,2.493656,[ 9 13] ; [4 1],[10.59259259 11.40740741] ; [2.40740741 2.59259259],0
d3,1,0.222994,1.485,[11 11] ; [4 1],[12.22222222  9.77777778] ; [2.77777778 2.22222222],0
s5,1,0.233613,1.418727,[ 1 21] ; [1 4],[ 1.62962963 20.37037037] ; [0.37037037 4.62962963],0
r4,1,0.233613,1.418727,[ 1 21] ; [1 4],[ 1.62962963 20.37037037] ; [0.37037037 4.62962963],0
a6,1,0.238821,1.38754,[ 7 15] ; [3 2],[ 8.14814815 13.85185185] ; [1.85185185 3.14814815],0
p3,1,0.289471,1.122078,[ 4 18] ; [2 3],[ 4.88888889 17.11111111] ; [1.11111111 3.88888889],0
d1,1,0.289471,1.122078,[ 4 18] ; [2 3],[ 4.88888889 17.11111111] ; [1.11111111 3.88888889],0
r1,1,0.295722,1.093388,[10 12] ; [1 4],[ 8.96296296 13.03703704] ; [2.03703704 2.96296296],0
p8,1,0.34509,0.891429,[ 9 12] ; [1 4],[ 8.07692308 12.92307692] ; [1.92307692 3.07692308],0
p11,1,0.382143,0.763797,[ 9 13] ; [1 4],[ 8.14814815 13.85185185] ; [1.85185185 3.14814815],0
p2,1,0.438058,0.601364,[13  9] ; [2 3],[12.22222222  9.77777778] ; [2.77777778 2.22222222],0
r2,1,0.438058,0.601364,[13  9] ; [2 3],[12.22222222  9.77777778] ; [2.77777778 2.22222222],0
b1,1,0.483522,0.490909,[14  8] ; [4 1],[14.66666667  7.33333333] ; [3.33333333 1.66666667],0
s2,1,0.483522,0.490909,[ 2 20] ; [1 4],[ 2.44444444 19.55555556] ; [0.55555556 4.44444444],0
s8,1,0.483522,0.490909,[ 2 20] ; [1 4],[ 2.44444444 19.55555556] ; [0.55555556 4.44444444],0
a2,1,0.483522,0.490909,[ 2 20] ; [1 4],[ 2.44444444 19.55555556] ; [0.55555556 4.44444444],0
s7,1,0.549185,0.358779,[ 5 14] ; [2 3],[ 5.54166667 13.45833333] ; [1.45833333 3.54166667],0
b4,1,0.556812,0.345255,[12 10] ; [2 3],[11.40740741 10.59259259] ; [2.59259259 2.40740741],0
n1,1,0.591208,0.288462,[4 9] ; [1 1],[4.33333333 8.66666667] ; [0.66666667 1.33333333],0
p9,1,0.618757,0.247619,[11 10] ; [2 3],[10.5 10.5] ; [2.5 2.5],0
b5,1,0.686239,0.163187,[11 11] ; [3 2],[11.40740741 10.59259259] ; [2.59259259 2.40740741],0
d5,1,0.686239,0.163187,[11 11] ; [3 2],[11.40740741 10.59259259] ; [2.59259259 2.40740741],0
v4,1,0.726095,0.122727,[15  7] ; [3 2],[14.66666667  7.33333333] ; [3.33333333 1.66666667],0
a4,1,0.737644,0.112208,[ 6 16] ; [1 4],[ 5.7037037 16.2962963] ; [1.2962963 3.7037037],0
a3,1,0.879193,0.023102,[14  8] ; [3 2],[13.85185185  8.14814815] ; [3.14814815 1.85185185],0
p4,1,0.879193,0.023102,[ 8 14] ; [2 3],[ 8.14814815 13.85185185] ; [1.85185185 3.14814815],0
d2,1,0.89466,0.017532,[ 5 17] ; [1 4],[ 4.88888889 17.11111111] ; [1.11111111 3.88888889],0
p7,1,0.90748,0.013506,[ 9 12] ; [2 3],[ 8.88461538 12.11538462] ; [2.11538462 2.88461538],0
n3,1,0.919154,0.010302,[6 7] ; [1 1],[6.06666667 6.93333333] ; [0.93333333 1.06666667],0
n2,1,0.919154,0.010302,[7 6] ; [1 1],[6.93333333 6.06666667] ; [1.06666667 0.93333333],0
v2,1,0.924731,0.008926,[ 4 18] ; [1 4],[ 4.07407407 17.92592593] ; [0.92592593 4.07407407],0
s4,1,0.924731,0.008926,[ 4 18] ; [1 4],[ 4.07407407 17.92592593] ; [0.92592593 4.07407407],0
a5,1,0.97021,0.001395,[ 9 13] ; [2 3],[ 8.96296296 13.03703704] ; [2.03703704 2.96296296],0
n6,1,0.97021,0.001395,[ 9 13] ; [2 3],[ 8.96296296 13.03703704] ; [2.03703704 2.96296296],0
u2,1,1.0,0.0,[4 4] ; [1 1],[4. 4.] ; [1. 1.],0
