Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,5e-06,20.842653,[ 88 152] ; [99 67],[110.54187192 129.45812808] ; [76.45812808 89.54187192],1
u1,1,0.001241,10.427871,[ 26 219] ; [ 38 133],[ 37.69230769 207.30769231] ; [ 26.30769231 144.69230769],0
r1,1,0.003999,8.284436,[173  72] ; [141  29],[185.37349398  59.62650602] ; [128.62650602  41.37349398],0
a5,1,0.010318,6.579172,[167  78] ; [136  35],[178.44951923  66.55048077] ; [124.55048077  46.44951923],0
r3,1,0.018902,5.510517,[222  21] ; [165   5],[227.70217918  15.29782082] ; [159.29782082  10.70217918],0
d5,1,0.020243,5.390799,[184  60] ; [145  26],[193.43614458  50.56385542] ; [135.56385542  35.43614458],0
a3,1,0.051818,3.781633,[160  85] ; [127  44],[169.02644231  75.97355769] ; [117.97355769  53.02644231],0
d3,1,0.062122,3.479807,[155  88] ; [124  47],[163.76086957  79.23913043] ; [115.23913043  55.76086957],0
a6,1,0.070677,3.26722,[157  88] ; [124  47],[165.49278846  79.50721154] ; [115.50721154  55.49278846],0
n4,1,0.09284,2.82442,[174  71] ; [134  37],[181.39423077  63.60576923] ; [126.60576923  44.39423077],0
a7,1,0.099824,2.708345,[169  75] ; [131  40],[176.38554217  67.61445783] ; [123.61445783  47.38554217],0
p3,1,0.107047,2.597288,[106 138] ; [88 83],[114.0626506 129.9373494] ; [79.9373494 91.0626506],0
d4,1,0.136788,2.21373,[192  53] ; [144  27],[197.88461538  47.11538462] ; [138.11538462  32.88461538],0
r4,1,0.142817,2.147344,[207  38] ; [153  18],[212.01923077  32.98076923] ; [147.98076923  23.01923077],0
d2,1,0.14929,2.079487,[101 143] ; [83 88],[108.18313253 135.81686747] ; [75.81686747 95.18313253],0
d1,1,0.155459,2.017856,[126 119] ; [100  71],[133.10096154 111.89903846] ; [92.89903846 78.10096154],0
p1,1,0.162774,1.948261,[ 20 225] ; [  8 163],[ 16.49038462 228.50961538] ; [ 11.50961538 159.49038462],0
p6,1,0.182263,1.779073,[ 83 160] ; [ 69 101],[ 89.43341404 153.56658596] ; [ 62.56658596 107.43341404],0
n2,1,0.185815,1.750488,[46 16] ; [30  5],[48.57731959 13.42268041] ; [27.42268041  7.57731959],0
p7,1,0.19001,1.717542,[144  94] ; [113  56],[150.28501229  87.71498771] ; [106.71498771  62.28501229],0
p2,1,0.212836,1.552029,[212  32] ; [141  30],[207.54698795  36.45301205] ; [145.45301205  25.54698795],0
s6,1,0.241814,1.369989,[156  83] ; [121  50],[161.47073171  77.52926829] ; [115.52926829  55.47073171],0
p8,1,0.245348,1.349603,[134 110] ; [83 86],[128.20338983 115.79661017] ; [88.79661017 80.20338983],0
s4,1,0.269382,1.21989,[ 55 187] ; [ 31 139],[ 50.51456311 191.48543689] ; [ 35.48543689 134.51456311],0
u3,1,0.275988,1.186743,[47 37] ; [29 15],[49.875 34.125] ; [26.125 17.875],0
p9,1,0.313048,1.017771,[225  19] ; [162   9],[227.5373494  16.4626506] ; [159.4626506  11.5373494],0
a2,1,0.350433,0.871888,[ 48 197] ; [ 40 131],[ 51.82692308 193.17307692] ; [ 36.17307692 134.82692308],0
s7,1,0.352307,0.865132,[104 132] ; [80 84],[108.56 127.44] ; [75.44 88.56],0
p4,1,0.395957,0.72057,[142 102] ; [106  64],[146.16425121  97.83574879] ; [101.83574879  68.16425121],0
p12,1,0.446404,0.579766,[ 14 229] ; [  7 164],[ 12.32608696 230.67391304] ; [  8.67391304 162.32608696],0
r2,1,0.4774,0.504796,[224  19] ; [157  10],[225.81219512  17.18780488] ; [155.18780488  11.81219512],0
s1,1,0.48094,0.496732,[  7 238] ; [  3 166],[  5.9178744 239.0821256] ; [  4.0821256 164.9178744],0
s3,1,0.496389,0.462649,[136 108] ; [89 81],[132.60869565 111.39130435] ; [92.39130435 77.60869565],0
n3,1,0.538332,0.37864,[45 16] ; [27  7],[46.23157895 14.76842105] ; [25.76842105  8.23157895],0
n5,1,0.578167,0.309208,[177  67] ; [126  42],[179.44660194  64.55339806] ; [123.55339806  44.44660194],0
a1,1,0.5787,0.308341,[  8 237] ; [  4 167],[  7.06730769 237.93269231] ; [  4.93269231 166.06730769],0
n6,1,0.642425,0.215585,[204  40] ; [145  25],[205.69082126  38.30917874] ; [143.30917874  26.69082126],0
a4,1,0.651252,0.204326,[102 143] ; [75 96],[104.24278846 140.75721154] ; [72.75721154 98.24278846],0
u2,1,0.694663,0.154084,[48 36] ; [23 20],[46.96062992 37.03937008] ; [24.03937008 18.96062992],0
p5,1,0.704802,0.143525,[ 24 219] ; [ 15 156],[ 22.89130435 220.10869565] ; [ 16.10869565 154.89130435],0
p11,1,0.711708,0.136577,[200  45] ; [142  29],[201.41826923  43.58173077] ; [140.58173077  30.41826923],0
a8,1,0.737321,0.112495,[ 31 201] ; [ 23 135],[ 32.12307692 199.87692308] ; [ 21.87692308 136.12307692],0
b5,1,0.765704,0.088803,[144 101] ; [103  68],[145.46875  99.53125] ; [101.53125  69.46875],0
b3,1,0.771758,0.084145,[47 92] ; [33 70],[45.95041322 93.04958678] ; [34.04958678 68.95041322],0
b2,1,0.771758,0.084145,[47 92] ; [33 70],[45.95041322 93.04958678] ; [34.04958678 68.95041322],0
n1,1,0.841474,0.040003,[25 37] ; [13 21],[24.54166667 37.45833333] ; [13.45833333 20.54166667],0
v4,1,0.869636,0.026936,[229  15] ; [157  11],[228.60194175  15.39805825] ; [157.39805825  10.60194175],0
s2,1,0.869652,0.026929,[120 124] ; [85 85],[120.82125604 123.17874396] ; [84.17874396 85.82125604],0
b1,1,0.941449,0.005395,[ 94 151] ; [ 65 106],[ 93.64182692 151.35817308] ; [ 65.35817308 105.64182692],0
b4,1,0.960973,0.002394,[141 104] ; [98 73],[140.75721154 104.24278846] ; [98.24278846 72.75721154],0
s5,1,0.970854,0.001335,[ 84 155] ; [ 57 106],[ 83.82835821 155.17164179] ; [ 57.17164179 105.82835821],0
s8,1,0.980562,0.000594,[100 145] ; [ 70 101],[100.12019231 144.87980769] ; [ 69.87980769 101.12019231],0
