Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.004964,7.89249,[13 42] ; [13 10],[18.33333333 36.66666667] ; [ 7.66666667 15.33333333],0
d4,1,0.012092,6.297349,[31 23] ; [20  3],[35.76623377 18.23376623] ; [15.23376623  7.76623377],0
p6,1,0.012501,6.23844,[ 9 45] ; [10 13],[13.32467532 40.67532468] ; [ 5.67532468 17.32467532],0
d3,1,0.014532,5.972356,[26 28] ; [18  5],[30.85714286 23.14285714] ; [13.14285714  9.85714286],0
s2,1,0.023471,5.133333,[15 40] ; [12 10],[19.28571429 35.71428571] ; [ 7.71428571 14.28571429],0
b1,1,0.041976,4.136184,[22 33] ; [15  8],[26.08974359 28.91025641] ; [10.91025641 12.08974359],0
p2,1,0.062433,3.471549,[27 26] ; [17  6],[30.68421053 22.31578947] ; [13.31578947  9.68421053],0
b3,1,0.070508,3.271154,[14 16] ; [ 2 10],[11.42857143 18.57142857] ; [4.57142857 7.42857143],0
b2,1,0.070508,3.271154,[14 16] ; [ 2 10],[11.42857143 18.57142857] ; [4.57142857 7.42857143],0
v1,1,0.076607,3.135452,[14 38] ; [11 12],[17.33333333 34.66666667] ; [ 7.66666667 15.33333333],0
n6,1,0.094591,2.79446,[28 26] ; [16  6],[31.26315789 22.73684211] ; [12.73684211  9.26315789],0
p9,1,0.097924,2.739032,[29 25] ; [17  6],[32.25974026 21.74025974] ; [13.74025974  9.25974026],0
d1,1,0.124421,2.360764,[23 32] ; [14  9],[26.08974359 28.91025641] ; [10.91025641 12.08974359],0
a5,1,0.147835,2.094451,[26 29] ; [15  8],[28.91025641 26.08974359] ; [12.08974359 10.91025641],0
p1,1,0.188804,1.726925,[ 4 50] ; [ 4 19],[ 5.61038961 48.38961039] ; [ 2.38961039 20.61038961],0
s8,1,0.190841,1.711111,[ 8 47] ; [ 6 16],[10. 45.] ; [ 4. 18.],0
p7,1,0.211504,1.561102,[17 35] ; [11 12],[19.41333333 32.58666667] ; [ 8.58666667 14.41333333],0
v2,1,0.211504,1.561102,[17 35] ; [11 12],[19.41333333 32.58666667] ; [ 8.58666667 14.41333333],0
s6,1,0.248368,1.332458,[17 37] ; [10 12],[19.18421053 34.81578947] ; [ 7.81578947 14.18421053],0
d5,1,0.263817,1.248617,[36 19] ; [18  5],[38.07692308 16.92307692] ; [15.92307692  7.07692308],0
a1,1,0.266018,1.237165,[ 7 48] ; [ 1 22],[ 5.64102564 49.35897436] ; [ 2.35897436 20.64102564],0
s5,1,0.269237,1.220628,[10 45] ; [ 6 14],[11.73333333 43.26666667] ; [ 4.26666667 15.73333333],0
p11,1,0.273302,1.2001,[26 29] ; [14  9],[28.20512821 26.79487179] ; [11.79487179 11.20512821],0
p8,1,0.324932,0.968992,[15 39] ; [ 9 14],[16.83116883 37.16883117] ; [ 7.16883117 15.83116883],0
r3,1,0.348733,0.878062,[28 26] ; [14  8],[29.84210526 24.15789474] ; [12.15789474  9.84210526],0
u1,1,0.355637,0.853242,[ 2 53] ; [ 2 21],[ 2.82051282 52.17948718] ; [ 1.17948718 21.82051282],0
a7,1,0.38161,0.765509,[27 27] ; [14  9],[28.75324675 25.24675325] ; [12.24675325 10.75324675],0
n4,1,0.384351,0.756737,[30 25] ; [15  8],[31.73076923 23.26923077] ; [13.26923077  9.73076923],0
r1,1,0.386425,0.750161,[17 37] ; [ 5 18],[15.42857143 38.57142857] ; [ 6.57142857 16.42857143],0
s7,1,0.401294,0.704445,[17 37] ; [ 8 11],[18.49315068 35.50684932] ; [ 6.50684932 12.49315068],0
b5,1,0.421033,0.647431,[28 27] ; [14  9],[29.61538462 25.38461538] ; [12.38461538 10.61538462],0
