Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,130.055574,[134  46] ; [ 21 141],[81.57894737 98.42105263] ; [73.42105263 88.57894737],1
s6,1,0.0,55.795246,[143  34] ; [67 95],[109.6460177  67.3539823] ; [100.3539823  61.6460177],1
s7,1,0.0,49.763969,[109  66] ; [ 37 119],[77.19033233 97.80966767] ; [68.80966767 87.19033233],1
s8,1,0.0,32.528515,[94 85] ; [ 37 127],[ 68.36443149 110.63556851] ; [ 62.63556851 101.36443149],1
s5,1,2.4e-05,17.876272,[ 62 110] ; [ 25 135],[ 45.07228916 126.92771084] ; [ 41.92771084 118.07228916],1
v4,1,0.001757,9.787449,[168   9] ; [139  25],[159.35190616  17.64809384] ; [147.64809384  16.35190616],0
r2,1,0.001938,9.607765,[169   6] ; [140  20],[161.41791045  13.58208955] ; [147.58208955  12.41791045],0
r4,1,0.002591,9.075049,[161  19] ; [127  37],[150.69767442  29.30232558] ; [137.30232558  26.69767442],0
p7,1,0.005081,7.850398,[98 74] ; [67 94],[85.22522523 86.77477477] ; [79.77477477 81.22522523],0
p2,1,0.007475,7.155126,[148  32] ; [114  49],[137.49271137  42.50728863] ; [124.50728863  38.49271137],0
r3,1,0.009787,6.673258,[170   9] ; [141  21],[163.25219941  15.74780059] ; [147.74780059  14.25219941],0
r1,1,0.010702,6.51412,[148  32] ; [115  48],[138.01749271  41.98250729] ; [124.98250729  38.01749271],0
n2,1,0.010858,6.488464,[37  6] ; [32 19],[31.56382979 11.43617021] ; [37.43617021 13.56382979],0
p6,1,0.016515,5.747174,[ 56 122] ; [ 32 128],[ 46.34319527 131.65680473] ; [ 41.65680473 118.34319527],0
p10,1,0.021065,5.321441,[140  39] ; [108  53],[130.56470588  48.43529412] ; [117.43529412  43.56470588],0
s1,1,0.041548,4.153525,[ 11 164] ; [  3 159],[  7.27002967 167.72997033] ; [  6.72997033 155.27002967],0
v1,1,0.043511,4.075419,[90 83] ; [66 95],[80.80239521 92.19760479] ; [75.19760479 85.80239521],0
d3,1,0.051126,3.804132,[127  52] ; [100  64],[118.46355685  60.53644315] ; [108.53644315  55.46355685],0
s4,1,0.051202,3.801662,[ 29 148] ; [ 15 147],[ 22.97345133 154.02654867] ; [ 21.02654867 140.97345133],0
a8,1,0.067716,3.337527,[ 36 129] ; [ 21 130],[ 29.76265823 135.23734177] ; [ 27.23734177 123.76265823],0
p9,1,0.0783,3.099842,[144  35] ; [115  44],[137.16272189  41.83727811] ; [121.83727811  37.16272189],0
a6,1,0.148424,2.088376,[110  69] ; [113  51],[116.37609329  62.62390671] ; [106.62390671  57.37609329],0
p11,1,0.170167,1.881468,[140  40] ; [117  47],[134.47674419  45.52325581] ; [122.52325581  41.47674419],0
p1,1,0.189097,1.724638,[  9 170] ; [ 14 149],[ 12.0380117 166.9619883] ; [ 10.9619883 152.0380117],0
u3,1,0.209626,1.574008,[29 24] ; [23 31],[25.75700935 27.24299065] ; [26.24299065 27.75700935],0
a5,1,0.308576,1.036762,[125  55] ; [122  42],[129.24418605  50.75581395] ; [117.75581395  46.24418605],0
d4,1,0.327878,0.957261,[145  34] ; [125  38],[141.31578947  37.68421053] ; [128.68421053  34.31578947],0
b2,1,0.332764,0.938112,[34 72] ; [40 64],[37.35238095 68.64761905] ; [36.64761905 67.35238095],0
b3,1,0.332764,0.938112,[34 72] ; [40 64],[37.35238095 68.64761905] ; [36.64761905 67.35238095],0
n6,1,0.332837,0.937827,[152  27] ; [132  31],[148.64327485  30.35672515] ; [135.35672515  27.64327485],0
n5,1,0.332837,0.937827,[152  27] ; [132  31],[148.64327485  30.35672515] ; [135.35672515  27.64327485],0
p12,1,0.338062,0.917768,[ 12 167] ; [  7 155],[  9.97360704 169.02639296] ; [  9.02639296 152.97360704],0
v2,1,0.372025,0.79689,[89 82] ; [73 82],[84.97546012 86.02453988] ; [77.02453988 77.97546012],0
d1,1,0.431473,0.618855,[102  78] ; [86 78],[98.37209302 81.62790698] ; [89.62790698 74.37209302],0
d2,1,0.439221,0.598317,[82 97] ; [81 81],[85.56304985 93.43695015] ; [77.43695015 84.56304985],0
a4,1,0.496629,0.462134,[ 78 101] ; [77 86],[81.12573099 97.87426901] ; [73.87426901 89.12573099],0
v3,1,0.510455,0.433134,[ 61 113] ; [ 50 108],[ 58.1746988 115.8253012] ; [ 52.8253012 105.1746988],0
n1,1,0.514533,0.424837,[20 22] ; [20 29],[18.46153846 23.53846154] ; [21.53846154 27.46153846],0
p4,1,0.537811,0.379612,[ 71 108] ; [ 59 103],[ 68.24046921 110.75953079] ; [ 61.75953079 100.24046921],0
a3,1,0.538798,0.377772,[127  53] ; [110  53],[124.37317784  55.62682216] ; [112.62682216  50.37317784],0
u1,1,0.557302,0.344397,[ 27 153] ; [ 21 143],[ 25.11627907 154.88372093] ; [ 22.88372093 141.11627907],0
u4,1,0.578301,0.30899,[  2 178] ; [  3 161],[  2.61627907 177.38372093] ; [  2.38372093 161.61627907],0
b4,1,0.613694,0.254831,[108  72] ; [94 70],[105.69767442  74.30232558] ; [96.30232558 67.69767442],0
a7,1,0.615569,0.252145,[126  54] ; [110  53],[123.8483965  56.1516035] ; [112.1516035  50.8483965],0
a2,1,0.646205,0.210718,[ 41 139] ; [ 34 130],[ 39.24418605 140.75581395] ; [ 35.75581395 128.24418605],0
a1,1,0.656255,0.198105,[  9 171] ; [ 10 154],[  9.94186047 170.05813953] ; [  9.05813953 154.94186047],0
u2,1,0.77173,0.084166,[26 26] ; [28 25],[26.74285714 25.25714286] ; [27.25714286 25.74285714],0
n3,1,0.77392,0.082513,[29 14] ; [31 17],[28.35164835 14.64835165] ; [31.64835165 16.35164835],0
b1,1,0.801834,0.062988,[ 66 114] ; [ 58 106],[ 64.88372093 115.11627907] ; [ 59.11627907 104.88372093],0
p5,1,0.806039,0.06029,[ 11 168] ; [  9 154],[ 10.46783626 168.53216374] ; [  9.53216374 153.46783626],0
p8,1,0.814939,0.054784,[ 66 112] ; [ 57 102],[ 64.96735905 113.03264095] ; [ 58.03264095 100.96735905],0
d5,1,0.86324,0.02967,[140  39] ; [127  37],[139.33819242  39.66180758] ; [127.66180758  36.33819242],0
b5,1,0.9033,0.014761,[112  68] ; [101  63],[111.45348837  68.54651163] ; [101.54651163  62.45348837],0
