Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3.9e-05,16.925319,[11  6] ; [14 68],[ 4.29292929 12.70707071] ; [20.70707071 61.29292929],1
s5,1,0.006192,7.493588,[8 8] ; [15 67],[ 3.75510204 12.24489796] ; [19.24489796 62.75510204],0
s7,1,0.010827,6.493541,[11  5] ; [28 53],[6.43298969 9.56701031] ; [32.56701031 48.43298969],0
s2,1,0.029241,4.75337,[12  5] ; [35 49],[7.91089109 9.08910891] ; [39.08910891 44.91089109],0
a5,1,0.055682,3.661538,[ 7 10] ; [56 29],[10.5  6.5] ; [52.5 32.5],0
s3,1,0.061991,3.483299,[13  4] ; [43 40],[9.52 7.48] ; [46.48 36.52],0
s6,1,0.073751,3.197492,[13  4] ; [45 40],[9.66666667 7.33333333] ; [48.33333333 36.66666667],0
p9,1,0.099098,2.72,[13  4] ; [77  8],[15.  2.] ; [75. 10.],0
u1,1,0.099548,2.712766,[ 3 14] ; [ 5 80],[ 1.33333333 15.66666667] ; [ 6.66666667 78.33333333],0
n5,1,0.131992,2.268922,[ 5 12] ; [41 42],[7.82 9.18] ; [38.18 44.82],0
r1,1,0.174197,1.846444,[10  7] ; [63 21],[12.28712871  4.71287129] ; [60.71287129 23.28712871],0
b1,1,0.184039,1.764706,[ 6 11] ; [45 40],[8.5 8.5] ; [42.5 42.5],0
d3,1,0.200955,1.635421,[14  3] ; [56 28],[11.78217822  5.21782178] ; [58.21782178 25.78217822],0
p2,1,0.202514,1.624148,[15  2] ; [62 22],[12.96039604  4.03960396] ; [64.03960396 19.96039604],0
p3,1,0.204175,1.612258,[9 8] ; [31 54],[ 6.66666667 10.33333333] ; [33.33333333 51.66666667],0
s8,1,0.240359,1.378489,[9 8] ; [32 53],[ 6.83333333 10.16666667] ; [34.16666667 50.83333333],0
r4,1,0.257474,1.282286,[11  6] ; [66 19],[12.83333333  4.16666667] ; [64.16666667 20.83333333],0
a7,1,0.289598,1.12149,[10  7] ; [61 24],[11.83333333  5.16666667] ; [59.16666667 25.83333333],0
v1,1,0.333601,0.934868,[ 6 11] ; [39 42],[7.80612245 9.19387755] ; [37.19387755 43.80612245],0
b5,1,0.359736,0.838816,[9 8] ; [55 30],[10.66666667  6.33333333] ; [53.33333333 31.66666667],0
n3,1,0.408809,0.682261,[2 2] ; [17  7],[2.71428571 1.28571429] ; [16.28571429  7.71428571],0
p11,1,0.427313,0.630116,[11  6] ; [63 22],[12.33333333  4.66666667] ; [61.66666667 23.33333333],0
a6,1,0.45237,0.564706,[10  7] ; [58 27],[11.33333333  5.66666667] ; [56.66666667 28.33333333],0
d5,1,0.471152,0.519273,[14  3] ; [63 22],[12.83333333  4.16666667] ; [64.16666667 20.83333333],0
r3,1,0.475359,0.509491,[16  1] ; [75 10],[15.16666667  1.83333333] ; [75.83333333  9.16666667],0
u3,1,0.47824,0.502874,[5 1] ; [20  9],[4.28571429 1.71428571] ; [20.71428571  8.28571429],0
d1,1,0.478555,0.502154,[10  7] ; [42 43],[8.66666667 8.33333333] ; [43.33333333 41.66666667],0
r2,1,0.531733,0.391079,[14  3] ; [73 10],[14.79  2.21] ; [72.21 10.79],0
d2,1,0.578239,0.309091,[ 7 10] ; [29 56],[ 6. 11.] ; [30. 55.],0
v3,1,0.642238,0.215827,[ 4 13] ; [23 56],[ 4.78125 12.21875] ; [22.21875 56.78125],0
v2,1,0.648702,0.207541,[7 9] ; [39 39],[7.82978723 8.17021277] ; [38.17021277 39.82978723],0
d4,1,0.666727,0.185455,[14  3] ; [66 19],[13.33333333  3.66666667] ; [66.66666667 18.33333333],0
n1,1,0.701671,0.146739,[1 3] ; [ 8 15],[1.33333333 2.66666667] ; [ 7.66666667 15.33333333],0
a4,1,0.707114,0.141176,[ 5 12] ; [29 56],[ 5.66666667 11.33333333] ; [28.33333333 56.66666667],0
a2,1,0.707596,0.14069,[ 2 15] ; [13 72],[ 2.5 14.5] ; [12.5 72.5],0
n4,1,0.723104,0.125538,[9 8] ; [41 44],[8.33333333 8.66666667] ; [41.66666667 43.33333333],0
p1,1,0.741846,0.108511,[ 1 16] ; [ 7 78],[ 1.33333333 15.66666667] ; [ 6.66666667 78.33333333],0
p7,1,0.780394,0.077733,[10  6] ; [47 33],[9.5 6.5] ; [47.5 32.5],0
b4,1,0.789052,0.071579,[10  7] ; [47 38],[9.5 7.5] ; [47.5 37.5],0
p4,1,0.82494,0.048927,[8 9] ; [42 42],[8.41584158 8.58415842] ; [41.58415842 42.41584158],0
p8,1,0.828895,0.046707,[8 8] ; [40 45],[7.6039604 8.3960396] ; [40.3960396 44.6039604],0
p5,1,0.851959,0.034827,[ 1 16] ; [ 6 78],[ 1.17821782 15.82178218] ; [ 5.82178218 78.17821782],0
v4,1,0.89792,0.016458,[15  1] ; [78  6],[14.88  1.12] ; [78.12  5.88],0
b2,1,0.936053,0.006437,[3 8] ; [12 34],[2.89473684 8.10526316] ; [12.10526316 33.89473684],0
b3,1,0.936053,0.006437,[3 8] ; [12 34],[2.89473684 8.10526316] ; [12.10526316 33.89473684],0
a3,1,1.0,0.0,[11  6] ; [55 30],[11.  6.] ; [55. 30.],0
