Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1.3e-05,18.952823,[ 50 215] ; [24 27],[ 62.05696203 202.94303797] ; [11.94303797 39.05696203],1
s6,1,0.00019,13.931889,[130 140] ; [41 13],[142.5 127.5] ; [28.5 25.5],1
s2,1,0.000336,12.858985,[ 99 171] ; [34 20],[110.83333333 159.16666667] ; [22.16666667 31.83333333],1
a8,1,0.013778,6.06642,[ 37 216] ; [ 1 49],[ 31.72937294 221.27062706] ; [ 6.27062706 43.72937294],0
n4,1,0.017935,5.602471,[187  83] ; [29 26],[179.44615385  90.55384615] ; [36.55384615 18.44615385],0
s3,1,0.058735,3.572752,[126 142] ; [33 21],[132.33540373 135.66459627] ; [26.66459627 27.33540373],0
b1,1,0.071855,3.240139,[104 168] ; [14 41],[ 98.1529052 173.8470948] ; [19.8470948 35.1529052],0
d3,1,0.07918,3.081652,[166 104] ; [40 14],[171.66666667  98.33333333] ; [34.33333333 19.66666667],0
n5,1,0.083447,2.996459,[179  89] ; [30 25],[173.41176471  94.58823529] ; [35.58823529 19.41176471],0
p11,1,0.112664,2.516446,[179  93] ; [30 25],[173.8470948  98.1529052] ; [35.1529052 19.8470948],0
b5,1,0.126345,2.336845,[163 109] ; [39 16],[168.02446483 103.97553517] ; [33.97553517 21.02446483],0
b3,1,0.130865,2.282214,[ 61 103] ; [ 6 21],[ 57.52879581 106.47120419] ; [ 9.47120419 17.52879581],0
b2,1,0.130865,2.282214,[ 61 103] ; [ 6 21],[ 57.52879581 106.47120419] ; [ 9.47120419 17.52879581],0
v4,1,0.142272,2.153216,[228  40] ; [50  4],[231.37888199  36.62111801] ; [46.62111801  7.37888199],0
n1,1,0.16403,1.936677,[37 63] ; [ 5 18],[34.14634146 65.85365854] ; [ 7.85365854 15.14634146],0
p9,1,0.178329,1.811498,[181  85] ; [41 12],[185.11598746  80.88401254] ; [36.88401254 16.11598746],0
u3,1,0.180159,1.796314,[48 49] ; [12  6],[50.60869565 46.39130435] ; [9.39130435 8.60869565],0
v3,1,0.180596,1.792712,[ 76 183] ; [11 43],[ 71.99041534 187.00958466] ; [15.00958466 38.99041534],0
a1,1,0.188733,1.727477,[ 17 255] ; [ 1 54],[ 14.97247706 257.02752294] ; [ 3.02752294 51.97247706],0
n6,1,0.20827,1.583411,[193  76] ; [44 11],[196.76851852  72.23148148] ; [40.23148148 14.76851852],0
s8,1,0.21715,1.523105,[ 76 195] ; [20 35],[ 79.80368098 191.19631902] ; [16.19631902 38.80368098],0
d4,1,0.279154,1.171203,[209  60] ; [39 16],[205.90123457  63.09876543] ; [42.09876543 12.90123457],0
d1,1,0.290205,1.118668,[135 137] ; [23 32],[131.42507645 140.57492355] ; [26.57492355 28.42507645],0
d2,1,0.294479,1.099032,[123 145] ; [21 34],[119.47987616 148.52012384] ; [24.52012384 30.47987616],0
s7,1,0.295665,1.093644,[ 88 171] ; [22 31],[ 91.31410256 167.68589744] ; [18.68589744 34.31410256],0
a4,1,0.315478,1.007602,[118 152] ; [20 35],[114.64615385 155.35384615] ; [23.35384615 31.64615385],0
p10,1,0.321809,0.981579,[169  98] ; [38 16],[172.17757009  94.82242991] ; [34.82242991 19.17757009],0
a7,1,0.323863,0.973281,[171  99] ; [38 16],[174.16666667  95.83333333] ; [34.83333333 19.16666667],0
v1,1,0.338746,0.915171,[105 160] ; [18 37],[101.859375 163.140625] ; [21.140625 33.859375],0
d5,1,0.339128,0.913723,[198  73] ; [36 18],[195.12  75.88] ; [38.88 15.12],0
b4,1,0.343664,0.896715,[167 105] ; [30 25],[163.86544343 108.13455657] ; [33.13455657 21.86544343],0
s1,1,0.366777,0.814553,[ 12 254] ; [ 1 53],[ 10.80625 255.19375] ; [ 2.19375 51.80625],0
r4,1,0.429482,0.624224,[204  68] ; [44 11],[206.28746177  65.71253823] ; [41.71253823 13.28746177],0
a2,1,0.439003,0.598887,[ 57 215] ; [ 9 46],[ 54.89908257 217.10091743] ; [11.10091743 43.89908257],0
a6,1,0.485791,0.485835,[176  95] ; [33 22],[173.7392638  97.2607362] ; [35.2607362 19.7392638],0
n3,1,0.497024,0.461284,[62 38] ; [16  7],[63.41463415 36.58536585] ; [14.58536585  8.41463415],0
r2,1,0.541903,0.372024,[233  33] ; [48  5],[234.31347962  31.68652038] ; [46.68652038  6.31347962],0
p1,1,0.542025,0.3718,[ 10 261] ; [ 3 52],[ 10.80674847 260.19325153] ; [ 2.19325153 52.80674847],0
p2,1,0.554644,0.349063,[174  97] ; [33 22],[172.07668712  98.92331288] ; [34.92331288 20.07668712],0
p6,1,0.590782,0.289124,[ 47 221] ; [ 8 47],[ 45.63467492 222.36532508] ; [ 9.36532508 45.63467492],0
r3,1,0.593155,0.285444,[236  32] ; [47  8],[234.81114551  33.18885449] ; [48.18885449  6.81114551],0
p5,1,0.637221,0.222395,[  8 262] ; [ 1 54],[  7.47692308 262.52307692] ; [ 1.52307692 53.47692308],0
u2,1,0.650851,0.204829,[53 42] ; [9 9],[52.12389381 42.87610619] ; [9.87610619 8.12389381],0
v2,1,0.661151,0.192129,[120 137] ; [23 30],[118.5516129 138.4483871] ; [24.4483871 28.5516129],0
p7,1,0.672677,0.178487,[ 91 173] ; [17 37],[ 89.66037736 174.33962264] ; [18.33962264 35.66037736],0
r1,1,0.679658,0.170512,[194  76] ; [38 17],[192.73846154  77.26153846] ; [39.26153846 15.73846154],0
a3,1,0.688699,0.160497,[174  96] ; [37 18],[175.29230769  94.70769231] ; [35.70769231 19.29230769],0
p4,1,0.724714,0.12402,[ 75 195] ; [14 41],[ 73.93846154 196.06153846] ; [15.06153846 39.93846154],0
p12,1,0.810796,0.057312,[ 12 259] ; [ 2 52],[ 11.67384615 259.32615385] ; [ 2.32615385 51.67384615],0
u1,1,0.862208,0.030124,[ 37 235] ; [ 7 48],[ 36.59938838 235.40061162] ; [ 7.40061162 47.59938838],0
n2,1,0.965892,0.001828,[67 35] ; [15  8],[66.912 35.088] ; [15.088  7.912],0
