Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.21838,1.514984,[1 1] ; [ 21 104],[0.34645669 1.65354331] ; [ 21.65354331 103.34645669],0
v1,1,0.255738,1.291684,[2 1] ; [45 84],[1.06818182 1.93181818] ; [45.93181818 83.06818182],0
s5,1,0.265775,1.238424,[1 2] ; [ 15 111],[0.37209302 2.62790698] ; [ 15.62790698 110.37209302],0
a3,1,0.278726,1.173291,[1 2] ; [83 47],[1.89473684 1.10526316] ; [82.10526316 47.89473684],0
r4,1,0.302016,1.06527,[1 2] ; [82 49],[1.85820896 1.14179104] ; [81.14179104 49.85820896],0
a6,1,0.307528,1.041262,[1 2] ; [81 49],[1.84962406 1.15037594] ; [80.15037594 49.84962406],0
a2,1,0.39473,0.724321,[1 2] ; [ 20 111],[0.47014925 2.52985075] ; [ 20.52985075 110.47014925],0
a5,1,0.408391,0.683481,[1 2] ; [75 56],[1.70149254 1.29850746] ; [74.29850746 56.70149254],0
b2,1,0.434471,0.610843,[1 1] ; [17 50],[0.52173913 1.47826087] ; [17.47826087 49.52173913],0
b3,1,0.434471,0.610843,[1 1] ; [17 50],[0.52173913 1.47826087] ; [17.47826087 49.52173913],0
p10,1,0.480109,0.498616,[2 1] ; [59 69],[1.39694656 1.60305344] ; [59.60305344 68.39694656],0
p11,1,0.507314,0.439604,[2 1] ; [62 69],[1.43283582 1.56716418] ; [62.56716418 68.43283582],0
s7,1,0.570824,0.321306,[1 2] ; [24 96],[0.6097561 2.3902439] ; [24.3902439 95.6097561],0
n4,1,0.631087,0.230589,[2 1] ; [69 62],[1.58955224 1.41044776] ; [69.41044776 61.58955224],0
r3,1,0.677845,0.172562,[2 1] ; [100  30],[2.30075188 0.69924812] ; [99.69924812 30.30075188],0
d3,1,0.708097,0.140185,[2 1] ; [72 57],[1.68181818 1.31818182] ; [72.31818182 56.68181818],0
s3,1,0.716589,0.131785,[1 2] ; [57 73],[1.30827068 1.69172932] ; [56.69172932 73.30827068],0
v4,1,0.735976,0.113695,[2 1] ; [97 32],[2.25 0.75] ; [96.75 32.25],0
v2,1,0.777482,0.079864,[1 2] ; [51 72],[1.23809524 1.76190476] ; [50.76190476 72.23809524],0
s2,1,0.822617,0.050257,[1 2] ; [36 95],[0.82835821 2.17164179] ; [36.17164179 94.82835821],0
d4,1,0.836115,0.042793,[2 1] ; [93 36],[2.15909091 0.84090909] ; [92.84090909 36.15909091],0
d1,1,0.844039,0.038703,[1 2] ; [51 80],[1.1641791 1.8358209] ; [50.8358209 80.1641791],0
a4,1,0.844039,0.038703,[1 2] ; [51 80],[1.1641791 1.8358209] ; [50.8358209 80.1641791],0
p3,1,0.860378,0.030938,[1 2] ; [37 92],[0.86363636 2.13636364] ; [37.13636364 91.86363636],0
d2,1,0.877526,0.023749,[1 2] ; [49 81],[1.12781955 1.87218045] ; [48.87218045 81.12781955],0
p8,1,0.915193,0.01134,[1 2] ; [39 89],[0.91603053 2.08396947] ; [39.08396947 88.91603053],0
s6,1,0.970715,0.001348,[1 2] ; [45 86],[1.02985075 1.97014925] ; [44.97014925 86.02985075],0
d5,1,0.992554,8.7e-05,[2 1] ; [87 43],[2.0075188 0.9924812] ; [86.9924812 43.0075188],0
