Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.21159,[ 9 66] ; [26 26],[20.66929134 54.33070866] ; [14.33070866 37.66929134],1
s7,1,2.4e-05,17.814964,[ 8 61] ; [23 27],[17.97478992 51.02521008] ; [13.02521008 36.97478992],1
s3,1,4.4e-05,16.701176,[21 54] ; [33 18],[32.14285714 42.85714286] ; [21.85714286 29.14285714],1
u3,1,0.00011,14.957265,[10 22] ; [20  4],[17.14285714 14.85714286] ; [12.85714286 11.14285714],1
s8,1,0.00012,14.791897,[ 5 71] ; [17 35],[13.0625 62.9375] ; [ 8.9375 43.0625],1
r4,1,0.000196,13.87161,[42 34] ; [45  7],[51.65625 24.34375] ; [35.34375 16.65625],1
s5,1,0.00056,11.904153,[ 4 70] ; [14 37],[10.656 63.344] ; [ 7.344 43.656],1
p4,1,0.000613,11.735385,[16 60] ; [26 26],[24.9375 51.0625] ; [17.0625 34.9375],1
v4,1,0.002261,9.32441,[51 25] ; [47  5],[58.1875 17.8125] ; [39.8125 12.1875],0
r1,1,0.002799,8.934049,[38 37] ; [40 12],[46.06299213 28.93700787] ; [31.93700787 20.06299213],0
n6,1,0.003715,8.418283,[37 38] ; [39 13],[44.88188976 30.11811024] ; [31.11811024 20.88188976],0
p8,1,0.004143,8.220036,[12 63] ; [20 32],[18.8976378 56.1023622] ; [13.1023622 38.8976378],0
p5,1,0.005668,7.652872,[ 1 74] ; [ 7 45],[ 4.72440945 70.27559055] ; [ 3.27559055 48.72440945],0
r3,1,0.008397,6.946774,[50 26] ; [45  7],[56.40625 19.59375] ; [38.59375 13.40625],0
s4,1,0.021613,5.276654,[ 9 67] ; [14 36],[13.87301587 62.12698413] ; [ 9.12698413 40.87301587],0
r2,1,0.023808,5.10859,[55 19] ; [47  5],[59.9047619 14.0952381] ; [42.0952381  9.9047619],0
n1,1,0.02581,4.968719,[11 26] ; [11  7],[14.8 22.2] ; [ 7.2 10.8],0
d5,1,0.027652,4.849643,[42 34] ; [38 13],[47.87401575 28.12598425] ; [32.12598425 18.87401575],0
u1,1,0.028841,4.777089,[ 5 71] ; [10 42],[ 8.90625 67.09375] ; [ 6.09375 45.90625],0
v3,1,0.030156,4.700367,[ 9 65] ; [14 37],[13.616 60.384] ; [ 9.384 41.616],0
p3,1,0.072304,3.229926,[18 58] ; [20 32],[22.5625 53.4375] ; [15.4375 36.5625],0
d4,1,0.075695,3.154994,[45 31] ; [38 13],[49.66929134 26.33070866] ; [33.33070866 17.66929134],0
p6,1,0.087608,2.917795,[11 64] ; [14 38],[14.76377953 60.23622047] ; [10.23622047 41.76377953],0
b1,1,0.098196,2.7346,[34 42] ; [31 21],[38.59375 37.40625] ; [26.40625 25.59375],0
a7,1,0.13232,2.265078,[38 38] ; [33 19],[42.15625 33.84375] ; [28.84375 23.15625],0
