Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,107.128031,[382  96] ; [ 64 108],[327.98153846 150.01846154] ; [118.01846154  53.98153846],1
d3,1,0.0,94.967076,[404  75] ; [80 92],[356.12288786 122.87711214] ; [127.87711214  44.12288786],1
a2,1,0.0,35.138729,[152 327] ; [ 15 157],[122.87711214 356.12288786] ; [ 44.12288786 127.87711214],1
u1,1,0.0,31.420624,[116 363] ; [  8 164],[ 91.23809524 387.76190476] ; [ 32.76190476 139.23809524],1
r4,1,0.000123,14.748246,[433  46] ; [136  36],[418.66513057  60.33486943] ; [150.33486943  21.66513057],1
v4,1,0.000192,13.912041,[452  23] ; [149  23],[441.22874807  33.77125193] ; [159.77125193  12.22874807],1
d1,1,0.001852,9.690972,[343 136] ; [101  71],[326.69124424 152.30875576] ; [117.30875576  54.69124424],0
r2,1,0.006175,7.498597,[447  24] ; [150  19],[439.3546875  31.6453125] ; [157.6453125  11.3546875],0
r1,1,0.006267,7.471916,[397  79] ; [127  45],[384.91358025  91.08641975] ; [139.08641975  32.91358025],0
b5,1,0.006368,7.443115,[302 177] ; [88 84],[286.95852535 192.04147465] ; [103.04147465  68.95852535],0
r3,1,0.008105,7.010209,[458  19] ; [156  16],[451.27580894  25.72419106] ; [162.72419106   9.27580894],0
d5,1,0.009315,6.761459,[427  52] ; [140  32],[417.19354839  61.80645161] ; [149.80645161  22.19354839],0
u3,1,0.011006,6.464354,[80 45] ; [16 23],[73.17073171 51.82926829] ; [22.82926829 16.17073171],0
b3,1,0.014142,6.020343,[109 181] ; [59 57],[120. 170.] ; [48. 68.],0
b2,1,0.014142,6.020343,[109 181] ; [59 57],[120. 170.] ; [48. 68.],0
b1,1,0.016439,5.755284,[173 306] ; [80 92],[186.15514593 292.84485407] ; [ 66.84485407 105.15514593],0
p2,1,0.024283,5.074286,[400  77] ; [127  40],[390.34006211  86.65993789] ; [136.65993789  30.34006211],0
a8,1,0.039983,4.218627,[ 73 355] ; [ 17 148],[ 64.95784148 363.04215852] ; [ 25.04215852 139.95784148],0
p4,1,0.079876,3.067424,[285 191] ; [87 80],[275.38413686 200.61586314] ; [96.61586314 70.38413686],0
p10,1,0.088439,2.902565,[382  91] ; [126  43],[374.2741433  98.7258567] ; [133.7258567  35.2741433],0
u2,1,0.089096,2.89063,[81 43] ; [19 19],[76.54320988 47.45679012] ; [23.45679012 14.54320988],0
s5,1,0.105677,2.617711,[136 330] ; [ 59 105],[144.23809524 321.76190476] ; [ 50.76190476 113.23809524],0
p8,1,0.107849,2.58546,[250 224] ; [76 91],[241.06708268 232.93291732] ; [84.93291732 82.06708268],0
p12,1,0.137208,2.20899,[ 43 433] ; [  9 158],[ 38.49455677 437.50544323] ; [ 13.50544323 153.49455677],0
s6,1,0.191254,1.707929,[304 170] ; [97 69],[296.990625 177.009375] ; [104.009375  61.990625],0
n5,1,0.213739,1.545915,[339 136] ; [129  40],[345.1863354 129.8136646] ; [122.8136646  46.1863354],0
v2,1,0.225805,1.46709,[277 183] ; [91 75],[270.41533546 189.58466454] ; [97.58466454 68.41533546],0
b4,1,0.252437,1.309765,[294 185] ; [97 75],[287.69431644 191.30568356] ; [103.30568356  68.69431644],0
a1,1,0.261725,1.259611,[ 25 454] ; [ 13 159],[ 27.96006144 451.03993856] ; [ 10.03993856 161.96006144],0
a3,1,0.27927,1.17064,[351 126] ; [133  38],[356.27777778 120.72222222] ; [127.72222222  43.27777778],0
