Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,29.018163,[57 19] ; [ 8 29],[43.71681416 32.28318584] ; [21.28318584 15.71681416],1
r2,1,0.000308,13.019946,[73  3] ; [27 10],[67.25663717  8.74336283] ; [32.74336283  4.25663717],1
r4,1,0.000764,11.326558,[65 11] ; [21 16],[57.84070796 18.15929204] ; [28.15929204  8.84070796],1
a5,1,0.004273,8.164134,[54 22] ; [16 21],[47.07964602 28.92035398] ; [22.92035398 14.07964602],0
v3,1,0.006369,7.44285,[30 46] ; [ 5 31],[23.75 52.25] ; [11.25 24.75],0
p11,1,0.011071,6.45396,[44 32] ; [12 25],[37.66371681 38.33628319] ; [18.33628319 18.66371681],0
n6,1,0.028026,4.826485,[56 19] ; [20 17],[50.89285714 24.10714286] ; [25.10714286 11.89285714],0
v1,1,0.032615,4.565888,[32 44] ; [ 8 29],[26.90265487 49.09734513] ; [13.09734513 23.90265487],0
r1,1,0.050556,3.822932,[62 14] ; [24 13],[57.84070796 18.15929204] ; [28.15929204  8.84070796],0
s4,1,0.077248,3.121875,[ 7 67] ; [ 8 29],[10. 64.] ; [ 5. 32.],0
n2,1,0.077871,3.108784,[17  6] ; [ 9 10],[14.23809524  8.76190476] ; [11.76190476  7.23809524],0
u1,1,0.084239,2.981154,[16 60] ; [ 3 34],[12.77876106 63.22123894] ; [ 6.22123894 30.77876106],0
a4,1,0.119594,2.422631,[32 44] ; [10 27],[28.24778761 47.75221239] ; [13.75221239 23.24778761],0
n1,1,0.145946,2.114122,[11 10] ; [ 6 14],[ 8.70731707 12.29268293] ; [ 8.29268293 11.70731707],0
a6,1,0.159002,1.983689,[57 19] ; [23 14],[53.80530973 22.19469027] ; [26.19469027 10.80530973],0
s1,1,0.161352,1.961514,[ 3 72] ; [ 4 33],[ 4.6875 70.3125] ; [ 2.3125 34.6875],0
b3,1,0.201025,1.634913,[17 29] ; [ 5 18],[14.66666667 31.33333333] ; [ 7.33333333 15.66666667],0
b2,1,0.201025,1.634913,[17 29] ; [ 5 18],[14.66666667 31.33333333] ; [ 7.33333333 15.66666667],0
p2,1,0.227909,1.453866,[50 26] ; [20 17],[47.07964602 28.92035398] ; [22.92035398 14.07964602],0
a3,1,0.299244,1.077558,[52 23] ; [22 15],[49.55357143 25.44642857] ; [24.44642857 12.55357143],0
s3,1,0.303655,1.058076,[34 41] ; [13 24],[31.47321429 43.52678571] ; [15.52678571 21.47321429],0
p3,1,0.304856,1.052831,[26 49] ; [ 9 27],[23.64864865 51.35135135] ; [11.35135135 24.64864865],0
p10,1,0.314271,1.012642,[23 52] ; [ 8 29],[20.75892857 54.24107143] ; [10.24107143 26.75892857],0
a8,1,0.346303,0.886957,[ 8 60] ; [ 2 32],[ 6.66666667 61.33333333] ; [ 3.33333333 30.66666667],0
a2,1,0.386877,0.748734,[20 56] ; [ 7 30],[18.15929204 57.84070796] ; [ 8.84070796 28.15929204],0
r3,1,0.388947,0.742232,[68  8] ; [31  6],[66.5840708  9.4159292] ; [32.4159292  4.5840708],0
s7,1,0.403999,0.696392,[23 47] ; [ 9 27],[21.13207547 48.86792453] ; [10.86792453 25.13207547],0
d3,1,0.414424,0.666073,[55 21] ; [24 13],[53.13274336 22.86725664] ; [25.86725664 11.13274336],0
u3,1,0.440059,0.596128,[13 11] ; [10  5],[14.15384615  9.84615385] ; [8.84615385 6.15384615],0
p1,1,0.472003,0.517283,[ 7 68] ; [ 2 35],[ 6.02678571 68.97321429] ; [ 2.97321429 34.02678571],0
v2,1,0.500009,0.454918,[35 39] ; [15 22],[33.33333333 40.66666667] ; [16.66666667 20.33333333],0
s2,1,0.560297,0.33919,[24 50] ; [10 27],[22.66666667 51.33333333] ; [11.33333333 25.66666667],0
d4,1,0.562451,0.335478,[63 13] ; [29  8],[61.87610619 14.12389381] ; [30.12389381  6.87610619],0
d1,1,0.586519,0.295814,[39 37] ; [21 16],[40.3539823 35.6460177] ; [19.6460177 17.3539823],0
b5,1,0.645513,0.211604,[48 28] ; [25 12],[49.09734513 26.90265487] ; [23.90265487 13.09734513],0
s8,1,0.649371,0.206694,[17 58] ; [ 7 30],[16.07142857 58.92857143] ; [ 7.92857143 29.07142857],0
s5,1,0.65984,0.193718,[10 64] ; [ 6 30],[10.76363636 63.23636364] ; [ 5.23636364 30.76363636],0
v4,1,0.661671,0.1915,[66 10] ; [31  6],[65.23893805 10.76106195] ; [31.76106195  5.23893805],0
p7,1,0.684433,0.165179,[33 41] ; [15 22],[32. 42.] ; [16. 21.],0
d5,1,0.694175,0.154602,[60 16] ; [28  9],[59.18584071 16.81415929] ; [28.81415929  8.18584071],0
b1,1,0.699049,0.149463,[44 32] ; [20 17],[43.04424779 32.95575221] ; [20.95575221 16.04424779],0
b4,1,0.810469,0.057514,[49 27] ; [23 14],[48.42477876 27.57522124] ; [23.57522124 13.42477876],0
p6,1,0.813265,0.055798,[15 59] ; [ 8 28],[15.47272727 58.52727273] ; [ 7.52727273 28.47272727],0
p8,1,0.843687,0.03888,[26 50] ; [13 23],[26.46428571 49.53571429] ; [12.53571429 23.46428571],0
d2,1,0.892747,0.018179,[38 38] ; [19 18],[38.33628319 37.66371681] ; [18.66371681 18.33628319],0
n3,1,0.926608,0.008485,[14  8] ; [13  7],[14.14285714  7.85714286] ; [12.85714286  7.14285714],0
u2,1,0.94422,0.004895,[11 12] ; [7 8],[10.89473684 12.10526316] ; [7.10526316 7.89473684],0
s6,1,0.94848,0.004175,[36 39] ; [18 19],[36.16071429 38.83928571] ; [17.83928571 19.16071429],0
p4,1,0.951175,0.003749,[34 41] ; [17 20],[34.15178571 40.84821429] ; [16.84821429 20.15178571],0
