Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.685658,[27 14] ; [ 4 29],[17.17567568 23.82432432] ; [13.82432432 19.17567568],1
p11,1,0.002392,9.221623,[30 12] ; [12 21],[23.52 18.48] ; [18.48 14.52],0
s6,1,0.005767,7.621813,[23 18] ; [ 8 25],[17.17567568 23.82432432] ; [13.82432432 19.17567568],0
p9,1,0.010857,6.488633,[31  9] ; [15 16],[25.91549296 14.08450704] ; [20.08450704 10.91549296],0
s2,1,0.010903,6.481086,[19 22] ; [ 6 27],[13.85135135 27.14864865] ; [11.14864865 21.85135135],0
s8,1,0.019701,5.438159,[15 27] ; [ 4 29],[10.64 31.36] ; [ 8.36 24.64],0
p2,1,0.020201,5.394427,[26 14] ; [12 20],[21.11111111 18.88888889] ; [16.88888889 15.11111111],0
a4,1,0.026812,4.902889,[18 24] ; [22 10],[22.7027027 19.2972973] ; [17.2972973 14.7027027],0
p10,1,0.039145,4.254545,[26 13] ; [14 19],[21.66666667 17.33333333] ; [18.33333333 14.66666667],0
n3,1,0.081651,3.031732,[11  5] ; [ 7 11],[8.47058824 7.52941176] ; [9.52941176 8.47058824],0
d4,1,0.092802,2.825088,[36  6] ; [23 10],[33.04  8.96] ; [25.96  7.04],0
s7,1,0.096132,2.768571,[19 19] ; [ 9 21],[15.64705882 22.35294118] ; [12.35294118 17.64705882],0
b1,1,0.09903,2.721088,[20 22] ; [22 11],[23.52 18.48] ; [18.48 14.52],0
n1,1,0.11827,2.440087,[ 5 12] ; [10  8],[7.28571429 9.71428571] ; [ 7.71428571 10.28571429],0
p6,1,0.12,2.417322,[12 27] ; [ 5 28],[ 9.20833333 29.79166667] ; [ 7.79166667 25.20833333],0
n6,1,0.141645,2.16,[28 12] ; [17 15],[25. 15.] ; [20. 12.],0
s4,1,0.155523,2.01723,[ 4 38] ; [ 7 26],[ 6.16 35.84] ; [ 4.84 28.16],0
r1,1,0.165697,1.921445,[10 31] ; [13 20],[12.74324324 28.25675676] ; [10.25675676 22.74324324],0
d3,1,0.187376,1.738133,[23 19] ; [23 10],[25.76 16.24] ; [20.24 12.76],0
p5,1,0.224405,1.475979,[ 3 39] ; [ 5 26],[ 4.60273973 37.39726027] ; [ 3.39726027 27.60273973],0
n5,1,0.224913,1.472744,[25 15] ; [25  8],[27.39726027 12.60273973] ; [22.60273973 10.39726027],0
p8,1,0.250459,1.320742,[14 27] ; [ 7 25],[11.79452055 29.20547945] ; [ 9.20547945 22.79452055],0
u3,1,0.263552,1.25,[4 5] ; [1 5],[3. 6.] ; [2. 4.],0
a1,1,0.273561,1.198801,[ 4 38] ; [ 6 27],[ 5.6 36.4] ; [ 4.4 28.6],0
r2,1,0.290747,1.116157,[21 17] ; [21 10],[23.13043478 14.86956522] ; [18.86956522 12.13043478],0
s5,1,0.294964,1.096826,[ 9 32] ; [ 4 28],[ 7.30136986 33.69863014] ; [ 5.69863014 26.30136986],0
p4,1,0.310271,1.02952,[21 20] ; [13 20],[18.83783784 22.16216216] ; [15.16216216 17.83783784],0
v1,1,0.326777,0.961626,[17 21] ; [11 22],[14.98591549 23.01408451] ; [13.01408451 19.98591549],0
s3,1,0.373735,0.791209,[17 22] ; [11 22],[15.16666667 23.83333333] ; [12.83333333 20.16666667],0
n2,1,0.379581,0.772059,[11  6] ; [9 9],[9.71428571 7.28571429] ; [10.28571429  7.71428571],0
d2,1,0.384042,0.757724,[22 20] ; [20 12],[23.83783784 18.16216216] ; [18.16216216 13.83783784],0
a3,1,0.385594,0.752791,[32 10] ; [27  5],[33.48648649  8.51351351] ; [25.51351351  6.48648649],0
p7,1,0.42435,0.638238,[17 24] ; [10 21],[15.375 25.625] ; [11.625 19.375],0
d5,1,0.431517,0.618736,[36  6] ; [26  7],[34.72  7.28] ; [27.28  5.72],0
s1,1,0.455639,0.556586,[ 2 40] ; [ 3 30],[ 2.8 39.2] ; [ 2.2 30.8],0
b5,1,0.455639,0.556586,[24 18] ; [16 17],[22.4 19.6] ; [17.6 15.4],0
a6,1,0.52554,0.403007,[25 17] ; [22 11],[26.32 15.68] ; [20.68 12.32],0
b3,1,0.539449,0.376562,[ 8 18] ; [ 9 14],[ 9.02040816 16.97959184] ; [ 7.97959184 15.02040816],0
b2,1,0.539449,0.376562,[ 8 18] ; [ 9 14],[ 9.02040816 16.97959184] ; [ 7.97959184 15.02040816],0
p3,1,0.579908,0.306383,[15 25] ; [10 22],[13.88888889 26.11111111] ; [11.11111111 20.88888889],0
a2,1,0.585668,0.29716,[ 8 34] ; [ 8 25],[ 8.96 33.04] ; [ 7.04 25.96],0
a8,1,0.61543,0.252342,[ 4 37] ; [ 2 29],[ 3.41666667 37.58333333] ; [ 2.58333333 28.41666667],0
d1,1,0.626986,0.23617,[24 18] ; [17 16],[22.96 19.04] ; [18.04 14.96],0
v4,1,0.638893,0.220193,[24 16] ; [18 15],[23.01369863 16.98630137] ; [18.98630137 14.01369863],0
p12,1,0.673078,0.178023,[ 2 38] ; [ 1 32],[ 1.64383562 38.35616438] ; [ 1.35616438 31.64383562],0
u1,1,0.695161,0.153554,[ 5 37] ; [ 3 30],[ 4.48 37.52] ; [ 3.52 29.48],0
b4,1,0.737622,0.112228,[22 20] ; [16 17],[21.28 20.72] ; [16.72 16.28],0
p1,1,0.757563,0.095285,[ 3 39] ; [ 3 30],[ 3.36 38.64] ; [ 2.64 30.36],0
a7,1,0.807473,0.059383,[23 19] ; [19 14],[23.52 18.48] ; [18.48 14.52],0
n4,1,0.826324,0.048144,[29 13] ; [22 11],[28.56 13.44] ; [22.44 10.56],0
v3,1,0.847312,0.037075,[11 31] ; [ 8 25],[10.64 31.36] ; [ 8.36 24.64],0
