Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,23.374059,[32 62] ; [ 12 126],[17.82758621 76.17241379] ; [ 26.17241379 111.82758621],1
p2,1,2.4e-05,17.830614,[79 16] ; [79 60],[64.14529915 30.85470085] ; [93.85470085 45.14529915],1
p3,1,0.002096,9.463174,[39 56] ; [ 31 108],[28.41880342 66.58119658] ; [41.58119658 97.41880342],0
p4,1,0.00265,9.034069,[42 53] ; [ 35 103],[31.39484979 63.60515021] ; [45.60515021 92.39484979],0
s3,1,0.005751,7.626618,[54 40] ; [53 83],[43.73043478 50.26956522] ; [63.26956522 72.73043478],0
v2,1,0.020697,5.352088,[46 47] ; [45 87],[37.61333333 55.38666667] ; [53.38666667 78.61333333],0
n6,1,0.028913,4.772768,[75 19] ; [92 46],[67.6637931 26.3362069] ; [99.3362069 38.6637931],0
s7,1,0.057202,3.616693,[36 54] ; [37 96],[29.46188341 60.53811659] ; [43.53811659 89.46188341],0
v4,1,0.057906,3.596376,[85  8] ; [114  24],[80.11688312 12.88311688] ; [118.88311688  19.11688312],0
s8,1,0.058909,3.567843,[33 61] ; [ 33 106],[26.62660944 67.37339056] ; [39.37339056 99.62660944],0
b3,1,0.062249,3.476426,[18 48] ; [29 39],[23.14925373 42.85074627] ; [23.85074627 44.14925373],0
b2,1,0.062249,3.476426,[18 48] ; [29 39],[23.14925373 42.85074627] ; [23.85074627 44.14925373],0
s2,1,0.066591,3.36512,[42 53] ; [44 92],[35.36796537 59.63203463] ; [50.63203463 85.36796537],0
r3,1,0.070925,3.261493,[85  9] ; [113  25],[80.22413793 13.77586207] ; [117.77586207  20.22413793],0
b4,1,0.084951,2.967538,[48 47] ; [86 53],[54.4017094 40.5982906] ; [79.5982906 59.4017094],0
v1,1,0.106794,2.601039,[46 45] ; [54 82],[40.08810573 50.91189427] ; [59.91189427 76.08810573],0
p1,1,0.128708,2.308021,[ 3 92] ; [ 11 127],[ 5.70815451 89.29184549] ; [  8.29184549 129.70815451],0
a6,1,0.137367,2.207215,[46 49] ; [81 58],[51.55982906 43.44017094] ; [75.44017094 63.55982906],0
s6,1,0.149596,2.076366,[53 41] ; [65 74],[47.60515021 46.39484979] ; [70.39484979 68.60515021],0
u1,1,0.199289,1.647581,[ 5 90] ; [  3 136],[ 3.24786325 91.75213675] ; [  4.75213675 134.24786325],0
n3,1,0.200303,1.640165,[25  6] ; [31 15],[22.54545455  8.45454545] ; [33.45454545 12.54545455],0
p10,1,0.210001,1.571418,[61 32] ; [78 58],[56.44978166 36.55021834] ; [82.55021834 53.44978166],0
u2,1,0.241894,1.369522,[19 15] ; [26 34],[16.27659574 17.72340426] ; [28.72340426 31.27659574],0
n4,1,0.317541,0.999049,[59 35] ; [96 43],[62.53218884 31.46781116] ; [92.46781116 46.53218884],0
b5,1,0.328033,0.956648,[52 43] ; [85 54],[55.61965812 39.38034188] ; [81.38034188 57.61965812],0
r4,1,0.330009,0.948864,[75 20] ; [102  37],[71.85897436 23.14102564] ; [105.14102564  33.85897436],0
p9,1,0.334283,0.932235,[67 28] ; [87 48],[63.60869565 31.39130435] ; [90.39130435 44.60869565],0
d5,1,0.339307,0.913047,[56 38] ; [74 65],[52.44635193 41.55364807] ; [77.55364807 61.44635193],0
s1,1,0.355875,0.852399,[ 3 90] ; [  8 128],[ 4.46724891 88.53275109] ; [  6.53275109 129.46724891],0
s4,1,0.37292,0.793911,[14 80] ; [ 27 112],[16.54077253 77.45922747] ; [ 24.45922747 114.54077253],0
a7,1,0.380675,0.768522,[50 44] ; [82 57],[53.25321888 40.74678112] ; [78.74678112 60.25321888],0
a3,1,0.431568,0.618599,[58 36] ; [78 60],[55.10344828 38.89655172] ; [80.89655172 57.10344828],0
n1,1,0.456792,0.553745,[ 9 21] ; [18 29],[10.51948052 19.48051948] ; [16.48051948 30.51948052],0
r1,1,0.487623,0.481768,[63 30] ; [88 51],[60.53017241 32.46982759] ; [90.46982759 48.53017241],0
p12,1,0.504772,0.44489,[ 2 93] ; [  5 133],[ 2.85407725 92.14592275] ; [  4.14592275 133.85407725],0
p5,1,0.524605,0.404831,[ 5 89] ; [  5 134],[ 4.03433476 89.96566524] ; [  5.96566524 133.03433476],0
a5,1,0.538145,0.37899,[46 49] ; [73 66],[48.31196581 46.68803419] ; [70.68803419 68.31196581],0
d4,1,0.551627,0.354411,[55 40] ; [75 64],[52.77777778 42.22222222] ; [77.22222222 61.77777778],0
