Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n2,1,0.019172,5.485714,[12  2] ; [4 6],[9.33333333 4.66666667] ; [6.66666667 3.33333333],0
s3,1,0.025142,5.014046,[26 11] ; [ 6 10],[22.33962264 14.66037736] ; [9.66037736 6.33962264],0
p2,1,0.029965,4.711312,[33  5] ; [9 6],[30.11320755  7.88679245] ; [11.88679245  3.11320755],0
b1,1,0.031775,4.610581,[14 24] ; [11  5],[17.59259259 20.40740741] ; [7.40740741 8.59259259],0
s7,1,0.040504,4.196661,[22 16] ; [ 4 11],[18.64150943 19.35849057] ; [7.35849057 7.64150943],0
n5,1,0.049081,3.872586,[26 10] ; [7 9],[22.84615385 13.15384615] ; [10.15384615  5.84615385],0
p9,1,0.057269,3.61476,[29  9] ; [8 8],[26.03703704 11.96296296] ; [10.96296296  5.03703704],0
d3,1,0.070964,3.260584,[21 17] ; [13  3],[23.92592593 14.07407407] ; [10.07407407  5.92592593],0
s8,1,0.070964,3.260584,[17 21] ; [ 3 13],[14.07407407 23.92592593] ; [ 5.92592593 10.07407407],0
a4,1,0.073652,3.199706,[14 24] ; [ 2 14],[11.25925926 26.74074074] ; [ 4.74074074 11.25925926],0
p10,1,0.078787,3.089757,[25 11] ; [7 9],[22.15384615 13.84615385] ; [9.84615385 6.15384615],0
n1,1,0.080824,3.048259,[6 8] ; [1 9],[4.08333333 9.91666667] ; [2.91666667 7.08333333],0
r2,1,0.09769,2.742857,[16 16] ; [12  4],[18.66666667 13.33333333] ; [9.33333333 6.66666667],0
b4,1,0.121251,2.401089,[23 15] ; [ 6 10],[20.40740741 17.59259259] ; [8.59259259 7.40740741],0
p6,1,0.13079,2.283103,[12 25] ; [ 2 14],[ 9.77358491 27.22641509] ; [ 4.22641509 11.77358491],0
n4,1,0.139071,2.188207,[27 11] ; [8 8],[24.62962963 13.37037037] ; [10.37037037  5.62962963],0
r3,1,0.148925,2.083225,[30  7] ; [10  6],[27.9245283  9.0754717] ; [12.0754717  3.9245283],0
p8,1,0.171713,1.867926,[14 23] ; [ 3 13],[11.86792453 25.13207547] ; [ 5.13207547 10.86792453],0
v3,1,0.207899,1.585996,[ 8 30] ; [ 6 10],[ 9.85185185 28.14814815] ; [ 4.14814815 11.85185185],0
a1,1,0.353812,0.859737,[ 2 36] ; [ 2 14],[ 2.81481481 35.18518519] ; [ 1.18518519 14.81481481],0
a5,1,0.368885,0.807416,[24 14] ; [8 8],[22.51851852 15.48148148] ; [9.48148148 6.51851852],0
a7,1,0.400246,0.707586,[19 19] ; [10  6],[20.40740741 17.59259259] ; [8.59259259 7.40740741],0
p4,1,0.400246,0.707586,[19 19] ; [ 6 10],[17.59259259 20.40740741] ; [7.40740741 8.59259259],0
r1,1,0.411152,0.675467,[10 28] ; [ 6 10],[11.25925926 26.74074074] ; [ 4.74074074 11.25925926],0
n6,1,0.430262,0.622116,[25 12] ; [9 7],[23.73584906 13.26415094] ; [10.26415094  5.73584906],0
a6,1,0.475042,0.510224,[23 15] ; [8 8],[21.81481481 16.18518519] ; [9.18518519 6.81481481],0
n3,1,0.484018,0.489796,[9 5] ; [5 5],[8.16666667 5.83333333] ; [5.83333333 4.16666667],0
d2,1,0.507423,0.439377,[13 25] ; [7 9],[14.07407407 23.92592593] ; [ 5.92592593 10.07407407],0
p1,1,0.520282,0.413335,[ 1 37] ; [ 1 15],[ 1.40740741 36.59259259] ; [ 0.59259259 15.40740741],0
s1,1,0.520282,0.413335,[ 1 37] ; [ 1 15],[ 1.40740741 36.59259259] ; [ 0.59259259 15.40740741],0
u3,1,0.536632,0.381818,[6 8] ; [4 3],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
d4,1,0.552647,0.352597,[28 10] ; [13  3],[28.85185185  9.14814815] ; [12.14814815  3.85185185],0
d5,1,0.562382,0.335597,[29  9] ; [11  5],[28.14814815  9.85185185] ; [11.85185185  4.14814815],0
d1,1,0.634448,0.226077,[14 24] ; [7 9],[14.77777778 23.22222222] ; [6.22222222 9.77777778],0
p7,1,0.74253,0.107915,[21 15] ; [8 7],[20.47058824 15.52941176] ; [8.52941176 6.47058824],0
s4,1,0.767445,0.087449,[11 27] ; [ 4 12],[10.55555556 27.44444444] ; [ 4.44444444 11.55555556],0
u2,1,0.768571,0.08658,[8 6] ; [3 3],[7.7 6.3] ; [3.3 2.7],0
a3,1,0.770261,0.085283,[23 15] ; [9 7],[22.51851852 15.48148148] ; [9.48148148 6.51851852],0
v4,1,0.790864,0.070325,[25 10] ; [12  4],[25.39215686  9.60784314] ; [11.60784314  4.39215686],0
v2,1,0.830185,0.045995,[21 16] ; [9 6],[21.34615385 15.65384615] ; [8.65384615 6.34615385],0
p3,1,0.830821,0.045646,[14 24] ; [6 9],[14.33962264 23.66037736] ; [5.66037736 9.33962264],0
b5,1,0.833097,0.044408,[25 13] ; [11  5],[25.33333333 12.66666667] ; [10.66666667  5.33333333],0
s5,1,0.845551,0.037946,[11 25] ; [ 5 10],[11.29411765 24.70588235] ; [ 4.70588235 10.29411765],0
v1,1,0.8532,0.034239,[17 19] ; [8 8],[17.30769231 18.69230769] ; [7.69230769 8.30769231],0
s2,1,0.911133,0.012457,[22 16] ; [9 7],[21.81481481 16.18518519] ; [9.18518519 6.81481481],0
b2,1,1.0,0.0,[ 6 24] ; [1 4],[ 6. 24.] ; [1. 4.],0
b3,1,1.0,0.0,[ 6 24] ; [1 4],[ 6. 24.] ; [1. 4.],0
