Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.017983,5.597831,[12  1] ; [13 11],[8.78378378 4.21621622] ; [16.21621622  7.78378378],0
s5,1,0.053843,3.717569,[6 7] ; [ 4 20],[3.51351351 9.48648649] ; [ 6.48648649 17.51351351],0
a8,1,0.076885,3.129545,[3 9] ; [ 1 21],[ 1.41176471 10.58823529] ; [ 2.58823529 19.41176471],0
p5,1,0.07807,3.104634,[5 8] ; [ 3 20],[ 2.88888889 10.11111111] ; [ 5.11111111 17.88888889],0
v3,1,0.07932,3.078772,[7 6] ; [ 6 18],[4.56756757 8.43243243] ; [ 8.43243243 15.56756757],0
a5,1,0.098281,2.733211,[5 8] ; [16  8],[7.37837838 5.62162162] ; [13.62162162 10.37837838],0
v2,1,0.098439,2.73065,[8 4] ; [ 9 15],[5.66666667 6.33333333] ; [11.33333333 12.66666667],0
u2,1,0.129392,2.299784,[5 1] ; [5 6],[3.52941176 2.47058824] ; [6.47058824 4.52941176],0
p10,1,0.13738,2.207066,[11  2] ; [14  9],[9.02777778 3.97222222] ; [15.97222222  7.02777778],0
n4,1,0.173023,1.856556,[10  3] ; [13 11],[8.08108108 4.91891892] ; [14.91891892  9.08108108],0
p6,1,0.189446,1.721923,[6 7] ; [ 6 18],[4.21621622 8.78378378] ; [ 7.78378378 16.21621622],0
b1,1,0.225038,1.47195,[6 7] ; [16  8],[7.72972973 5.27027027] ; [14.27027027  9.72972973],0
u3,1,0.231605,1.430976,[4 2] ; [4 7],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
p11,1,0.240545,1.377398,[11  2] ; [16  8],[9.48648649 3.51351351] ; [17.51351351  6.48648649],0
a7,1,0.248286,1.332921,[8 5] ; [10 14],[6.32432432 6.67567568] ; [11.67567568 12.32432432],0
s7,1,0.248381,1.332389,[2 8] ; [ 9 13],[3.4375 6.5625] ; [ 7.5625 14.4375],0
n5,1,0.258152,1.278641,[10  3] ; [14 10],[8.43243243 4.56756757] ; [15.56756757  8.43243243],0
p9,1,0.316503,1.003344,[11  2] ; [16  7],[9.75 3.25] ; [17.25  5.75],0
s3,1,0.318725,0.994171,[4 9] ; [11 12],[5.41666667 7.58333333] ; [ 9.58333333 13.41666667],0
s2,1,0.318725,0.994171,[4 9] ; [11 12],[5.41666667 7.58333333] ; [ 9.58333333 13.41666667],0
d5,1,0.37095,0.800481,[10  3] ; [15  9],[8.78378378 4.21621622] ; [16.21621622  7.78378378],0
b3,1,0.423206,0.641394,[2 4] ; [ 3 14],[1.30434783 4.69565217] ; [ 3.69565217 13.30434783],0
b2,1,0.423206,0.641394,[2 4] ; [ 3 14],[1.30434783 4.69565217] ; [ 3.69565217 13.30434783],0
r1,1,0.442703,0.589266,[6 7] ; [ 8 16],[4.91891892 8.08108108] ; [ 9.08108108 14.91891892],0
v1,1,0.50137,0.452036,[5 8] ; [12 12],[5.97297297 7.02702703] ; [11.02702703 12.97297297],0
b5,1,0.50137,0.452036,[8 5] ; [12 12],[7.02702703 5.97297297] ; [12.97297297 11.02702703],0
a4,1,0.514084,0.425745,[4 9] ; [10 14],[4.91891892 8.08108108] ; [ 9.08108108 14.91891892],0
d2,1,0.564222,0.332447,[5 8] ; [ 7 17],[4.21621622 8.78378378] ; [ 7.78378378 16.21621622],0
d1,1,0.564222,0.332447,[5 8] ; [ 7 17],[4.21621622 8.78378378] ; [ 7.78378378 16.21621622],0
p2,1,0.634592,0.225885,[10  3] ; [20  4],[10.54054054  2.45945946] ; [19.45945946  4.54054054],0
p1,1,0.650722,0.204991,[ 1 12] ; [ 1 23],[ 0.7027027 12.2972973] ; [ 1.2972973 22.7027027],0
s6,1,0.665671,0.186708,[8 5] ; [13 11],[7.37837838 5.62162162] ; [13.62162162 10.37837838],0
s8,1,0.682234,0.167622,[4 9] ; [ 9 15],[4.56756757 8.43243243] ; [ 8.43243243 15.56756757],0
s4,1,0.686225,0.163202,[ 2 11] ; [ 5 19],[ 2.45945946 10.54054054] ; [ 4.54054054 19.45945946],0
n6,1,0.690487,0.158559,[10  3] ; [17  7],[9.48648649 3.51351351] ; [17.51351351  6.48648649],0
a6,1,0.792538,0.069177,[7 6] ; [14 10],[7.37837838 5.62162162] ; [13.62162162 10.37837838],0
p12,1,0.806439,0.060036,[ 2 11] ; [ 3 21],[ 1.75675676 11.24324324] ; [ 3.24324324 20.75675676],0
p3,1,0.849647,0.035936,[8 5] ; [14 10],[7.72972973 5.27027027] ; [14.27027027  9.72972973],0
d3,1,0.849647,0.035936,[8 5] ; [14 10],[7.72972973 5.27027027] ; [14.27027027  9.72972973],0
p7,1,0.873624,0.025299,[9 4] ; [16  8],[8.78378378 4.21621622] ; [16.21621622  7.78378378],0
d4,1,0.896441,0.016941,[10  3] ; [18  6],[9.83783784 3.16216216] ; [18.16216216  5.83783784],0
p8,1,0.923096,0.009319,[7 6] ; [12 11],[6.86111111 6.13888889] ; [12.13888889 10.86111111],0
a1,1,0.94563,0.004651,[ 1 12] ; [ 2 22],[ 1.05405405 11.94594595] ; [ 1.94594595 22.05405405],0
b4,1,0.954089,0.003315,[5 8] ; [ 9 15],[4.91891892 8.08108108] ; [ 9.08108108 14.91891892],0
a3,1,0.9851,0.000349,[7 6] ; [13 11],[7.02702703 5.97297297] ; [12.97297297 11.02702703],0
