Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2e-06,22.416283,[123  14] ; [25 18],[112.64444444  24.35555556] ; [35.35555556  7.64444444],1
p7,1,0.00013,14.646239,[98 35] ; [18 25],[87.65909091 45.34090909] ; [28.34090909 14.65909091],1
b1,1,0.001747,9.797667,[49 88] ; [27 16],[57.84444444 79.15555556] ; [18.15555556 24.84444444],0
p8,1,0.004979,7.886877,[74 61] ; [13 30],[65.98314607 69.01685393] ; [21.01685393 21.98314607],0
p2,1,0.009598,6.708022,[119  18] ; [30 13],[113.40555556  23.59444444] ; [35.59444444  7.40555556],0
b5,1,0.011128,6.444708,[62 75] ; [29 14],[69.26111111 67.73888889] ; [21.73888889 21.26111111],0
r3,1,0.014447,5.982637,[131   5] ; [37  6],[127.6424581   8.3575419] ; [40.3575419  2.6424581],0
n5,1,0.091074,2.855294,[106  30] ; [28 15],[101.81005587  34.18994413] ; [32.18994413 10.81005587],0
v3,1,0.096992,2.754318,[44 89] ; [ 8 33],[39.74712644 93.25287356] ; [12.25287356 28.74712644],0
n1,1,0.109038,2.56811,[11 19] ; [13  9],[13.84615385 16.15384615] ; [10.15384615 11.84615385],0
p1,1,0.115672,2.474962,[ 11 126] ; [ 7 36],[ 13.7 123.3] ; [ 4.3 38.7],0
p3,1,0.172261,1.863157,[70 66] ; [17 26],[66.10055866 69.89944134] ; [20.89944134 22.10055866],0
n3,1,0.188742,1.727409,[24  6] ; [14  8],[21.92307692  8.07692308] ; [16.07692308  5.92307692],0
n4,1,0.198738,1.651624,[114  23] ; [32 11],[111.12222222  25.87777778] ; [34.87777778  8.12222222],0
p4,1,0.239875,1.381328,[87 50] ; [23 20],[83.72222222 53.27777778] ; [26.27777778 16.72222222],0
a6,1,0.268542,1.224177,[88 49] ; [23 19],[84.95530726 52.04469274] ; [26.04469274 15.95530726],0
a4,1,0.304053,1.056333,[61 76] ; [23 20],[63.93333333 73.06666667] ; [20.06666667 22.93333333],0
s1,1,0.316643,1.002762,[  7 130] ; [ 4 39],[  8.37222222 128.62777778] ; [ 2.62777778 40.37222222],0
b4,1,0.321395,0.983262,[71 66] ; [26 17],[73.82777778 63.17222222] ; [23.17222222 19.82777778],0
u1,1,0.349887,0.873866,[ 26 111] ; [11 32],[ 28.16111111 108.83888889] ; [ 8.83888889 34.16111111],0
v2,1,0.363058,0.827286,[60 73] ; [16 27],[57.43181818 75.56818182] ; [18.56818182 24.43181818],0
s3,1,0.377138,0.780011,[104  32] ; [30 13],[101.81005587  34.18994413] ; [32.18994413 10.81005587],0
s4,1,0.381773,0.764983,[ 35 101] ; [14 29],[37.22905028 98.77094972] ; [11.77094972 31.22905028],0
u4,1,0.383835,0.758384,[  1 136] ; [ 1 42],[  1.52222222 135.47777778] ; [ 0.47777778 42.52222222],0
u2,1,0.385223,0.753968,[20 10] ; [4 4],[18.94736842 11.05263158] ; [5.05263158 2.94736842],0
p9,1,0.422693,0.642817,[117  19] ; [34  8],[115.37078652  20.62921348] ; [35.62921348  6.37078652],0
d2,1,0.4418,0.591604,[69 68] ; [24 18],[71.17877095 65.82122905] ; [21.82122905 20.17877095],0
a8,1,0.466737,0.529691,[ 19 109] ; [ 4 35],[ 17.62874251 110.37125749] ; [ 5.37125749 33.62874251],0
r2,1,0.480116,0.498599,[130   6] ; [39  3],[129.12359551   6.87640449] ; [39.87640449  2.12359551],0
r1,1,0.484427,0.488881,[108  29] ; [36  7],[109.6  27.4] ; [34.4  8.6],0
