Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,7e-06,20.28125,[22 11] ; [ 37 107],[11. 22.] ; [48. 96.],1
p5,1,4.5e-05,16.661668,[10 22] ; [  9 133],[ 3.49425287 28.50574713] ; [ 15.50574713 126.49425287],1
s6,1,0.000361,12.725765,[24  9] ; [55 88],[14.8125 18.1875] ; [64.1875 78.8125],1
d4,1,0.001056,10.727273,[30  3] ; [88 56],[22. 11.] ; [96. 48.],0
d3,1,0.002731,8.978924,[25  8] ; [67 76],[17.25 15.75] ; [74.75 68.25],0
b4,1,0.006385,7.438277,[26  7] ; [76 68],[19.01694915 13.98305085] ; [82.98305085 61.01694915],0
p3,1,0.011381,6.40483,[19 14] ; [48 94],[12.63428571 20.36571429] ; [54.36571429 87.63428571],0
p6,1,0.013361,6.120611,[15 18] ; [ 33 105],[ 9.26315789 23.73684211] ; [38.73684211 99.26315789],0
p10,1,0.013629,6.085639,[27  5] ; [86 54],[21.02325581 10.97674419] ; [91.97674419 48.02325581],0
v1,1,0.015057,5.909777,[18 13] ; [48 91],[12.03529412 18.96470588] ; [53.96470588 85.03529412],0
p4,1,0.017184,5.677441,[22 11] ; [62 80],[15.84 17.16] ; [68.16 73.84],0
n3,1,0.031371,4.632521,[2 5] ; [33 14],[4.53703704 2.46296296] ; [30.46296296 16.53703704],0
v4,1,0.031465,4.627404,[30  2] ; [110  33],[25.6  6.4] ; [114.4  28.6],0
r4,1,0.040687,4.189007,[23 10] ; [72 72],[17.71186441 15.28813559] ; [77.28813559 66.71186441],0
a1,1,0.042299,4.123191,[ 6 27] ; [ 10 134],[ 2.98305085 30.01694915] ; [ 13.01694915 130.98305085],0
a5,1,0.048118,3.905855,[23 10] ; [73 71],[17.89830508 15.10169492] ; [78.10169492 65.89830508],0
n6,1,0.049478,3.859055,[29  4] ; [102  41],[24.5625  8.4375] ; [106.4375  36.5625],0
s7,1,0.058465,3.580414,[13 18] ; [ 34 102],[ 8.7245509 22.2754491] ; [38.2754491 97.7245509],0
s3,1,0.062461,3.470791,[18 15] ; [52 89],[13.27586207 19.72413793] ; [56.72413793 84.27586207],0
p9,1,0.067371,3.345938,[29  4] ; [101  38],[24.94186047  8.05813953] ; [105.05813953  33.94186047],0
s8,1,0.073058,3.212934,[12 21] ; [ 31 113],[ 8.01694915 24.98305085] ; [ 34.98305085 109.01694915],0
b5,1,0.086361,2.940927,[16 17] ; [93 51],[20.3220339 12.6779661] ; [88.6779661 55.3220339],0
d5,1,0.087848,2.913373,[26  7] ; [91 53],[21.81355932 11.18644068] ; [95.18644068 48.81355932],0
v2,1,0.094056,2.803543,[16 15] ; [50 91],[11.89534884 19.10465116] ; [54.10465116 86.89534884],0
d1,1,0.101729,2.678219,[17 16] ; [52 92],[12.86440678 20.13559322] ; [56.13559322 87.86440678],0
a7,1,0.104016,2.642863,[23 10] ; [78 66],[18.83050847 14.16949153] ; [82.16949153 61.83050847],0
u3,1,0.127902,2.31779,[6 6] ; [16 42],[3.77142857 8.22857143] ; [18.22857143 39.77142857],0
p2,1,0.127993,2.316681,[25  7] ; [91 51],[21.33333333 10.66666667] ; [94.66666667 47.33333333],0
p7,1,0.187368,1.73819,[19 13] ; [66 76],[15.63218391 16.36781609] ; [69.36781609 72.63218391],0
u2,1,0.233992,1.416427,[7 5] ; [23 35],[5.14285714 6.85714286] ; [24.85714286 33.14285714],0
u1,1,0.245472,1.348891,[ 3 30] ; [  6 138],[ 1.6779661 31.3220339] ; [  7.3220339 136.6779661],0
u4,1,0.252174,1.311218,[ 1 32] ; [  1 143],[ 0.37288136 32.62711864] ; [  1.62711864 142.37288136],0
p8,1,0.362148,0.830431,[15 18] ; [52 89],[12.70689655 20.29310345] ; [54.29310345 86.70689655],0
d2,1,0.381392,0.76621,[10 23] ; [55 88],[12.1875 20.8125] ; [52.8125 90.1875],0
n5,1,0.427997,0.628252,[20 13] ; [97 46],[21.9375 11.0625] ; [95.0625 47.9375],0
a4,1,0.432349,0.616506,[12 21] ; [ 42 101],[10.125 22.875] ; [43.875 99.125],0
r3,1,0.449651,0.571532,[28  5] ; [113  30],[26.4375  6.5625] ; [114.5625  28.4375],0
p11,1,0.455847,0.556073,[24  9] ; [95 49],[22.18644068 10.81355932] ; [96.81355932 47.18644068],0
a3,1,0.490371,0.475711,[21 11] ; [85 59],[19.27272727 12.72727273] ; [86.72727273 57.27272727],0
r2,1,0.503659,0.447219,[26  6] ; [106  34],[24.55813953  7.44186047] ; [107.44186047  32.55813953],0
p1,1,0.547543,0.361738,[ 4 28] ; [ 13 131],[ 3.09090909 28.90909091] ; [ 13.90909091 130.09090909],0
v3,1,0.552724,0.352459,[ 7 23] ; [ 41 102],[ 8.32369942 21.67630058] ; [ 39.67630058 103.32369942],0
n2,1,0.694496,0.154261,[5 2] ; [30 17],[4.53703704 2.46296296] ; [30.46296296 16.53703704],0
n4,1,0.740118,0.110023,[21 12] ; [96 48],[21.81355932 11.18644068] ; [95.18644068 48.81355932],0
p12,1,0.791022,0.070216,[ 2 31] ; [  7 135],[ 1.69714286 31.30285714] ; [  7.30285714 134.69714286],0
a6,1,0.810936,0.057225,[20 13] ; [84 60],[19.38983051 13.61016949] ; [84.61016949 59.38983051],0
b2,1,0.821457,0.050928,[ 7 12] ; [29 56],[ 6.57692308 12.42307692] ; [29.42307692 55.57692308],0
b3,1,0.821457,0.050928,[ 7 12] ; [29 56],[ 6.57692308 12.42307692] ; [29.42307692 55.57692308],0
n1,1,0.85103,0.035271,[3 4] ; [18 28],[2.77358491 4.22641509] ; [18.22641509 27.77358491],0
a8,1,0.895931,0.01711,[ 3 29] ; [ 14 124],[ 3.2 28.8] ; [ 13.8 124.2],0
s1,1,0.937054,0.006237,[ 1 32] ; [  4 140],[ 0.93220339 32.06779661] ; [  4.06779661 139.93220339],0
a2,1,0.959661,0.002558,[ 4 29] ; [ 17 127],[ 3.91525424 29.08474576] ; [ 17.08474576 126.91525424],0
b1,1,0.973784,0.00108,[15 18] ; [65 79],[14.91525424 18.08474576] ; [65.08474576 78.91525424],0
