Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,6e-06,20.574583,[3 9] ; [47  7],[9.09090909 2.90909091] ; [40.90909091 13.09090909],1
n5,1,0.012453,6.245241,[5 7] ; [42 12],[8.54545455 3.45454545] ; [38.45454545 15.54545455],0
a5,1,0.014387,5.990039,[3 9] ; [35 20],[6.80597015 5.19402985] ; [31.19402985 23.80597015],0
s2,1,0.037072,4.347114,[3 9] ; [32 23],[6.26865672 5.73134328] ; [28.73134328 26.26865672],0
n6,1,0.050778,3.815574,[7 5] ; [46  9],[9.49253731 2.50746269] ; [43.50746269 11.49253731],0
d1,1,0.063621,3.440386,[3 9] ; [30 25],[5.91044776 6.08955224] ; [27.08955224 27.91044776],0
d5,1,0.083489,2.995643,[7 5] ; [44 10],[9.27272727 2.72727273] ; [41.72727273 12.27272727],0
v3,1,0.085686,2.953616,[ 2 10] ; [23 30],[4.61538462 7.38461538] ; [20.38461538 32.61538462],0
s6,1,0.098169,2.735043,[5 7] ; [35 17],[7.5 4.5] ; [32.5 19.5],0
v2,1,0.099235,2.717797,[4 8] ; [31 21],[6.5625 5.4375] ; [28.4375 23.5625],0
d3,1,0.117122,2.455385,[5 7] ; [35 18],[7.38461538 4.61538462] ; [32.61538462 20.38461538],0
b1,1,0.117783,2.446552,[8 4] ; [23 32],[5.55223881 6.44776119] ; [25.44776119 29.55223881],0
b4,1,0.125498,2.347324,[5 7] ; [36 19],[7.34328358 4.65671642] ; [33.65671642 21.34328358],0
r2,1,0.138311,2.196655,[9 3] ; [48  5],[10.52307692  1.47692308] ; [46.47692308  6.52307692],0
v1,1,0.143899,2.135756,[3 9] ; [26 28],[5.27272727 6.72727273] ; [23.72727273 30.27272727],0
d4,1,0.152253,2.049531,[7 5] ; [43 12],[8.95522388 3.04477612] ; [41.04477612 13.95522388],0
a3,1,0.159785,1.976256,[5 7] ; [35 20],[7.1641791 4.8358209] ; [32.8358209 22.1641791],0
n4,1,0.162287,1.952782,[6 6] ; [39 16],[8.05970149 3.94029851] ; [36.94029851 18.05970149],0
p3,1,0.245503,1.348714,[5 7] ; [33 22],[6.80597015 5.19402985] ; [31.19402985 23.80597015],0
b3,1,0.283962,1.148032,[2 6] ; [16 19],[3.34883721 4.65116279] ; [14.65116279 20.34883721],0
b2,1,0.283962,1.148032,[2 6] ; [16 19],[3.34883721 4.65116279] ; [14.65116279 20.34883721],0
p7,1,0.289264,1.123044,[10  2] ; [36 17],[8.49230769 3.50769231] ; [37.50769231 15.49230769],0
p4,1,0.323522,0.974653,[7 5] ; [40 15],[8.41791045 3.58208955] ; [38.58208955 16.41791045],0
a4,1,0.38821,0.744543,[3 9] ; [21 34],[4.29850746 7.70149254] ; [19.70149254 35.29850746],0
s1,1,0.42788,0.628571,[ 1 10] ; [ 2 53],[ 0.5 10.5] ; [ 2.5 52.5],0
p2,1,0.479618,0.499731,[9 3] ; [46  9],[9.85074627 2.14925373] ; [45.14925373  9.85074627],0
s8,1,0.487449,0.482152,[5 7] ; [29 26],[6.08955224 5.91044776] ; [27.91044776 27.08955224],0
s7,1,0.532909,0.388841,[5 6] ; [29 23],[5.93650794 5.06349206] ; [28.06349206 23.93650794],0
s5,1,0.552686,0.352526,[3 7] ; [20 30],[3.83333333 6.16666667] ; [19.16666667 30.83333333],0
s3,1,0.561761,0.336665,[5 7] ; [28 27],[5.91044776 6.08955224] ; [27.08955224 27.91044776],0
p11,1,0.588411,0.292832,[9 3] ; [45 10],[9.67164179 2.32835821] ; [44.32835821 10.67164179],0
s4,1,0.599737,0.275392,[ 2 10] ; [13 42],[2.68656716 9.31343284] ; [12.31343284 42.68656716],0
n3,1,0.612274,0.256877,[4 1] ; [13  6],[3.54166667 1.45833333] ; [13.45833333  5.54166667],0
u3,1,0.658387,0.195489,[3 4] ; [10  9],[3.5 3.5] ; [9.5 9.5],0
r3,1,0.67062,0.180878,[11  1] ; [48  7],[10.56716418  1.43283582] ; [48.43283582  6.56716418],0
u2,1,0.711011,0.137269,[4 3] ; [13  7],[4.40740741 2.59259259] ; [12.59259259  7.40740741],0
a7,1,0.7197,0.12878,[8 4] ; [33 21],[7.45454545 4.54545455] ; [33.54545455 20.45454545],0
n2,1,0.722283,0.126316,[3 2] ; [13  6],[3.33333333 1.66666667] ; [12.66666667  6.33333333],0
b5,1,0.730739,0.118434,[7 5] ; [35 20],[7.52238806 4.47761194] ; [34.47761194 20.52238806],0
a8,1,0.74847,0.102821,[ 1 11] ; [ 6 46],[ 1.3125 10.6875] ; [ 5.6875 46.3125],0
v4,1,0.791552,0.069852,[11  1] ; [49  6],[10.74626866  1.25373134] ; [49.25373134  5.74626866],0
d2,1,0.822409,0.050377,[5 7] ; [21 34],[4.65671642 7.34328358] ; [21.34328358 33.65671642],0
r4,1,0.869715,0.026903,[8 4] ; [38 17],[8.23880597 3.76119403] ; [37.76119403 17.23880597],0
u1,1,0.8992,0.016046,[ 1 11] ; [ 4 51],[ 0.89552239 11.10447761] ; [ 4.10447761 50.89552239],0
a6,1,0.915069,0.011373,[7 5] ; [33 22],[7.1641791 4.8358209] ; [32.8358209 22.1641791],0
n1,1,0.923708,0.009171,[2 2] ; [ 9 10],[1.91304348 2.08695652] ; [9.08695652 9.91304348],0
a2,1,0.933636,0.006934,[ 1 11] ; [ 5 50],[ 1.07462687 10.92537313] ; [ 4.92537313 50.07462687],0
p8,1,0.992307,9.3e-05,[7 5] ; [32 23],[6.98507463 5.01492537] ; [32.01492537 22.98507463],0
