Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000361,12.724364,[38 12] ; [ 7 15],[31.25 18.75] ; [13.75  8.25],1
s5,1,0.000534,11.993428,[23 25] ; [ 1 20],[16.69565217 31.30434783] ; [ 7.30434783 13.69565217],1
r4,1,0.000644,11.644019,[45  5] ; [12 10],[39.58333333 10.41666667] ; [17.41666667  4.58333333],1
s8,1,0.00228,9.309441,[28 21] ; [ 4 18],[22.08450704 26.91549296] ; [ 9.91549296 12.08450704],0
p6,1,0.002557,9.099449,[20 29] ; [ 1 20],[14.7 34.3] ; [ 6.3 14.7],0
r1,1,0.00329,8.639394,[41  9] ; [10 11],[35.91549296 14.08450704] ; [15.08450704  5.91549296],0
d5,1,0.004761,7.968185,[37 12] ; [ 9 13],[31.74647887 17.25352113] ; [14.25352113  7.74647887],0
s7,1,0.027725,4.845064,[27 20] ; [ 6 15],[22.80882353 24.19117647] ; [10.19117647 10.80882353],0
v4,1,0.03031,4.691608,[47  3] ; [16  5],[44.36619718  5.63380282] ; [18.63380282  2.36619718],0
v2,1,0.031846,4.606749,[31 16] ; [ 8 13],[26.95588235 20.04411765] ; [12.04411765  8.95588235],0
s3,1,0.041346,4.161766,[34 14] ; [10 12],[30.17142857 17.82857143] ; [13.82857143  8.17142857],0
p9,1,0.043701,4.068083,[39 11] ; [12 10],[35.41666667 14.58333333] ; [15.58333333  6.41666667],0
b2,1,0.043931,4.05921,[11 23] ; [10  6],[14.28 19.72] ; [6.72 9.28],0
b3,1,0.043931,4.05921,[11 23] ; [10  6],[14.28 19.72] ; [6.72 9.28],0
b4,1,0.046671,3.957195,[33 17] ; [ 9 13],[29.16666667 20.83333333] ; [12.83333333  9.16666667],0
r2,1,0.092351,2.832906,[47  3] ; [17  4],[45.07042254  4.92957746] ; [18.92957746  2.07042254],0
d1,1,0.124773,2.356364,[28 22] ; [ 8 14],[25. 25.] ; [11. 11.],0
p10,1,0.146148,2.112,[34 16] ; [11 11],[31.25 18.75] ; [13.75  8.25],0
p11,1,0.147826,2.094545,[36 14] ; [12 10],[33.33333333 16.66666667] ; [14.66666667  7.33333333],0
a5,1,0.147826,2.094545,[36 14] ; [12 10],[33.33333333 16.66666667] ; [14.66666667  7.33333333],0
d4,1,0.160963,1.965155,[37 12] ; [13  9],[34.50704225 14.49295775] ; [15.49295775  6.50704225],0
n6,1,0.177344,1.819745,[38 11] ; [13  8],[35.7 13.3] ; [15.3  5.7],0
s1,1,0.189638,1.72043,[ 4 45] ; [ 4 17],[ 5.6 43.4] ; [ 2.4 18.6],0
p8,1,0.227872,1.454098,[16 34] ; [ 4 18],[13.88888889 36.11111111] ; [ 6.11111111 15.88888889],0
n1,1,0.276116,1.186108,[8 9] ; [5 2],[9.20833333 7.79166667] ; [3.79166667 3.20833333],0
v3,1,0.293836,1.101962,[23 24] ; [ 7 13],[21.04477612 25.95522388] ; [ 8.95522388 11.04477612],0
n2,1,0.315286,1.008403,[15  2] ; [5 2],[14.16666667  2.83333333] ; [5.83333333 1.16666667],0
p7,1,0.342934,0.899433,[21 25] ; [ 7 14],[19.2238806 26.7761194] ; [ 8.7761194 12.2238806],0
u2,1,0.352704,0.863705,[12  7] ; [3 4],[10.96153846  8.03846154] ; [4.03846154 2.96153846],0
s4,1,0.367522,0.812027,[11 37] ; [ 3 19],[ 9.6 38.4] ; [ 4.4 17.6],0
d3,1,0.375927,0.78398,[30 19] ; [11 11],[28.29577465 20.70422535] ; [12.70422535  9.29577465],0
r3,1,0.435912,0.60702,[44  6] ; [17  4],[42.95774648  7.04225352] ; [18.04225352  2.95774648],0
u3,1,0.518416,0.417043,[14  5] ; [6 1],[14.61538462  4.38461538] ; [5.38461538 1.61538462],0
n3,1,0.562069,0.336134,[10  7] ; [5 2],[10.625  6.375] ; [4.375 2.625],0
p4,1,0.573629,0.316648,[19 30] ; [ 7 15],[17.94366197 31.05633803] ; [ 8.05633803 13.94366197],0
b5,1,0.573956,0.316108,[33 17] ; [13  9],[31.94444444 18.05555556] ; [14.05555556  7.94444444],0
n4,1,0.620234,0.245539,[34 16] ; [13  8],[33.09859155 16.90140845] ; [13.90140845  7.09859155],0
p1,1,0.651077,0.204545,[ 5 45] ; [ 3 19],[ 5.55555556 44.44444444] ; [ 2.44444444 19.55555556],0
a3,1,0.688351,0.160877,[31 18] ; [15  7],[31.74647887 17.25352113] ; [14.25352113  7.74647887],0
d2,1,0.69019,0.158879,[22 27] ; [11 11],[22.77464789 26.22535211] ; [10.22535211 11.77464789],0
a7,1,0.702313,0.146077,[31 19] ; [12  9],[30.28169014 19.71830986] ; [12.71830986  8.28169014],0
n5,1,0.775552,0.081293,[34 16] ; [15  6],[34.50704225 15.49295775] ; [14.49295775  6.50704225],0
p3,1,0.785495,0.074074,[17 32] ; [ 8 13],[17.5 31.5] ; [ 7.5 13.5],0
u1,1,0.797339,0.065942,[ 8 42] ; [ 3 19],[ 7.63888889 42.36111111] ; [ 3.36111111 18.63888889],0
a4,1,0.811278,0.057015,[23 26] ; [11 11],[23.46478873 25.53521127] ; [10.53521127 11.46478873],0
a6,1,0.838303,0.041642,[28 21] ; [12 10],[27.6056338 21.3943662] ; [12.3943662  9.6056338],0
a1,1,0.877391,0.023802,[ 4 46] ; [ 2 20],[ 4.16666667 45.83333333] ; [ 1.83333333 20.16666667],0
b1,1,0.942244,0.005249,[20 30] ; [ 9 13],[20.13888889 29.86111111] ; [ 8.86111111 13.13888889],0
a2,1,0.985259,0.000341,[ 9 41] ; [ 4 18],[ 9.02777778 40.97222222] ; [ 3.97222222 18.02777778],0
