Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4e-06,21.087521,[39 97] ; [22  8],[49.97590361 86.02409639] ; [11.02409639 18.97590361],1
p10,1,0.003577,8.487187,[73 61] ; [25  5],[80.07317073 53.92682927] ; [17.92682927 12.07317073],0
s7,1,0.005453,7.722586,[32 99] ; [15 15],[38.24223602 92.75776398] ; [ 8.75776398 21.24223602],0
u3,1,0.006351,7.447917,[22 30] ; [11  2],[26.4 25.6] ; [6.6 6.4],0
s6,1,0.00782,7.07424,[56 78] ; [20  9],[62.47852761 71.52147239] ; [13.52147239 15.47852761],0
s3,1,0.00809,7.013456,[51 82] ; [20 11],[57.57926829 75.42073171] ; [13.42073171 17.57926829],0
d3,1,0.013154,6.148256,[86 50] ; [26  4],[91.75903614 44.24096386] ; [20.24096386  9.75903614],0
u1,1,0.040477,4.197783,[ 10 126] ; [ 6 25],[ 13.02994012 122.97005988] ; [ 2.97005988 28.02994012],0
b5,1,0.045736,3.991296,[79 57] ; [24  7],[83.88023952 52.11976048] ; [19.11976048 11.88023952],0
p8,1,0.062009,3.482829,[46 89] ; [ 5 25],[41.72727273 93.27272727] ; [ 9.27272727 20.72727273],0
s5,1,0.087673,2.916595,[ 26 105] ; [10 19],[ 29.475 101.525] ; [ 6.525 22.475],0
b1,1,0.100745,2.693712,[47 89] ; [ 6 25],[43.16167665 92.83832335] ; [ 9.83832335 21.16167665],0
p9,1,0.101091,2.688244,[85 49] ; [23  6],[88.78527607 45.21472393] ; [19.21472393  9.78527607],0
n2,1,0.12056,2.410035,[35 18] ; [3 5],[33.01639344 19.98360656] ; [4.98360656 3.01639344],0
s8,1,0.122584,2.383992,[ 30 105] ; [11 20],[ 33.34337349 101.65662651] ; [ 7.65662651 23.34337349],0
p11,1,0.128586,2.309494,[90 46] ; [16 15],[86.32335329 49.67664671] ; [19.67664671 11.32335329],0
v4,1,0.265661,1.239014,[115  19] ; [28  2],[116.84146341  17.15853659] ; [26.15853659  3.84146341],0
p4,1,0.28152,1.15974,[39 96] ; [ 6 25],[36.59638554 98.40361446] ; [ 8.40361446 22.59638554],0
n6,1,0.301347,1.068225,[83 53] ; [22  9],[85.50898204 50.49101796] ; [19.49101796 11.50898204],0
a6,1,0.322364,0.979332,[79 57] ; [21 10],[81.43712575 54.56287425] ; [18.56287425 12.43712575],0
a7,1,0.333208,0.93639,[97 39] ; [24  6],[99.13253012 36.86746988] ; [21.86746988  8.13253012],0
v2,1,0.335847,0.92622,[61 69] ; [17 13],[63.375 66.625] ; [14.625 15.375],0
d1,1,0.351889,0.866633,[62 74] ; [17 14],[64.33532934 71.66467066] ; [14.66467066 16.33532934],0
p7,1,0.393165,0.729131,[56 78] ; [10 20],[53.92682927 80.07317073] ; [12.07317073 17.92682927],0
v1,1,0.457388,0.552278,[48 85] ; [ 9 22],[46.22560976 86.77439024] ; [10.77439024 20.22560976],0
p2,1,0.464442,0.535169,[92 43] ; [19 12],[90.27108434 44.72891566] ; [20.72891566 10.27108434],0
a4,1,0.506974,0.440308,[48 88] ; [ 9 22],[46.41916168 89.58083832] ; [10.58083832 20.41916168],0
r4,1,0.616861,0.250304,[104  32] ; [25  6],[105.05389222  30.94610778] ; [23.94610778  7.05389222],0
r1,1,0.631951,0.229425,[95 41] ; [23  8],[96.09580838 39.90419162] ; [21.90419162  9.09580838],0
r3,1,0.662898,0.190022,[126  10] ; [28  3],[125.41317365  10.58682635] ; [28.58682635  2.41317365],0
d5,1,0.722578,0.126036,[100  36] ; [23  7],[100.77108434  35.22891566] ; [22.22891566  7.77108434],0
n3,1,0.740269,0.10989,[36 16] ; [6 2],[36.4 15.6] ; [5.6 2.4],0
b4,1,0.743864,0.10676,[79 57] ; [19 12],[79.80838323 56.19161677] ; [18.19161677 12.80838323],0
p1,1,0.747456,0.103681,[  3 131] ; [ 1 30],[  3.24848485 130.75151515] ; [ 0.75151515 30.24848485],0
a2,1,0.766847,0.087913,[ 15 121] ; [ 4 27],[ 15.47305389 120.52694611] ; [ 3.52694611 27.47305389],0
a3,1,0.783647,0.075388,[82 53] ; [18 13],[81.3253012 53.6746988] ; [18.6746988 12.3253012],0
d4,1,0.80798,0.059065,[107  29] ; [25  6],[107.49700599  28.50299401] ; [24.50299401  6.49700599],0
b2,1,0.821528,0.050886,[21 50] ; [ 4 11],[20.63953488 50.36046512] ; [ 4.36046512 10.63953488],0
b3,1,0.821528,0.050886,[21 50] ; [ 4 11],[20.63953488 50.36046512] ; [ 4.36046512 10.63953488],0
u2,1,0.857528,0.032228,[30 23] ; [7 6],[29.71212121 23.28787879] ; [7.28787879 5.71212121],0
d2,1,0.900208,0.015725,[51 85] ; [12 19],[51.30538922 84.69461078] ; [11.69461078 19.30538922],0
a5,1,0.906742,0.013724,[73 63] ; [17 14],[73.29341317 62.70658683] ; [16.70658683 14.29341317],0
v3,1,0.926027,0.00862,[32 96] ; [ 8 23],[32.20125786 95.79874214] ; [ 7.79874214 23.20125786],0
p6,1,0.936853,0.006277,[ 21 114] ; [ 5 26],[ 21.14457831 113.85542169] ; [ 4.85542169 26.14457831],0
n4,1,0.954441,0.003264,[49 87] ; [11 20],[48.86227545 87.13772455] ; [11.13772455 19.86227545],0
n1,1,0.955456,0.00312,[14 40] ; [2 6],[13.93548387 40.06451613] ; [2.06451613 5.93548387],0
