Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,6e-06,20.566138,[15 31] ; [97 41],[28. 18.] ; [84. 54.],1
d3,1,0.001081,10.683871,[22 24] ; [102  36],[31. 15.] ; [93. 45.],0
a5,1,0.001554,10.013772,[22 24] ; [101  37],[30.75 15.25] ; [92.25 45.75],0
r1,1,0.00182,9.723022,[28 18] ; [113  23],[35.63736264 10.36263736] ; [105.36263736  30.63736264],0
a2,1,0.007185,7.226225,[ 1 45] ; [ 25 113],[ 6.5 39.5] ; [ 19.5 118.5],0
d4,1,0.009225,6.778662,[30 16] ; [115  23],[36.25  9.75] ; [108.75  29.25],0
b1,1,0.021037,5.323746,[23 23] ; [43 95],[16.5 29.5] ; [49.5 88.5],0
a3,1,0.046744,3.954572,[23 23] ; [91 46],[28.6557377 17.3442623] ; [85.3442623 51.6557377],0
p6,1,0.047586,3.924555,[21 25] ; [41 97],[15.5 30.5] ; [46.5 91.5],0
b5,1,0.053765,3.719967,[23 23] ; [91 47],[28.5 17.5] ; [85.5 52.5],0
n5,1,0.063284,3.449159,[38  8] ; [93 43],[33.10989011 12.89010989] ; [97.89010989 38.10989011],0
p2,1,0.069037,3.305762,[37  9] ; [124  13],[40.46994536  5.53005464] ; [120.53005464  16.46994536],0
d1,1,0.088358,2.90404,[19 27] ; [77 61],[24. 22.] ; [72. 66.],0
r4,1,0.129374,2.3,[37  9] ; [123  15],[40.  6.] ; [120.  18.],0
s6,1,0.150997,2.062147,[25 20] ; [89 43],[28.98305085 16.01694915] ; [85.01694915 46.98305085],0
p11,1,0.158592,1.9876,[34 12] ; [115  23],[37.25  8.75] ; [111.75  26.25],0
d5,1,0.191037,1.709605,[32 14] ; [109  29],[35.25 10.75] ; [105.75  32.25],0
r3,1,0.244942,1.351927,[41  5] ; [130   8],[42.75  3.25] ; [128.25   9.75],0
r2,1,0.273769,1.197765,[38  5] ; [129   9],[39.67403315  3.32596685] ; [127.32596685  10.67403315],0
s2,1,0.328816,0.953556,[19 27] ; [67 68],[21.85635359 24.14364641] ; [64.14364641 70.85635359],0
p4,1,0.39029,0.738037,[25 20] ; [66 71],[22.5 22.5] ; [68.5 68.5],0
p12,1,0.395149,0.723038,[ 1 45] ; [  7 129],[ 2.02197802 43.97802198] ; [  5.97802198 130.02197802],0
b2,1,0.427282,0.630199,[10 17] ; [21 52],[ 8.37 18.63] ; [22.63 50.37],0
b3,1,0.427282,0.630199,[10 17] ; [21 52],[ 8.37 18.63] ; [22.63 50.37],0
s3,1,0.439282,0.598157,[21 25] ; [69 63],[23.25842697 22.74157303] ; [66.74157303 65.25842697],0
a8,1,0.449029,0.573101,[ 5 37] ; [ 21 104],[ 6.53892216 35.46107784] ; [ 19.46107784 105.53892216],0
n1,1,0.452214,0.565096,[7 7] ; [11 18],[5.86046512 8.13953488] ; [12.13953488 16.86046512],0
n2,1,0.4941,0.467586,[11  3] ; [26  4],[11.77272727  2.22727273] ; [25.22727273  4.77272727],0
n4,1,0.497557,0.460143,[34 12] ; [94 43],[32.17486339 13.82513661] ; [95.82513661 41.17486339],0
b4,1,0.548383,0.360222,[24 22] ; [79 59],[25.75 20.25] ; [77.25 60.75],0
p5,1,0.555128,0.348211,[ 5 41] ; [ 11 126],[ 4.02185792 41.97814208] ; [ 11.97814208 125.02185792],0
v2,1,0.573191,0.317373,[21 24] ; [67 63],[22.62857143 22.37142857] ; [65.37142857 64.62857143],0
u3,1,0.609185,0.261364,[10 13] ; [23 23],[11. 12.] ; [22. 24.],0
a4,1,0.610358,0.259654,[17 29] ; [45 92],[15.58469945 30.41530055] ; [46.41530055 90.58469945],0
p9,1,0.625699,0.237939,[37  9] ; [112  22],[38.07777778  7.92222222] ; [110.92222222  23.07777778],0
s8,1,0.627157,0.235936,[20 26] ; [54 83],[18.6010929 27.3989071] ; [55.3989071 81.6010929],0
u1,1,0.640759,0.217751,[ 3 43] ; [ 12 126],[ 3.75 42.25] ; [ 11.25 126.75],0
v3,1,0.668997,0.182778,[18 28] ; [47 85],[16.79775281 29.20224719] ; [48.20224719 83.79775281],0
v1,1,0.706331,0.141969,[25 21] ; [68 65],[23.89944134 22.10055866] ; [69.10055866 63.89944134],0
p10,1,0.715935,0.132421,[36 10] ; [109  26],[36.85082873  9.14917127] ; [108.14917127  26.85082873],0
p1,1,0.730348,0.118793,[ 3 43] ; [ 11 125],[ 3.53846154 42.46153846] ; [ 10.46153846 125.53846154],0
n3,1,0.782967,0.075875,[9 4] ; [22  8],[9.37209302 3.62790698] ; [21.62790698  8.37209302],0
a1,1,0.793491,0.068529,[ 1 45] ; [  4 134],[ 1.25 44.75] ; [  3.75 134.25],0
u2,1,0.799133,0.064755,[12 11] ; [23 24],[11.5 11.5] ; [23.5 23.5],0
s4,1,0.847615,0.036926,[ 6 40] ; [ 19 115],[ 6.38888889 39.61111111] ; [ 18.61111111 115.38888889],0
n6,1,0.880126,0.022744,[38  8] ; [111  25],[37.65934066  8.34065934] ; [111.34065934  24.65934066],0
s7,1,0.910953,0.012507,[19 25] ; [57 78],[18.68156425 25.31843575] ; [57.31843575 77.68156425],0
p7,1,0.933452,0.006973,[32 13] ; [93 39],[31.77966102 13.22033898] ; [93.22033898 38.77966102],0
s5,1,0.967524,0.001658,[13 32] ; [38 95],[12.89325843 32.10674157] ; [38.10674157 94.89325843],0
s1,1,0.978033,0.000758,[ 2 44] ; [  6 129],[ 2.03314917 43.96685083] ; [  5.96685083 129.03314917],0
d2,1,1.0,0.0,[18 28] ; [54 84],[18. 28.] ; [54. 84.],0
