Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,25.272095,[52 13] ; [ 5 18],[42.10227273 22.89772727] ; [14.89772727  8.10227273],1
d5,1,1.3e-05,19.03491,[54 11] ; [ 8 15],[45.79545455 19.20454545] ; [16.20454545  6.79545455],1
d1,1,0.000886,11.051836,[43 22] ; [ 6 17],[36.19318182 28.80681818] ; [12.80681818 10.19318182],1
v1,1,0.00494,7.901171,[38 25] ; [ 6 17],[32.23255814 30.76744186] ; [11.76744186 11.23255814],0
u3,1,0.005814,7.606912,[17  8] ; [2 9],[13.19444444 11.80555556] ; [5.80555556 5.19444444],0
a5,1,0.005876,7.588035,[53 12] ; [12 11],[48.01136364 16.98863636] ; [16.98863636  6.01136364],0
d4,1,0.009777,6.67505,[56  9] ; [14  9],[51.70454545 13.29545455] ; [18.29545455  4.70454545],0
d2,1,0.015622,5.844974,[36 29] ; [ 6 17],[31.02272727 33.97727273] ; [10.97727273 12.02272727],0
a6,1,0.019368,5.467941,[46 19] ; [10 13],[41.36363636 23.63636364] ; [14.63636364  8.36363636],0
a2,1,0.04534,4.005946,[15 50] ; [ 1 22],[11.81818182 53.18181818] ; [ 4.18181818 18.81818182],0
r1,1,0.045649,3.994518,[53 12] ; [14  9],[49.48863636 15.51136364] ; [17.51136364  5.48863636],0
r2,1,0.051644,3.78726,[62  3] ; [19  4],[59.82954545  5.17045455] ; [21.17045455  1.82954545],0
r4,1,0.119018,2.430196,[59  6] ; [18  5],[56.875  8.125] ; [20.125  2.875],0
p11,1,0.121534,2.397438,[48 17] ; [13 10],[45.05681818 19.94318182] ; [15.94318182  7.05681818],0
n3,1,0.122398,2.386364,[9 5] ; [2 5],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
u1,1,0.130951,2.281195,[11 54] ; [ 1 22],[ 8.86363636 56.13636364] ; [ 3.13636364 19.86363636],0
s5,1,0.160468,1.969813,[13 46] ; [ 2 21],[10.79268293 48.20731707] ; [ 4.20731707 18.79268293],0
b1,1,0.162431,1.951444,[18 47] ; [10 13],[20.68181818 44.31818182] ; [ 7.31818182 15.68181818],0
s2,1,0.210997,1.564575,[31 31] ; [ 8 15],[28.44705882 33.55294118] ; [10.55294118 12.44705882],0
s8,1,0.218424,1.514694,[21 42] ; [11 12],[23.44186047 39.55813953] ; [ 8.55813953 14.44186047],0
a8,1,0.237834,1.393385,[ 8 47] ; [ 1 20],[ 6.51315789 48.48684211] ; [ 2.48684211 18.51315789],0
p10,1,0.244696,1.353337,[52 12] ; [16  7],[50.02298851 13.97701149] ; [17.97701149  5.02298851],0
b5,1,0.252228,1.310923,[40 25] ; [11 12],[37.67045455 27.32954545] ; [13.32954545  9.67045455],0
b4,1,0.28703,1.133499,[37 28] ; [16  7],[39.14772727 25.85227273] ; [13.85227273  9.14772727],0
n2,1,0.305507,1.05,[11  3] ; [4 3],[10.  4.] ; [5. 2.],0
a3,1,0.386385,0.750287,[40 24] ; [12 11],[38.25287356 25.74712644] ; [13.74712644  9.25287356],0
a4,1,0.387665,0.746253,[26 38] ; [ 7 16],[24.27586207 39.72413793] ; [ 8.72413793 14.27586207],0
p12,1,0.447119,0.577945,[ 6 58] ; [ 1 22],[ 5.14942529 58.85057471] ; [ 1.85057471 21.14942529],0
v2,1,0.454469,0.559482,[35 29] ; [10 12],[33.48837209 30.51162791] ; [11.51162791 10.48837209],0
n5,1,0.488099,0.480713,[46 19] ; [18  5],[47.27272727 17.72727273] ; [16.72727273  6.27272727],0
p5,1,0.520936,0.41204,[ 9 56] ; [ 2 21],[ 8.125 56.875] ; [ 2.875 20.125],0
n1,1,0.536632,0.381818,[8 6] ; [3 4],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
p6,1,0.547204,0.362351,[15 49] ; [ 4 19],[13.97701149 50.02298851] ; [ 5.02298851 17.97701149],0
b2,1,0.55924,0.341022,[12 25] ; [5 7],[12.83673469 24.16326531] ; [4.16326531 7.83673469],0
b3,1,0.55924,0.341022,[12 25] ; [5 7],[12.83673469 24.16326531] ; [4.16326531 7.83673469],0
p9,1,0.559578,0.340435,[56  8] ; [19  4],[55.17241379  8.82758621] ; [19.82758621  3.17241379],0
v4,1,0.584447,0.2991,[60  5] ; [22  1],[60.56818182  4.43181818] ; [21.43181818  1.56818182],0
s3,1,0.592939,0.285778,[31 31] ; [10 13],[29.90588235 32.09411765] ; [11.09411765 11.90588235],0
p2,1,0.606785,0.264883,[54 11] ; [18  5],[53.18181818 11.81818182] ; [18.81818182  4.18181818],0
v3,1,0.632064,0.229272,[24 40] ; [ 7 15],[23.06976744 40.93023256] ; [ 7.93023256 14.06976744],0
u2,1,0.668576,0.183273,[14 11] ; [7 4],[14.58333333 10.41666667] ; [6.41666667 4.58333333],0
p3,1,0.711077,0.137204,[25 39] ; [10 13],[25.74712644 38.25287356] ; [ 9.25287356 13.74712644],0
u4,1,0.772833,0.083331,[ 2 63] ; [ 1 22],[ 2.21590909 62.78409091] ; [ 0.78409091 22.21590909],0
n4,1,0.773861,0.082558,[46 19] ; [17  6],[46.53409091 18.46590909] ; [16.46590909  6.53409091],0
p1,1,0.785662,0.073956,[10 55] ; [ 3 20],[ 9.60227273 55.39772727] ; [ 3.39772727 19.60227273],0
s6,1,0.898239,0.016355,[36 26] ; [13 10],[35.74117647 26.25882353] ; [13.25882353  9.74117647],0
p4,1,0.924832,0.008902,[36 29] ; [13 10],[36.19318182 28.80681818] ; [12.80681818 10.19318182],0
s7,1,0.933141,0.007038,[26 36] ; [ 9 13],[25.83333333 36.16666667] ; [ 9.16666667 12.83333333],0
r3,1,0.938845,0.005886,[59  6] ; [21  2],[59.09090909  5.90909091] ; [20.90909091  2.09090909],0
