Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,125.130372,[256  59] ; [ 88 163],[191.44876325 123.55123675] ; [152.55123675  98.44876325],1
s2,1,0.0,48.752844,[256  71] ; [131 127],[216.32307692 110.67692308] ; [170.67692308  87.32307692],1
s3,1,0.0,31.980351,[260  66] ; [147 106],[229.15716753  96.84283247] ; [177.84283247  75.15716753],1
d2,1,2.1e-05,18.110281,[187 142] ; [101 157],[161.41737649 167.58262351] ; [126.58262351 131.41737649],1
d1,1,0.000125,14.717011,[222 107] ; [135 125],[199.41086587 129.58913413] ; [157.58913413 102.41086587],1
a3,1,0.000243,13.463679,[256  72] ; [166  92],[236.20477816  91.79522184] ; [185.79522184  72.20477816],1
p6,1,0.00044,12.355107,[151 174] ; [ 81 172],[130.44982699 194.55017301] ; [101.55017301 151.44982699],1
p10,1,0.000796,11.249392,[288  37] ; [199  55],[273.35924007  51.64075993] ; [213.64075993  40.35924007],1
p9,1,0.002119,9.44324,[299  28] ; [210  43],[286.97068966  40.02931034] ; [222.02931034  30.97068966],0
p3,1,0.002362,9.244519,[192 137] ; [118 140],[173.74787053 155.25212947] ; [136.25212947 121.74787053],0
a5,1,0.002478,9.157133,[262  67] ; [178  81],[246.19047619  82.80952381] ; [193.80952381  65.19047619],0
v1,1,0.003534,8.509188,[197 118] ; [129 127],[179.84238179 135.15761821] ; [146.15761821 109.84238179],0
d5,1,0.004409,8.107076,[285  43] ; [202  57],[272.12265758  55.87734242] ; [214.87734242  44.12265758],0
s5,1,0.005637,7.662708,[154 162] ; [ 94 159],[137.72934974 178.27065026] ; [110.27065026 142.72934974],0
p4,1,0.011612,6.369128,[225 103] ; [151 107],[210.45733788 117.54266212] ; [165.54266212  92.45733788],0
u1,1,0.013652,6.082658,[ 79 250] ; [ 41 219],[ 67.02886248 261.97113752] ; [ 52.97113752 207.02886248],0
p1,1,0.017102,5.685886,[ 36 291] ; [ 14 243],[ 27.99657534 299.00342466] ; [ 22.00342466 234.99657534],0
u4,1,0.017112,5.684842,[ 15 314] ; [  3 257],[ 10.05432937 318.94567063] ; [  7.94567063 252.05432937],0
r1,1,0.017226,5.673229,[283  44] ; [205  54],[272.31399317  54.68600683] ; [215.68600683  43.31399317],0
n4,1,0.017755,5.620176,[268  59] ; [192  68],[256.25212947  70.74787053] ; [203.74787053  56.25212947],0
b3,1,0.018527,5.545586,[ 91 131] ; [38 95],[ 80.67042254 141.32957746] ; [48.32957746 84.67042254],0
b2,1,0.018527,5.545586,[ 91 131] ; [38 95],[ 80.67042254 141.32957746] ; [48.32957746 84.67042254],0
v3,1,0.019039,5.497902,[141 173] ; [ 89 164],[127.37213404 186.62786596] ; [102.62786596 150.37213404],0
a7,1,0.025987,4.956865,[229  99] ; [202  57],[240.83134583  87.16865417] ; [190.16865417  68.83134583],0
b1,1,0.035361,4.427682,[138 191] ; [ 87 173],[125.67911715 203.32088285] ; [ 99.32088285 160.67911715],0
p8,1,0.038484,4.283515,[185 138] ; [124 131],[172.67647059 150.32352941] ; [136.32352941 118.67647059],0
p5,1,0.039931,4.220795,[ 52 274] ; [ 26 231],[ 43.61578045 282.38421955] ; [ 34.38421955 222.61578045],0
p7,1,0.046455,3.965001,[222  96] ; [154  95],[210.87830688 107.12169312] ; [165.12169312  83.87830688],0
r4,1,0.052604,3.756453,[314  15] ; [238  22],[308.3327674  20.6672326] ; [243.6672326  16.3327674],0
u3,1,0.055914,3.654622,[53 20] ; [53 38],[47.18292683 25.81707317] ; [58.81707317 32.18292683],0
a2,1,0.08451,2.975956,[ 94 235] ; [ 58 202],[ 84.90322581 244.09677419] ; [ 67.09677419 192.90322581],0
a4,1,0.087363,2.92231,[159 170] ; [106 151],[148.77986348 180.22013652] ; [116.22013652 140.77986348],0
n5,1,0.119921,2.418347,[263  65] ; [193  65],[255.23549488  72.76450512] ; [200.76450512  57.23549488],0
