Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,59.451985,[101   5] ; [17 27],[83.38666667 22.61333333] ; [34.61333333  9.38666667],1
r1,1,0.0,42.085381,[80 26] ; [ 8 36],[62.18666667 43.81333333] ; [25.81333333 18.18666667],1
v4,1,0.0,37.278793,[100   6] ; [23 21],[86.92 19.08] ; [36.08  7.92],1
r2,1,0.0,33.202721,[99  6] ; [23 19],[87.14285714 17.85714286] ; [34.85714286  7.14285714],1
p11,1,1.5e-05,18.795315,[84 22] ; [19 25],[72.78666667 33.21333333] ; [30.21333333 13.78666667],1
a5,1,0.002338,9.26301,[65 41] ; [15 29],[56.53333333 49.46666667] ; [23.46666667 20.53333333],0
n6,1,0.003802,8.375828,[82 23] ; [24 20],[74.69798658 30.30201342] ; [31.30201342 12.69798658],0
d5,1,0.004434,8.096803,[70 36] ; [18 26],[62.18666667 43.81333333] ; [25.81333333 18.18666667],0
b1,1,0.005777,7.618662,[39 67] ; [27 17],[46.64 59.36] ; [19.36 24.64],0
n2,1,0.005826,7.603448,[25  4] ; [10 10],[20.71428571  8.28571429] ; [14.28571429  5.71428571],0
s5,1,0.00605,7.535276,[33 66] ; [ 5 39],[26.30769231 72.69230769] ; [11.69230769 32.30769231],0
p2,1,0.006423,7.427659,[74 31] ; [19 22],[66.88356164 38.11643836] ; [26.11643836 14.88356164],0
p7,1,0.006473,7.413596,[60 43] ; [14 28],[52.56551724 50.43448276] ; [21.43448276 20.56551724],0
d4,1,0.007471,7.156098,[75 31] ; [21 23],[67.84 38.16] ; [28.16 15.84],0
p10,1,0.00884,6.854783,[69 35] ; [18 24],[61.97260274 42.02739726] ; [25.02739726 16.97260274],0
p9,1,0.009667,6.69532,[76 29] ; [21 21],[69.28571429 35.71428571] ; [27.71428571 14.28571429],0
p6,1,0.01358,6.091942,[26 75] ; [ 3 38],[20.62676056 80.37323944] ; [ 8.37323944 32.62676056],0
p8,1,0.022539,5.203686,[45 59] ; [10 33],[38.91156463 65.08843537] ; [16.08843537 26.91156463],0
s6,1,0.029955,4.711845,[47 54] ; [12 32],[41.09655172 59.90344828] ; [17.90344828 26.09655172],0
p3,1,0.033573,4.51634,[39 66] ; [ 8 34],[33.57142857 71.42857143] ; [13.42857143 28.57142857],0
a6,1,0.041418,4.158833,[53 53] ; [14 30],[47.34666667 58.65333333] ; [19.65333333 24.34666667],0
s8,1,0.04585,3.987105,[21 84] ; [ 3 41],[16.91275168 88.08724832] ; [ 7.08724832 36.91275168],0
v2,1,0.05123,3.800743,[48 54] ; [12 29],[42.7972028 59.2027972] ; [17.2027972 23.7972028],0
v1,1,0.052114,3.772105,[50 55] ; [13 30],[44.69594595 60.30405405] ; [18.30405405 24.69594595],0
s3,1,0.061306,3.501685,[39 65] ; [ 9 33],[34.19178082 69.80821918] ; [13.80821918 28.19178082],0
a1,1,0.074728,3.175979,[  4 102] ; [ 5 39],[ 6.36 99.64] ; [ 2.64 41.36],0
a3,1,0.093066,2.820533,[58 48] ; [17 26],[53.3557047 52.6442953] ; [21.6442953 21.3557047],0
v3,1,0.094693,2.792727,[29 71] ; [ 7 37],[25. 75.] ; [11. 33.],0
d1,1,0.151377,2.058319,[42 64] ; [12 32],[38.16 67.84] ; [15.84 28.16],0
u3,1,0.172823,1.858282,[20 28] ; [ 7 20],[17.28 30.72] ; [ 9.72 17.28],0
u2,1,0.201683,1.630145,[21 26] ; [ 8 19],[18.41891892 28.58108108] ; [10.58108108 16.41891892],0
a4,1,0.213076,1.5504,[38 67] ; [11 32],[34.76351351 70.23648649] ; [14.23648649 28.76351351],0
p4,1,0.225869,1.466686,[43 60] ; [13 29],[39.77931034 63.22068966] ; [16.22068966 25.77931034],0
n3,1,0.240675,1.376633,[20  8] ; [11  9],[18.08333333  9.91666667] ; [12.91666667  7.08333333],0
a2,1,0.282463,1.1552,[ 7 99] ; [ 1 43],[  5.65333333 100.34666667] ; [ 2.34666667 41.65333333],0
a8,1,0.380736,0.768323,[ 9 90] ; [ 2 40],[ 7.72340426 91.27659574] ; [ 3.27659574 38.72340426],0
p1,1,0.443158,0.588091,[  6 100] ; [ 4 40],[ 7.06666667 98.93333333] ; [ 2.93333333 41.06666667],0
n4,1,0.487259,0.482572,[69 37] ; [26 18],[67.13333333 38.86666667] ; [27.86666667 16.13333333],0
d2,1,0.534596,0.385649,[43 62] ; [20 23],[44.69594595 60.30405405] ; [18.30405405 24.69594595],0
p12,1,0.643589,0.214079,[  4 100] ; [ 1 42],[  3.53741497 100.46258503] ; [ 1.46258503 41.53741497],0
d3,1,0.71628,0.132085,[37 69] ; [14 30],[36.04 69.96] ; [14.96 29.04],0
p5,1,0.746936,0.104124,[ 9 96] ; [ 3 40],[ 8.51351351 96.48648649] ; [ 3.48648649 39.51351351],0
b2,1,0.749737,0.101752,[21 40] ; [ 9 20],[20.33333333 40.66666667] ; [ 9.66666667 19.33333333],0
b3,1,0.749737,0.101752,[21 40] ; [ 9 20],[20.33333333 40.66666667] ; [ 9.66666667 19.33333333],0
b4,1,0.79908,0.06479,[65 41] ; [26 18],[64.30666667 41.69333333] ; [26.69333333 17.30666667],0
s1,1,0.852634,0.034506,[ 4 99] ; [ 2 42],[ 4.20408163 98.79591837] ; [ 1.79591837 42.20408163],0
n1,1,0.854148,0.033793,[ 8 21] ; [ 6 14],[ 8.28571429 20.71428571] ; [ 5.71428571 14.28571429],0
n5,1,0.868744,0.027309,[70 34] ; [29 15],[69.56756757 34.43243243] ; [29.43243243 14.56756757],0
b5,1,0.916202,0.011071,[52 54] ; [22 22],[52.29333333 53.70666667] ; [21.70666667 22.29333333],0
s2,1,0.923872,0.009131,[22 82] ; [ 9 35],[21.78378378 82.21621622] ; [ 9.21621622 34.78378378],0
s4,1,0.993982,5.7e-05,[12 94] ; [ 5 39],[12.01333333 93.98666667] ; [ 4.98666667 39.01333333],0
