Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.7e-05,18.534103,[20 34] ; [ 5 70],[10.46511628 43.53488372] ; [14.53488372 60.46511628],1
p4,1,7.8e-05,15.611603,[25 29] ; [11 64],[15.06976744 38.93023256] ; [20.93023256 54.06976744],1
s3,1,0.000647,11.636842,[35 19] ; [25 48],[25.51181102 28.48818898] ; [34.48818898 38.51181102],1
p2,1,0.000699,11.492176,[44 10] ; [40 36],[34.89230769 19.10769231] ; [49.10769231 26.89230769],1
v2,1,0.001622,9.934625,[25 27] ; [15 56],[16.91056911 35.08943089] ; [23.08943089 47.91056911],0
p8,1,0.006911,7.296072,[24 29] ; [17 58],[16.9765625 36.0234375] ; [24.0234375 50.9765625],0
s8,1,0.010549,6.539812,[19 35] ; [12 64],[12.87692308 41.12307692] ; [18.12307692 57.87692308],0
n4,1,0.020066,5.406108,[26 28] ; [52 24],[32.4 21.6] ; [45.6 30.4],0
s2,1,0.042165,4.128577,[25 29] ; [21 52],[19.55905512 34.44094488] ; [26.44094488 46.55905512],0
r3,1,0.043794,4.064492,[48  6] ; [56 19],[43.53488372 10.46511628] ; [60.46511628 14.53488372],0
d4,1,0.047734,3.919339,[31 22] ; [31 45],[25.47286822 27.52713178] ; [36.52713178 39.47286822],0
s5,1,0.048527,3.891642,[15 39] ; [10 63],[10.62992126 43.37007874] ; [14.37007874 58.62992126],0
d3,1,0.071021,3.259263,[27 27] ; [26 50],[22.01538462 31.98461538] ; [30.98461538 45.01538462],0
r1,1,0.127173,2.326679,[37 17] ; [42 34],[32.81538462 21.18461538] ; [46.18461538 29.81538462],0
b4,1,0.130264,2.289357,[24 30] ; [44 32],[28.24615385 25.75384615] ; [39.75384615 36.24615385],0
v1,1,0.130339,2.288461,[26 26] ; [27 47],[21.87301587 30.12698413] ; [31.12698413 42.87301587],0
s4,1,0.136298,2.219269,[ 6 48] ; [16 60],[ 9.13846154 44.86153846] ; [12.86153846 63.13846154],0
s7,1,0.144215,2.132395,[19 31] ; [19 55],[15.32258065 34.67741935] ; [22.67741935 51.32258065],0
a5,1,0.145862,2.115,[18 36] ; [35 41],[22.01538462 31.98461538] ; [30.98461538 45.01538462],0
v4,1,0.161135,1.963542,[46  6] ; [60 16],[43.0625  8.9375] ; [62.9375 13.0625],0
s6,1,0.164636,1.931122,[29 25] ; [31 44],[25.11627907 28.88372093] ; [34.88372093 40.11627907],0
u2,1,0.173417,1.853154,[12 11] ; [15 28],[ 9.40909091 13.59090909] ; [17.59090909 25.40909091],0
n5,1,0.176209,1.829313,[33 21] ; [55 21],[36.55384615 17.44615385] ; [51.44615385 24.55384615],0
b1,1,0.179053,1.805464,[27 27] ; [29 47],[23.26153846 30.73846154] ; [32.73846154 43.26153846],0
b2,1,0.18057,1.792929,[10 26] ; [17 23],[12.78947368 23.21052632] ; [14.21052632 25.78947368],0
b3,1,0.18057,1.792929,[10 26] ; [17 23],[12.78947368 23.21052632] ; [14.21052632 25.78947368],0
a3,1,0.181949,1.78163,[30 23] ; [33 41],[26.29133858 26.70866142] ; [36.70866142 37.29133858],0
r4,1,0.189677,1.720125,[40 14] ; [48 28],[36.55384615 17.44615385] ; [51.44615385 24.55384615],0
d2,1,0.192113,1.70134,[16 38] ; [15 61],[12.87692308 41.12307692] ; [18.12307692 57.87692308],0
d1,1,0.200931,1.635593,[ 4 50] ; [ 2 74],[ 2.49230769 51.50769231] ; [ 3.50769231 72.49230769],0
p1,1,0.222362,1.48906,[ 3 51] ; [ 9 67],[ 4.98461538 49.01538462] ; [ 7.01538462 68.98461538],0
p9,1,0.227567,1.456001,[34 20] ; [54 20],[37.125 16.875] ; [50.875 23.125],0
p11,1,0.313834,1.014473,[38 16] ; [47 29],[35.30769231 18.69230769] ; [49.69230769 26.30769231],0
a7,1,0.326446,0.962945,[31 23] ; [37 39],[28.24615385 25.75384615] ; [39.75384615 36.24615385],0
n1,1,0.32683,0.961416,[ 5 12] ; [14 18],[ 6.59183673 10.40816327] ; [12.40816327 19.59183673],0
n3,1,0.391356,0.734725,[12  5] ; [18 13],[10.625  6.375] ; [19.375 11.625],0
u1,1,0.39294,0.729825,[ 3 51] ; [ 2 74],[ 2.07692308 51.92307692] ; [ 2.92307692 73.07692308],0
a1,1,0.474159,0.512268,[ 2 52] ; [ 5 71],[ 2.90769231 51.09230769] ; [ 4.09230769 71.90769231],0
p12,1,0.48744,0.482173,[ 1 53] ; [ 3 72],[ 1.6744186 52.3255814] ; [ 2.3255814 72.6744186],0
r2,1,0.513854,0.426211,[43 10] ; [58 18],[41.49612403 11.50387597] ; [59.50387597 16.49612403],0
n2,1,0.520159,0.413579,[12  5] ; [26  7],[12.92  4.08] ; [25.08  7.92],0
b5,1,0.547516,0.361786,[32 22] ; [41 35],[30.32307692 23.67692308] ; [42.67692308 33.32307692],0
a8,1,0.57298,0.317723,[ 8 41] ; [ 9 62],[ 6.94166667 42.05833333] ; [10.05833333 60.94166667],0
v3,1,0.700141,0.148325,[14 40] ; [17 57],[13.078125 40.921875] ; [17.921875 56.078125],0
p10,1,0.701859,0.146545,[34 19] ; [45 29],[32.96850394 20.03149606] ; [46.03149606 27.96850394],0
u3,1,0.756201,0.096394,[10 13] ; [17 26],[ 9.40909091 13.59090909] ; [17.59090909 25.40909091],0
n6,1,0.79381,0.068312,[40 14] ; [54 21],[39.34883721 14.65116279] ; [54.65116279 20.34883721],0
p5,1,0.808806,0.058548,[ 4 48] ; [ 5 71],[ 3.65625 48.34375] ; [ 5.34375 70.65625],0
a2,1,0.810894,0.057251,[ 3 51] ; [ 5 71],[ 3.32307692 50.67692308] ; [ 4.67692308 71.32307692],0
a6,1,0.835133,0.043315,[26 28] ; [38 38],[26.58461538 27.41538462] ; [37.41538462 38.58461538],0
a4,1,0.873564,0.025323,[10 43] ; [15 60],[10.3515625 42.6484375] ; [14.6484375 60.3515625],0
s1,1,0.90786,0.013395,[ 4 49] ; [ 6 68],[ 4.17322835 48.82677165] ; [ 5.82677165 68.17322835],0
