Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,2e-06,22.909697,[314  30] ; [66 25],[300.50574713  43.49425287] ; [79.49425287 11.50574713],1
p6,1,3e-06,21.912319,[183 160] ; [22 65],[163.52325581 179.47674419] ; [41.47674419 45.52325581],1
p8,1,1.3e-05,19.068528,[240 104] ; [40 49],[222.44803695 121.55196305] ; [57.55196305 31.44803695],1
d3,1,3e-05,17.426431,[257  89] ; [47 44],[240.69565217 105.30434783] ; [63.30434783 27.69565217],1
n6,1,5.8e-05,16.173888,[311  33] ; [67 23],[299.61290323  44.38709677] ; [78.38709677 11.61290323],1
p9,1,6.3e-05,16.013877,[316  29] ; [68 21],[305.25345622  39.74654378] ; [78.74654378 10.25345622],1
p10,1,0.000155,14.308683,[307  38] ; [66 24],[295.82758621  49.17241379] ; [77.17241379 12.82758621],1
n5,1,0.000171,14.122251,[285  60] ; [58 32],[272.03448276  72.96551724] ; [70.96551724 19.03448276],1
p5,1,0.000305,13.038046,[ 70 273] ; [ 4 87],[ 58.48387097 284.51612903] ; [15.51612903 75.48387097],1
s6,1,0.000483,12.179094,[256  81] ; [51 38],[242.86150235  94.13849765] ; [64.13849765 24.86150235],1
d1,1,0.001319,10.315776,[234 112] ; [45 46],[220.90160183 125.09839817] ; [58.09839817 32.90160183],0
a7,1,0.001667,9.884263,[265  80] ; [55 36],[253.21100917  91.78899083] ; [66.78899083 24.21100917],0
r4,1,0.005977,7.557216,[333  13] ; [81 10],[327.78947368  18.21052632] ; [86.21052632  4.78947368],0
r3,1,0.006869,7.306812,[335   9] ; [83  8],[330.55632184  13.44367816] ; [87.44367816  3.55632184],0
p11,1,0.007083,7.251886,[290  56] ; [65 26],[281.07551487  64.92448513] ; [73.92448513 17.07551487],0
s2,1,0.010429,6.560058,[198 144] ; [39 52],[187.19168591 154.80831409] ; [49.80831409 41.19168591],0
r1,1,0.012382,6.255322,[295  50] ; [67 23],[287.10344828  57.89655172] ; [74.89655172 15.10344828],0
p12,1,0.015146,5.899437,[ 42 303] ; [ 3 86],[ 35.7718894 309.2281106] ; [ 9.2281106 79.7718894],0
s7,1,0.015982,5.80488,[195 128] ; [40 47],[185.13414634 137.86585366] ; [49.86585366 37.13414634],0
d5,1,0.017683,5.627273,[297  48] ; [69 22],[289.61009174  55.38990826] ; [76.38990826 14.61009174],0
n4,1,0.027467,4.861223,[292  54] ; [67 23],[284.89449541  61.10550459] ; [74.10550459 15.89449541],0
u1,1,0.062619,3.466636,[ 85 261] ; [14 77],[ 78.38443936 267.61556064] ; [20.61556064 70.38443936],0
u2,1,0.076125,3.145756,[52 32] ; [ 9 13],[48.33962264 35.66037736] ; [12.66037736  9.33962264],0
d4,1,0.098191,2.734685,[294  51] ; [71 20],[288.81880734  56.18119266] ; [76.18119266 14.81880734],0
d2,1,0.113081,2.510621,[190 156] ; [41 49],[183.31651376 162.68348624] ; [47.68348624 42.31651376],0
n2,1,0.121848,2.393407,[38 18] ; [14  2],[40.44444444 15.55555556] ; [11.55555556  4.44444444],0
s5,1,0.131743,2.271844,[139 190] ; [29 58],[132.86538462 196.13461538] ; [35.13461538 51.86538462],0
s3,1,0.140234,2.175386,[209 132] ; [48 43],[202.86342593 138.13657407] ; [54.13657407 36.86342593],0
a5,1,0.161739,1.95789,[278  68] ; [67 24],[273.15789474  72.84210526] ; [71.84210526 19.15789474],0
b1,1,0.196504,1.668171,[145 201] ; [45 46],[150.43478261 195.56521739] ; [39.56521739 51.43478261],0
a2,1,0.205827,1.600541,[ 99 247] ; [20 71],[ 94.21967963 251.78032037] ; [24.78032037 66.21967963],0
a6,1,0.208279,1.583348,[243 103] ; [57 33],[238.0733945 107.9266055] ; [61.9266055 28.0733945],0
b4,1,0.217207,1.522732,[211 135] ; [49 42],[205.85812357 140.14187643] ; [54.14187643 36.85812357],0
v4,1,0.226815,1.460723,[335  10] ; [86  5],[333.13073394  11.86926606] ; [87.86926606  3.13073394],0
a4,1,0.234732,1.411956,[172 173] ; [39 52],[166.96100917 178.03899083] ; [44.03899083 46.96100917],0
n3,1,0.288844,1.125,[42 14] ; [14  2],[43.55555556 12.44444444] ; [12.44444444  3.55555556],0
b5,1,0.303102,1.060496,[196 150] ; [57 34],[200.31578947 145.68421053] ; [52.68421053 38.31578947],0
v1,1,0.309948,1.030896,[208 127] ; [50 39],[203.84433962 131.15566038] ; [54.15566038 34.84433962],0
s8,1,0.346008,0.888043,[183 160] ; [43 47],[179.02540416 163.97459584] ; [46.97459584 43.02540416],0
s4,1,0.351071,0.869583,[ 63 278] ; [13 78],[ 59.99074074 281.00925926] ; [16.00925926 74.99074074],0
p7,1,0.413681,0.668196,[262  81] ; [65 25],[259.03233256  83.96766744] ; [67.96766744 22.03233256],0
n1,1,0.524707,0.404631,[23 33] ; [8 8],[24.11111111 31.88888889] ; [6.88888889 9.11111111],0
a8,1,0.53092,0.392631,[ 40 268] ; [ 9 77],[ 38.30456853 269.69543147] ; [10.69543147 75.30456853],0
u3,1,0.594343,0.283613,[54 30] ; [14 10],[52.88888889 31.11111111] ; [15.11111111  8.88888889],0
v2,1,0.699664,0.148822,[207 128] ; [53 36],[205.4245283 129.5754717] ; [54.5754717 34.4245283],0
b2,1,0.7049,0.143425,[ 90 133] ; [25 33],[ 91.2633452 131.7366548] ; [23.7366548 34.2633452],0
b3,1,0.7049,0.143425,[ 90 133] ; [25 33],[ 91.2633452 131.7366548] ; [23.7366548 34.2633452],0
v3,1,0.723785,0.124895,[152 179] ; [39 50],[150.52619048 180.47380952] ; [40.47380952 48.52619048],0
a3,1,0.768205,0.086862,[262  83] ; [67 23],[260.93103448  84.06896552] ; [68.06896552 21.93103448],0
a1,1,0.836574,0.042551,[ 21 325] ; [ 5 86],[ 20.58581236 325.41418764] ; [ 5.41418764 85.58581236],0
p1,1,0.868318,0.027488,[ 43 300] ; [12 79],[ 43.46774194 299.53225806] ; [11.53225806 79.46774194],0
s1,1,0.962036,0.002266,[ 11 333] ; [ 3 88],[ 11.07126437 332.92873563] ; [ 2.92873563 88.07126437],0
