Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,7.6e-05,15.649421,[219  22] ; [36 15],[210.46232877  30.53767123] ; [44.53767123  6.46232877],1
p8,1,8.6e-05,15.419111,[181  61] ; [24 27],[169.31740614  72.68259386] ; [35.68259386 15.31740614],1
p9,1,0.001765,9.779284,[228  15] ; [41 10],[222.33673469  20.66326531] ; [46.66326531  4.33673469],0
p4,1,0.00306,8.771475,[206  38] ; [34 17],[198.50847458  45.49152542] ; [41.49152542  9.50847458],0
p2,1,0.003061,8.770475,[225  19] ; [40 11],[219.18644068  24.81355932] ; [45.81355932  5.18644068],0
p12,1,0.01003,6.629642,[ 37 205] ; [ 1 50],[ 31.38566553 210.61433447] ; [ 6.61433447 44.38566553],0
v1,1,0.032564,4.568546,[156  84] ; [25 26],[149.27835052  90.72164948] ; [31.72164948 19.27835052],0
d2,1,0.044287,4.045579,[125 119] ; [34 17],[131.51186441 112.48813559] ; [27.48813559 23.51186441],0
p7,1,0.055799,3.658044,[208  32] ; [38 12],[203.5862069  36.4137931] ; [42.4137931  7.5862069],0
b5,1,0.056848,3.627039,[137 107] ; [36 15],[143.09152542 100.90847458] ; [29.90847458 21.09152542],0
n1,1,0.060074,3.535354,[16 28] ; [8 4],[18.85714286 25.14285714] ; [5.14285714 6.85714286],0
p5,1,0.083957,2.986578,[ 55 189] ; [ 6 45],[ 50.45423729 193.54576271] ; [10.54576271 40.45423729],0
r3,1,0.084207,2.981779,[235   7] ; [46  4],[232.88356164   9.11643836] ; [48.11643836  1.88356164],0
s1,1,0.137309,2.207855,[  8 234] ; [ 4 47],[  9.9112628 232.0887372] ; [ 2.0887372 48.9112628],0
b1,1,0.148257,2.090097,[ 93 151] ; [25 26],[ 97.6 146.4] ; [20.4 30.6],0
u1,1,0.158281,1.990569,[ 54 190] ; [16 35],[ 57.89830508 186.10169492] ; [12.10169492 38.89830508],0
d4,1,0.171846,1.866767,[209  34] ; [40 11],[205.80612245  37.19387755] ; [43.19387755  7.80612245],0
v4,1,0.200545,1.6384,[236   6] ; [48  3],[234.5665529   7.4334471] ; [49.4334471  1.5665529],0
s7,1,0.215073,1.536946,[146  89] ; [33 13],[149.6975089  85.3024911] ; [29.3024911 16.6975089],0
a1,1,0.256424,1.28796,[ 21 223] ; [ 2 49],[ 19.02372881 224.97627119] ; [ 3.97627119 47.02372881],0
v3,1,0.267703,1.228478,[106 132] ; [18 32],[102.47222222 135.52777778] ; [21.52777778 28.47222222],0
u4,1,0.282307,1.155948,[  7 236] ; [ 3 48],[  8.26530612 234.73469388] ; [ 1.73469388 49.26530612],0
a2,1,0.301233,1.068729,[ 64 180] ; [17 34],[ 66.99661017 177.00338983] ; [14.00338983 36.99661017],0
d5,1,0.34684,0.884985,[203  40] ; [39 11],[200.70307167  42.29692833] ; [41.29692833  8.70307167],0
p3,1,0.346899,0.884769,[165  79] ; [31 20],[162.11525424  81.88474576] ; [33.88474576 17.11525424],0
n3,1,0.350823,0.870478,[30 13] ; [10  2],[31.27272727 11.72727273] ; [8.72727273 3.27272727],0
s6,1,0.352262,0.865291,[182  54] ; [34 14],[179.49295775  56.50704225] ; [36.50704225 11.49295775],0
n4,1,0.353374,0.861304,[217  27] ; [43  8],[215.05084746  28.94915254] ; [44.94915254  6.05084746],0
a5,1,0.428274,0.627501,[194  50] ; [38 13],[191.89152542  52.10847458] ; [40.10847458 10.89152542],0
b2,1,0.449295,0.57243,[78 88] ; [11 17],[76.15463918 89.84536082] ; [12.84536082 15.15463918],0
b3,1,0.449295,0.57243,[78 88] ; [11 17],[76.15463918 89.84536082] ; [12.84536082 15.15463918],0
a3,1,0.494748,0.466185,[186  57] ; [36 14],[184.11604096  58.88395904] ; [37.88395904 12.11604096],0
s2,1,0.510583,0.432872,[144  97] ; [33 18],[146.08561644  94.91438356] ; [30.91438356 20.08561644],0
a4,1,0.541907,0.372017,[122 121] ; [28 23],[123.97959184 119.02040816] ; [26.02040816 24.97959184],0
b4,1,0.587831,0.293744,[144 100] ; [28 23],[142.26440678 101.73559322] ; [29.73559322 21.26440678],0
s8,1,0.600267,0.274593,[141 102] ; [27 23],[139.33105802 103.66894198] ; [28.66894198 21.33105802],0
d3,1,0.615204,0.252666,[177  67] ; [38 12],[178.43537415  65.56462585] ; [36.56462585 13.43537415],0
r1,1,0.632401,0.228819,[198  45] ; [43  8],[199.19387755  43.80612245] ; [41.80612245  9.19387755],0
n5,1,0.665294,0.187156,[206  37] ; [42  9],[204.97959184  38.02040816] ; [43.02040816  7.97959184],0
v2,1,0.670618,0.18088,[143  95] ; [29 22],[141.64705882  96.35294118] ; [30.35294118 20.64705882],0
a7,1,0.687552,0.161748,[178  65] ; [38 12],[179.13993174  63.86006826] ; [36.86006826 13.13993174],0
s4,1,0.695261,0.153449,[ 41 196] ; [10 41],[ 41.96875 195.03125] ; [ 9.03125 41.96875],0
u3,1,0.707932,0.140351,[35 22] ; [10  5],[35.625 21.375] ; [9.375 5.625],0
r4,1,0.739756,0.110342,[228  16] ; [47  4],[227.45762712  16.54237288] ; [47.54237288  3.45762712],0
