Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,31.982557,[69  9] ; [ 8 17],[58.31067961 19.68932039] ; [18.68932039  6.31067961],1
n6,1,0.001169,10.538641,[71  7] ; [16  9],[65.88349515 12.11650485] ; [21.11650485  3.88349515],0
u3,1,0.050739,3.81687,[22 23] ; [11  3],[25.16949153 19.83050847] ; [7.83050847 6.16949153],0
p10,1,0.058317,3.584603,[60 17] ; [14 10],[56.41584158 20.58415842] ; [17.58415842  6.41584158],0
r4,1,0.080998,3.044768,[70  8] ; [19  6],[67.39805825 10.60194175] ; [21.60194175  3.39805825],0
v3,1,0.090451,2.866333,[32 43] ; [ 5 17],[28.60824742 46.39175258] ; [ 8.39175258 13.60824742],0
a4,1,0.097233,2.750358,[18 60] ; [ 2 23],[15.14563107 62.85436893] ; [ 4.85436893 20.14563107],0
p4,1,0.116002,2.470483,[62 16] ; [16  9],[59.06796117 18.93203883] ; [18.93203883  6.06796117],0
p5,1,0.116215,2.467609,[17 60] ; [ 2 23],[14.34313725 62.65686275] ; [ 4.65686275 20.34313725],0
v2,1,0.122776,2.38155,[37 39] ; [ 7 16],[33.77777778 42.22222222] ; [10.22222222 12.77777778],0
v1,1,0.128818,2.306689,[44 33] ; [ 9 14],[40.81 36.19] ; [12.19 10.81],0
a7,1,0.139774,2.180446,[53 24] ; [21  4],[55.8627451 21.1372549] ; [18.1372549  6.8627451],0
p9,1,0.148266,2.090005,[63 15] ; [16  8],[60.41176471 17.58823529] ; [18.58823529  5.41176471],0
b2,1,0.17753,1.818182,[14 35] ; [ 1 10],[12.25 36.75] ; [2.75 8.25],0
b3,1,0.17753,1.818182,[14 35] ; [ 1 10],[12.25 36.75] ; [2.75 8.25],0
p6,1,0.205108,1.605626,[34 41] ; [ 7 16],[31.37755102 43.62244898] ; [ 9.62244898 13.37755102],0
u2,1,0.221289,1.495992,[22 22] ; [9 4],[23.92982456 20.07017544] ; [7.07017544 5.92982456],0
d2,1,0.221521,1.494488,[22 56] ; [ 4 21],[19.68932039 58.31067961] ; [ 6.31067961 18.68932039],0
