Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,7.2e-05,15.752727,[ 7 47] ; [26 28],[16.5 37.5] ; [16.5 37.5],1
d5,1,0.004287,8.158136,[38 20] ; [51  7],[44.5 13.5] ; [44.5 13.5],0
v1,1,0.011136,6.443562,[19 38] ; [33 25],[25.77391304 31.22608696] ; [26.22608696 31.77391304],0
a5,1,0.033657,4.512053,[35 24] ; [45 13],[40.34188034 18.65811966] ; [39.65811966 18.34188034],0
a3,1,0.056116,3.648615,[35 24] ; [44 14],[39.83760684 19.16239316] ; [39.16239316 18.83760684],0
r1,1,0.062087,3.480743,[48 11] ; [53  4],[51.37068966  7.62931034] ; [49.62931034  7.37068966],0
p4,1,0.07682,3.130935,[23 35] ; [32 25],[27.73913043 30.26086957] ; [27.26086957 29.73913043],0
d1,1,0.07929,3.079397,[24 35] ; [33 25],[28.74358974 30.25641026] ; [28.25641026 29.74358974],0
p8,1,0.080087,3.063127,[20 39] ; [28 28],[24.62608696 34.37391304] ; [23.37391304 32.62608696],0
v4,1,0.093555,2.812121,[57  1] ; [53  5],[55.  3.] ; [55.  3.],0
s1,1,0.106985,2.598198,[ 5 53] ; [ 1 54],[ 3.07964602 54.92035398] ; [ 2.92035398 52.07964602],0
u2,1,0.127988,2.316739,[15  9] ; [12  2],[17.05263158  6.94736842] ; [9.94736842 4.05263158],0
p3,1,0.140259,2.175119,[21 38] ; [28 29],[24.92241379 34.07758621] ; [24.07758621 32.92241379],0
p10,1,0.154784,2.02446,[32 27] ; [37 18],[35.71052632 23.28947368] ; [33.28947368 21.71052632],0
p5,1,0.158201,1.991334,[ 1 58] ; [ 4 53],[ 2.54310345 56.45689655] ; [ 2.45689655 54.54310345],0
s3,1,0.162692,1.949027,[34 24] ; [26 31],[30.26086957 27.73913043] ; [29.73913043 27.26086957],0
s7,1,0.220671,1.5,[15 39] ; [21 33],[18. 36.] ; [18. 36.],0
n5,1,0.223123,1.48417,[20 38] ; [26 31],[23.2 34.8] ; [22.8 34.2],0
b5,1,0.223622,1.480976,[40 19] ; [33 25],[36.81196581 22.18803419] ; [36.18803419 21.81196581],0
