Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,39.996327,[145  20] ; [17 23],[130.3902439  34.6097561] ; [31.6097561  8.3902439],1
a4,1,9e-06,19.717845,[86 79] ; [ 5 34],[73.60294118 91.39705882] ; [17.39705882 21.60294118],1
r1,1,5.2e-05,16.388433,[132  31] ; [20 20],[122.04926108  40.95073892] ; [29.95073892 10.04926108],1
d2,1,6.9e-05,15.84737,[95 70] ; [ 9 31],[83.70731707 81.29268293] ; [20.29268293 19.70731707],1
a3,1,0.000327,12.909451,[119  45] ; [16 22],[109.6039604  54.3960396] ; [25.3960396 12.6039604],1
a2,1,0.000404,12.515364,[ 48 117] ; [ 1 39],[ 39.43902439 125.56097561] ; [ 9.56097561 30.43902439],1
d3,1,0.000875,11.074594,[119  45] ; [18 22],[110.1372549  53.8627451] ; [26.8627451 13.1372549],1
a5,1,0.003329,8.617891,[115  50] ; [18 22],[107.04878049  57.95121951] ; [25.95121951 14.04878049],0
a6,1,0.009491,6.72802,[107  58] ; [17 23],[99.80487805 65.19512195] ; [24.19512195 15.80487805],0
v2,1,0.013227,6.138455,[82 76] ; [12 28],[75.01010101 82.98989899] ; [18.98989899 21.01010101],0
a7,1,0.014791,5.941144,[123  42] ; [22 18],[116.70731707  48.29268293] ; [28.29268293 11.70731707],0
s6,1,0.018772,5.522597,[108  52] ; [19 21],[101.6  58.4] ; [25.4 14.6],0
s4,1,0.047252,3.936386,[ 40 124] ; [ 4 36],[ 35.37254902 128.62745098] ; [ 8.62745098 31.37254902],0
n2,1,0.050797,3.814956,[40 23] ; [15  2],[43.3125 19.6875] ; [11.6875  5.3125],0
s8,1,0.059975,3.538065,[67 96] ; [10 30],[ 61.82758621 101.17241379] ; [15.17241379 24.82758621],0
b4,1,0.073614,3.200548,[96 69] ; [17 23],[90.95121951 74.04878049] ; [22.04878049 17.95121951],0
a8,1,0.124661,2.357761,[ 12 135] ; [ 6 30],[ 14.45901639 132.54098361] ; [ 3.54098361 32.45901639],0
r4,1,0.127931,2.317431,[137  28] ; [29 11],[133.6097561  31.3902439] ; [32.3902439  7.6097561],0
s5,1,0.146903,2.104117,[54 99] ; [ 9 30],[ 50.203125 102.796875] ; [12.796875 26.203125],0
p10,1,0.151879,2.053273,[93 65] ; [18 21],[89.02538071 68.97461929] ; [21.97461929 17.02538071],0
s2,1,0.203126,1.619752,[84 80] ; [16 24],[80.39215686 83.60784314] ; [19.60784314 20.39215686],0
p3,1,0.211479,1.561272,[66 96] ; [12 28],[62.55445545 99.44554455] ; [15.44554455 24.55445545],0
b1,1,0.215587,1.533506,[81 84] ; [24 16],[84.51219512 80.48780488] ; [20.48780488 19.51219512],0
b2,1,0.302882,1.061463,[26 56] ; [ 4 16],[24.11764706 57.88235294] ; [ 5.88235294 14.11764706],0
b3,1,0.302882,1.061463,[26 56] ; [ 4 16],[24.11764706 57.88235294] ; [ 5.88235294 14.11764706],0
s7,1,0.305116,1.051698,[71 78] ; [15 24],[68.15957447 80.84042553] ; [17.84042553 21.15957447],0
s3,1,0.313413,1.016239,[82 82] ; [23 16],[84.82758621 79.17241379] ; [20.17241379 18.82758621],0
u3,1,0.3388,0.914966,[27 18] ; [11 12],[25.14705882 19.85294118] ; [12.85294118 10.14705882],0
n3,1,0.339438,0.912553,[45 17] ; [9 6],[43.48051948 18.51948052] ; [10.51948052  4.48051948],0
s1,1,0.359272,0.840435,[ 10 152] ; [ 1 39],[  8.82178218 153.17821782] ; [ 2.17821782 37.82178218],0
r3,1,0.382744,0.76187,[143  20] ; [33  7],[141.32019704  21.67980296] ; [34.67980296  5.32019704],0
r2,1,0.387352,0.747239,[153  10] ; [36  4],[151.75862069  11.24137931] ; [37.24137931  2.75862069],0
a1,1,0.436418,0.605682,[  9 156] ; [ 1 39],[  8.04878049 156.95121951] ; [ 1.95121951 38.04878049],0
p5,1,0.488057,0.480806,[ 11 151] ; [ 4 36],[ 12.02970297 149.97029703] ; [ 2.97029703 37.02970297],0
p7,1,0.500016,0.454902,[74 85] ; [21 19],[75.90452261 83.09547739] ; [19.09547739 20.90452261],0
n5,1,0.524249,0.405527,[97 66] ; [26 14],[98.7635468 64.2364532] ; [24.2364532 15.7635468],0
u2,1,0.538424,0.378468,[22 23] ; [ 9 13],[20.82089552 24.17910448] ; [10.17910448 11.82089552],0
p2,1,0.540703,0.374239,[110  53] ; [29 11],[111.61083744  51.38916256] ; [27.38916256 12.61083744],0
p8,1,0.636894,0.222827,[ 54 107] ; [15 25],[ 55.26865672 105.73134328] ; [13.73134328 26.26865672],0
p9,1,0.653221,0.201863,[102  54] ; [24 15],[100.8  55.2] ; [25.2 13.8],0
b5,1,0.67112,0.180295,[109  56] ; [25 15],[107.85365854  57.14634146] ; [26.14634146 13.85365854],0
v1,1,0.693276,0.155562,[73 91] ; [16 23],[71.90147783 92.09852217] ; [17.09852217 21.90147783],0
p4,1,0.708595,0.139685,[76 86] ; [17 22],[74.95522388 87.04477612] ; [18.04477612 20.95522388],0
p6,1,0.739273,0.110766,[ 48 111] ; [11 29],[ 47.14070352 111.85929648] ; [11.85929648 28.14070352],0
n1,1,0.837031,0.04231,[25 37] ; [ 6 10],[24.64102564 37.35897436] ; [6.35897436 9.64102564],0
n4,1,0.837556,0.042033,[99 64] ; [25 15],[99.56650246 63.43349754] ; [24.43349754 15.56650246],0
p1,1,0.928264,0.008105,[ 13 151] ; [ 3 37],[ 12.8627451 151.1372549] ; [ 3.1372549 36.8627451],0
v3,1,0.959947,0.002522,[ 53 104] ; [13 26],[ 52.86734694 104.13265306] ; [13.13265306 25.86734694],0
n6,1,0.989138,0.000185,[118  45] ; [29 11],[118.03448276  44.96551724] ; [28.96551724 11.03448276],0
