Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.5e-05,17.756543,[123  24] ; [31 25],[111.51724138  35.48275862] ; [42.48275862 13.51724138],1
n6,1,0.000101,15.114137,[120  28] ; [31 26],[109.01463415  38.98536585] ; [41.98536585 15.01463415],1
p2,1,0.000367,12.695197,[118  30] ; [32 26],[107.76699029  40.23300971] ; [42.23300971 15.76699029],1
r3,1,0.000572,11.866178,[144   4] ; [48  9],[138.61463415   9.38536585] ; [53.38536585  3.61463415],1
p9,1,0.001193,10.501928,[127  21] ; [36 19],[118.83743842  29.16256158] ; [44.16256158 10.83743842],0
b1,1,0.005189,7.812333,[ 46 103] ; [30 28],[54.70531401 94.29468599] ; [21.29468599 36.70531401],0
d2,1,0.005671,7.652031,[57 92] ; [34 23],[65.82038835 83.17961165] ; [25.17961165 31.82038835],0
r4,1,0.006849,7.312075,[131  18] ; [42 16],[124.52657005  24.47342995] ; [48.47342995  9.52657005],0
n4,1,0.011215,6.430902,[113  36] ; [33 24],[105.60194175  43.39805825] ; [40.39805825 16.60194175],0
s6,1,0.01163,6.36636,[117  29] ; [36 21],[110.03940887  35.96059113] ; [42.96059113 14.03940887],0
v3,1,0.031107,4.647069,[55 90] ; [12 43],[48.575 96.425] ; [18.425 36.575],0
v2,1,0.041145,4.170049,[80 58] ; [22 31],[73.69633508 64.30366492] ; [28.30366492 24.69633508],0
s1,1,0.043207,4.087301,[  5 142] ; [ 6 51],[  7.92647059 139.07352941] ; [ 3.07352941 53.92647059],0
s8,1,0.055325,3.672254,[76 73] ; [21 37],[69.82125604 79.17874396] ; [27.17874396 30.82125604],0
p8,1,0.069554,3.293525,[53 94] ; [13 44],[47.55882353 99.44117647] ; [18.44117647 38.55882353],0
n5,1,0.074274,3.185943,[105  43] ; [33 24],[99.62926829 48.37073171] ; [38.37073171 18.62926829],0
d1,1,0.171195,1.872444,[69 80] ; [33 25],[73.42028986 75.57971014] ; [28.57971014 29.42028986],0
d4,1,0.177397,1.819293,[115  34] ; [48  8],[118.47317073  30.52682927] ; [44.52682927 11.47317073],0
u3,1,0.186687,1.743568,[31 17] ; [10 11],[28.52173913 19.47826087] ; [12.47826087  8.52173913],0
u2,1,0.190771,1.711657,[27 20] ; [ 8 12],[24.55223881 22.44776119] ; [10.44776119  9.55223881],0
v1,1,0.201841,1.629004,[71 70] ; [23 34],[66.93939394 74.06060606] ; [27.06060606 29.93939394],0
v4,1,0.209324,1.576098,[136  10] ; [50  7],[133.77339901  12.22660099] ; [52.22660099  4.77339901],0
p1,1,0.21005,1.571085,[  8 139] ; [ 6 52],[ 10.03902439 136.96097561] ; [ 3.96097561 54.03902439],0
s4,1,0.220813,1.499083,[ 29 118] ; [16 42],[ 32.26829268 114.73170732] ; [12.73170732 45.26829268],0
b4,1,0.254581,1.297987,[95 54] ; [32 26],[91.41545894 57.58454106] ; [35.58454106 22.41545894],0
a7,1,0.273794,1.197639,[96 53] ; [42 16],[99.33333333 49.66666667] ; [38.66666667 19.33333333],0
p7,1,0.297332,1.086122,[73 65] ; [25 31],[69.71134021 68.28865979] ; [28.28865979 27.71134021],0
a1,1,0.373837,0.79087,[  4 145] ; [ 3 55],[  5.03864734 143.96135266] ; [ 1.96135266 56.03864734],0
r2,1,0.3759,0.784066,[142   4] ; [54  3],[140.96551724   5.03448276] ; [55.03448276  1.96551724],0
a6,1,0.403171,0.698847,[92 56] ; [39 18],[94.57560976 53.42439024] ; [36.42439024 20.57560976],0
d3,1,0.42544,0.635238,[85 64] ; [36 21],[87.51941748 61.48058252] ; [33.48058252 23.51941748],0
a2,1,0.434725,0.610166,[ 24 125] ; [12 46],[ 25.91304348 123.08695652] ; [10.08695652 47.91304348],0
p6,1,0.451023,0.568081,[ 27 119] ; [13 43],[ 28.91089109 117.08910891] ; [11.08910891 44.91089109],0
s2,1,0.488679,0.479433,[105  44] ; [38 20],[102.93236715  46.06763285] ; [40.06763285 17.93236715],0
n2,1,0.503808,0.446906,[27  6] ; [24  8],[25.89230769  7.10769231] ; [25.10769231  6.89230769],0
b5,1,0.53182,0.390912,[88 61] ; [37 21],[89.97584541 59.02415459] ; [35.02415459 22.97584541],0
