Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.4e-05,18.892358,[4 6] ; [73  7],[8.55555556 1.44444444] ; [68.44444444 11.55555556],1
s6,1,0.003191,8.694701,[2 8] ; [53 25],[6.25 3.75] ; [48.75 29.25],0
s7,1,0.00796,7.042543,[1 9] ; [41 34],[4.94117647 5.05882353] ; [37.05882353 37.94117647],0
p11,1,0.011463,6.392045,[4 6] ; [62 18],[7.33333333 2.66666667] ; [58.66666667 21.33333333],0
n6,1,0.012577,6.227646,[5 4] ; [70 10],[7.58426966 1.41573034] ; [67.41573034 12.58426966],0
v2,1,0.018382,5.559396,[1 9] ; [39 40],[4.49438202 5.50561798] ; [35.50561798 43.49438202],0
p6,1,0.024443,5.06291,[1 9] ; [37 41],[4.31818182 5.68181818] ; [33.68181818 44.31818182],0
d5,1,0.034454,4.47205,[5 5] ; [64 16],[7.66666667 2.33333333] ; [61.33333333 18.66666667],0
p9,1,0.035729,4.41,[6 4] ; [69 11],[8.33333333 1.66666667] ; [66.66666667 13.33333333],0
r2,1,0.040326,4.204135,[6 4] ; [67 11],[8.29545455 1.70454545] ; [64.70454545 13.29545455],0
p10,1,0.052471,3.760684,[5 5] ; [61 17],[7.5 2.5] ; [58.5 19.5],0
p2,1,0.070448,3.272562,[6 4] ; [67 13],[8.11111111 1.88888889] ; [64.88888889 15.11111111],0
v3,1,0.115625,2.475604,[1 9] ; [27 51],[3.18181818 6.81818182] ; [24.81818182 53.18181818],0
s5,1,0.133122,2.255719,[1 9] ; [24 48],[3.04878049 6.95121951] ; [21.95121951 50.04878049],0
n5,1,0.151108,2.061026,[5 5] ; [57 22],[6.96629213 3.03370787] ; [55.03370787 23.96629213],0
s3,1,0.167028,1.909413,[3 6] ; [46 34],[4.95505618 4.04494382] ; [44.04494382 35.95505618],0
s2,1,0.179712,1.8,[3 7] ; [42 38],[5. 5.] ; [40. 40.],0
b5,1,0.218742,1.512605,[8 2] ; [48 32],[6.22222222 3.77777778] ; [49.77777778 30.22222222],0
b1,1,0.330646,0.946366,[6 4] ; [35 45],[4.55555556 5.44444444] ; [36.44444444 43.55555556],0
a4,1,0.342782,0.9,[2 8] ; [28 52],[3.33333333 6.66666667] ; [26.66666667 53.33333333],0
a7,1,0.353391,0.861244,[5 5] ; [52 28],[6.33333333 3.66666667] ; [50.66666667 29.33333333],0
p4,1,0.360058,0.837692,[6 4] ; [59 21],[7.22222222 2.77777778] ; [57.77777778 22.22222222],0
b2,1,0.375088,0.78674,[1 5] ; [18 34],[1.96551724 4.03448276] ; [17.03448276 34.96551724],0
b3,1,0.375088,0.78674,[1 5] ; [18 34],[1.96551724 4.03448276] ; [17.03448276 34.96551724],0
u2,1,0.376881,0.780852,[1 3] ; [15 16],[1.82857143 2.17142857] ; [14.17142857 16.82857143],0
d3,1,0.406542,0.688892,[7 3] ; [45 35],[5.77777778 4.22222222] ; [46.22222222 33.77777778],0
p8,1,0.411816,0.673553,[4 6] ; [43 37],[5.22222222 4.77777778] ; [41.77777778 38.22222222],0
p7,1,0.496475,0.462463,[8 2] ; [55 24],[7.07865169 2.92134831] ; [55.92134831 23.07865169],0
n3,1,0.498389,0.458365,[1 1] ; [16  6],[1.41666667 0.58333333] ; [15.58333333  6.41666667],0
s1,1,0.515181,0.423529,[1 9] ; [ 4 76],[0.55555556 9.44444444] ; [ 4.44444444 75.55555556],0
p5,1,0.597311,0.279071,[1 9] ; [13 66],[1.57303371 8.42696629] ; [12.42696629 66.57303371],0
d1,1,0.654001,0.200893,[4 6] ; [38 42],[4.66666667 5.33333333] ; [37.33333333 42.66666667],0
d2,1,0.677023,0.173496,[3 7] ; [29 50],[3.59550562 6.40449438] ; [28.40449438 50.59550562],0
p1,1,0.680848,0.169173,[2 8] ; [12 68],[1.55555556 8.44444444] ; [12.44444444 67.55555556],0
d4,1,0.728687,0.120321,[8 2] ; [60 20],[7.55555556 2.44444444] ; [60.44444444 19.55555556],0
v1,1,0.791155,0.070125,[5 5] ; [43 36],[5.39325843 4.60674157] ; [42.60674157 36.39325843],0
a5,1,0.816532,0.053828,[6 4] ; [51 29],[6.33333333 3.66666667] ; [50.66666667 29.33333333],0
a8,1,0.818965,0.052384,[1 9] ; [ 6 70],[0.81395349 9.18604651] ; [ 6.18604651 69.81395349],0
b4,1,0.821496,0.050905,[6 4] ; [45 35],[5.66666667 4.33333333] ; [45.33333333 34.66666667],0
a6,1,0.939624,0.005737,[6 4] ; [47 33],[5.88888889 4.11111111] ; [47.11111111 32.88888889],0
s4,1,1.0,0.0,[2 8] ; [16 64],[2. 8.] ; [16. 64.],0
a3,1,1.0,0.0,[6 4] ; [48 32],[6. 4.] ; [48. 32.],0
n4,1,1.0,0.0,[7 3] ; [56 24],[7. 3.] ; [56. 24.],0
