Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,48.456239,[ 8 22] ; [95 12],[22.55474453  7.44525547] ; [80.44525547 26.55474453],1
s6,1,0.000877,11.070608,[ 9 22] ; [66 39],[17.09558824 13.90441176] ; [57.90441176 47.09558824],1
n5,1,0.002072,9.484489,[16 15] ; [85 22],[22.6884058  8.3115942] ; [78.3115942 28.6884058],0
r3,1,0.00241,9.207441,[23  8] ; [100   7],[27.63043478  3.36956522] ; [95.36956522 11.63043478],0
r2,1,0.03002,4.708142,[24  7] ; [98  9],[27.4057971  3.5942029] ; [94.5942029 12.4057971],0
a7,1,0.03265,4.56404,[14 17] ; [71 36],[19.0942029 11.9057971] ; [65.9057971 41.0942029],0
p3,1,0.035757,4.408661,[ 8 22] ; [52 56],[13.04347826 16.95652174] ; [46.95652174 61.04347826],0
p11,1,0.036272,4.384276,[19 12] ; [86 22],[23.41726619  7.58273381] ; [81.58273381 26.41726619],0
a6,1,0.036366,4.379874,[13 18] ; [68 40],[18.0647482 12.9352518] ; [62.9352518 45.0647482],0
s7,1,0.046967,3.946572,[ 8 22] ; [48 54],[12.72727273 17.27272727] ; [43.27272727 58.72727273],0
r4,1,0.05641,3.639899,[21 10] ; [90 18],[24.75539568  6.24460432] ; [86.24460432 21.75539568],0
a3,1,0.060202,3.531818,[11 20] ; [59 49],[15.61151079 15.38848921] ; [54.38848921 53.61151079],0
v2,1,0.067753,3.336627,[ 9 22] ; [49 54],[13.41791045 17.58208955] ; [44.58208955 58.41791045],0
a5,1,0.080703,3.050679,[12 19] ; [61 47],[16.28057554 14.71942446] ; [56.71942446 51.28057554],0
p8,1,0.08923,2.888217,[11 20] ; [56 50],[15.16058394 15.83941606] ; [51.83941606 54.16058394],0
s8,1,0.093879,2.806571,[ 7 24] ; [42 66],[10.92805755 20.07194245] ; [38.07194245 69.92805755],0
s4,1,0.099352,2.715909,[ 9 22] ; [17 90],[ 5.84057971 25.15942029] ; [20.15942029 86.84057971],0
n6,1,0.125031,2.353143,[22  9] ; [90 18],[24.97841727  6.02158273] ; [87.02158273 20.97841727],0
a2,1,0.183811,1.766539,[ 1 30] ; [12 96],[ 2.89928058 28.10071942] ; [10.10071942 97.89928058],0
d2,1,0.206101,1.598607,[10 21] ; [23 85],[ 7.35971223 23.64028777] ; [25.64028777 82.35971223],0
b2,1,0.223867,1.479411,[ 3 18] ; [17 45],[ 5.06024096 15.93975904] ; [14.93975904 47.06024096],0
b3,1,0.223867,1.479411,[ 3 18] ; [17 45],[ 5.06024096 15.93975904] ; [14.93975904 47.06024096],0
p5,1,0.223937,1.478959,[ 1 30] ; [11 97],[ 2.67625899 28.32374101] ; [ 9.32374101 98.67625899],0
s2,1,0.252701,1.308308,[ 8 22] ; [41 67],[10.65217391 19.34782609] ; [38.34782609 69.65217391],0
u3,1,0.252878,1.307335,[ 6 14] ; [22 27],[ 8.11594203 11.88405797] ; [19.88405797 29.11594203],0
v1,1,0.270537,1.21402,[11 20] ; [49 56],[13.67647059 17.32352941] ; [46.32352941 58.67647059],0
n4,1,0.31043,1.028847,[20 11] ; [79 28],[22.23913043  8.76086957] ; [76.76086957 30.23913043],0
d3,1,0.31788,0.997648,[12 19] ; [31 75],[ 9.72992701 21.27007299] ; [33.27007299 72.72992701],0
s1,1,0.337021,0.921731,[ 1 29] ; [  1 105],[ 0.44117647 29.55882353] ; [  1.55882353 104.44117647],0
a4,1,0.338689,0.915389,[ 5 25] ; [27 81],[ 6.95652174 23.04347826] ; [25.04347826 82.95652174],0
s5,1,0.377259,0.779615,[ 5 26] ; [25 81],[ 6.78832117 24.21167883] ; [23.21167883 82.78832117],0
d5,1,0.481667,0.495086,[14 17] ; [56 51],[15.72463768 15.27536232] ; [54.27536232 52.72463768],0
a8,1,0.48966,0.477273,[ 4 23] ; [10 89],[ 3. 24.] ; [11. 88.],0
u2,1,0.497387,0.460507,[ 8 12] ; [24 25],[ 9.27536232 10.72463768] ; [22.72463768 26.27536232],0
n2,1,0.516923,0.420028,[9 4] ; [22  6],[9.82926829 3.17073171] ; [21.17073171  6.82926829],0
v4,1,0.519919,0.414055,[27  3] ; [100   7],[27.81021898  2.18978102] ; [99.18978102  7.81021898],0
b1,1,0.554702,0.34896,[13 18] ; [39 69],[11.5971223 19.4028777] ; [40.4028777 67.5971223],0
b5,1,0.593697,0.284608,[17 14] ; [65 43],[18.28776978 12.71223022] ; [63.71223022 44.28776978],0
d1,1,0.601082,0.273367,[ 1 30] ; [  6 102],[ 1.56115108 29.43884892] ; [  5.43884892 102.56115108],0
r1,1,0.626015,0.237504,[19 12] ; [70 36],[20.13868613 10.86131387] ; [68.86131387 37.13868613],0
n3,1,0.649523,0.206502,[11  2] ; [22  6],[10.46341463  2.53658537] ; [22.53658537  5.46341463],0
n1,1,0.691345,0.157633,[5 8] ; [ 9 19],[4.43902439 8.56097561] ; [ 9.56097561 18.43902439],0
v3,1,0.730341,0.118799,[ 8 23] ; [31 76],[ 8.76086957 22.23913043] ; [30.23913043 76.76086957],0
p12,1,0.734603,0.114927,[ 1 30] ; [  5 103],[ 1.3381295 29.6618705] ; [  4.6618705 103.3381295],0
p4,1,0.804033,0.061569,[18 13] ; [60 48],[17.39568345 13.60431655] ; [60.60431655 47.39568345],0
p6,1,0.962279,0.002237,[10 21] ; [35 72],[10.10869565 20.89130435] ; [34.89130435 72.10869565],0
s3,1,0.963916,0.002047,[15 15] ; [54 53],[15.10948905 14.89051095] ; [53.89051095 53.10948905],0
b4,1,0.981276,0.000551,[16 15] ; [56 52],[16.05755396 14.94244604] ; [55.94244604 52.05755396],0
p1,1,0.993033,7.6e-05,[ 4 27] ; [14 94],[ 4.01438849 26.98561151] ; [13.98561151 94.01438849],0
p7,1,0.997536,1e-05,[20 11] ; [69 38],[19.99275362 11.00724638] ; [69.00724638 37.99275362],0
