Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,8.9e-05,15.347027,[4 6] ; [66  8],[8.33333333 1.66666667] ; [61.66666667 12.33333333],1
r4,1,9.3e-05,15.269589,[ 1 10] ; [52 22],[6.85882353 4.14117647] ; [46.14117647 27.85882353],1
p2,1,0.000879,11.067497,[4 7] ; [60 13],[8.38095238 2.61904762] ; [55.61904762 17.38095238],1
a2,1,0.002904,8.866914,[4 7] ; [ 5 69],[1.16470588 9.83529412] ; [ 7.83529412 66.16470588],0
d4,1,0.006019,7.544492,[5 6] ; [61 13],[8.54117647 2.45882353] ; [57.45882353 16.54117647],0
r2,1,0.016733,5.724196,[6 5] ; [62 11],[8.9047619 2.0952381] ; [59.0952381 13.9047619],0
p10,1,0.027559,4.855453,[6 5] ; [60 12],[8.74698795 2.25301205] ; [57.25301205 14.74698795],0
p9,1,0.037454,4.329633,[7 4] ; [65  9],[9.31764706 1.68235294] ; [62.68235294 11.31764706],0
s6,1,0.060559,3.522013,[4 6] ; [49 21],[6.625 3.375] ; [46.375 23.625],0
s1,1,0.063157,3.452472,[2 9] ; [ 3 71],[ 0.64705882 10.35294118] ; [ 4.35294118 69.64705882],0
d5,1,0.066166,3.375662,[6 5] ; [59 15],[8.41176471 2.58823529] ; [56.58823529 17.41176471],0
s3,1,0.067552,3.341523,[3 8] ; [42 32],[5.82352941 5.17647059] ; [39.17647059 34.82352941],0
p4,1,0.11287,2.513574,[4 7] ; [45 28],[6.41666667 4.58333333] ; [42.58333333 30.41666667],0
p11,1,0.141059,2.166366,[6 5] ; [56 18],[8.02352941 2.97647059] ; [53.97647059 20.02352941],0
a3,1,0.153266,2.039442,[9 2] ; [44 30],[6.85882353 4.14117647] ; [46.14117647 27.85882353],0
a7,1,0.181952,1.781609,[5 6] ; [49 25],[6.98823529 4.01176471] ; [47.01176471 26.98823529],0
d1,1,0.184343,1.762262,[3 8] ; [36 38],[5.04705882 5.95294118] ; [33.95294118 40.04705882],0
p8,1,0.18583,1.750371,[3 8] ; [35 37],[5.03614458 5.96385542] ; [32.96385542 39.03614458],0
p6,1,0.189762,1.719461,[2 9] ; [27 43],[3.9382716 7.0617284] ; [25.0617284 44.9382716],0
v2,1,0.205555,1.60246,[5 6] ; [47 25],[6.89156627 4.10843373] ; [45.10843373 26.89156627],0
n6,1,0.231924,1.429024,[7 4] ; [59 15],[8.54117647 2.45882353] ; [57.45882353 16.54117647],0
b1,1,0.237773,1.393752,[7 4] ; [33 41],[5.17647059 5.82352941] ; [34.82352941 39.17647059],0
p1,1,0.285687,1.139834,[2 9] ; [ 6 68],[1.03529412 9.96470588] ; [ 6.96470588 67.03529412],0
s2,1,0.311862,1.022775,[4 7] ; [39 35],[5.56470588 5.43529412] ; [37.43529412 36.56470588],0
p3,1,0.372134,0.796527,[5 6] ; [43 29],[6.36144578 4.63855422] ; [41.63855422 30.36144578],0
b4,1,0.380428,0.769318,[5 6] ; [44 30],[6.34117647 4.65882353] ; [42.65882353 31.34117647],0
a4,1,0.395335,0.722471,[5 6] ; [24 50],[3.75294118 7.24705882] ; [25.24705882 48.75294118],0
a6,1,0.398388,0.713188,[7 4] ; [37 37],[5.69411765 5.30588235] ; [38.30588235 35.69411765],0
p7,1,0.451857,0.565989,[5 6] ; [42 31],[6.1547619 4.8452381] ; [40.8452381 32.1547619],0
v3,1,0.475187,0.50989,[6 5] ; [31 41],[4.90361446 6.09638554] ; [32.09638554 39.90361446],0
b2,1,0.50699,0.440275,[2 6] ; [16 27],[2.82352941 5.17647059] ; [15.17647059 27.82352941],0
b3,1,0.50699,0.440275,[2 6] ; [16 27],[2.82352941 5.17647059] ; [15.17647059 27.82352941],0
d2,1,0.507052,0.440147,[5 6] ; [26 48],[4.01176471 6.98823529] ; [26.98823529 47.01176471],0
a8,1,0.511371,0.431261,[ 1 10] ; [ 3 65],[ 0.55696203 10.44303797] ; [ 3.44303797 64.55696203],0
s8,1,0.550744,0.355986,[3 8] ; [27 47],[3.88235294 7.11764706] ; [26.11764706 47.88235294],0
a1,1,0.627877,0.234951,[ 1 10] ; [ 4 70],[ 0.64705882 10.35294118] ; [ 4.35294118 69.64705882],0
n4,1,0.655936,0.198498,[7 4] ; [52 22],[7.63529412 3.36470588] ; [51.36470588 22.63529412],0
a5,1,0.66657,0.18564,[7 4] ; [42 32],[6.34117647 4.65882353] ; [42.65882353 31.34117647],0
d3,1,0.692275,0.156634,[6 5] ; [45 29],[6.6 4.4] ; [44.4 29.6],0
s7,1,0.760355,0.093034,[5 6] ; [28 41],[4.5375 6.4625] ; [28.4625 40.5375],0
b5,1,0.924982,0.008866,[7 4] ; [46 28],[6.85882353 4.14117647] ; [46.14117647 27.85882353],0
u3,1,0.927122,0.008366,[1 1] ; [16 14],[1.0625 0.9375] ; [15.9375 14.0625],0
s4,1,0.953467,0.003405,[2 9] ; [14 60],[2.07058824 8.92941176] ; [13.92941176 60.07058824],0
n5,1,0.986345,0.000293,[8 3] ; [54 20],[8.02352941 2.97647059] ; [53.97647059 20.02352941],0
