Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,26.602679,[ 84 140] ; [101  56],[108.7664042 115.2335958] ; [76.2335958 80.7664042],1
s6,1,5.3e-05,16.340193,[ 99 135] ; [102  60],[118.77272727 115.22727273] ; [82.22727273 79.77272727],1
v3,1,0.000913,10.996625,[ 58 171] ; [66 94],[ 72.99742931 156.00257069] ; [ 51.00257069 108.99742931],1
p3,1,0.001818,9.725167,[ 38 198] ; [ 48 117],[ 50.61346633 185.38653367] ; [ 35.38653367 129.61346633],0
r1,1,0.001973,9.574734,[155  81] ; [131  33],[168.74  67.26] ; [117.26  46.74],0
s8,1,0.002335,9.265369,[ 58 178] ; [ 64 101],[ 71.80049875 164.19950125] ; [ 50.19950125 114.80049875],0
b3,1,0.003127,8.731569,[36 91] ; [44 48],[46.39269406 80.60730594] ; [33.60730594 58.39269406],0
b2,1,0.003127,8.731569,[36 91] ; [44 48],[46.39269406 80.60730594] ; [33.60730594 58.39269406],0
s7,1,0.007522,7.143917,[ 66 159] ; [68 92],[ 78.31168831 146.68831169] ; [ 55.68831169 104.31168831],0
r2,1,0.007655,7.112453,[203  30] ; [156   8],[210.697733  22.302267] ; [148.302267  15.697733],0
p2,1,0.008043,7.023918,[145  91] ; [123  43],[157.33333333  78.66666667] ; [110.66666667  55.33333333],0
s2,1,0.008492,6.926688,[ 80 154] ; [78 87],[ 92.66165414 141.33834586] ; [65.33834586 99.66165414],0
a5,1,0.009841,6.663393,[132 104] ; [114  52],[144.41791045  91.58208955] ; [101.58208955  64.41791045],0
a3,1,0.010636,6.525112,[143  92] ; [120  44],[154.89974937  80.10025063] ; [108.10025063  55.89974937],0
p9,1,0.01428,6.003213,[152  77] ; [126  36],[162.81841432  66.18158568] ; [115.18158568  46.81841432],0
v4,1,0.015864,5.81786,[198  36] ; [151  12],[205.70780856  28.29219144] ; [143.29219144  19.70780856],0
r4,1,0.020296,5.386281,[178  58] ; [141  25],[187.27363184  48.72636816] ; [131.72636816  34.27363184],0
s5,1,0.021109,5.317776,[ 44 184] ; [ 47 113],[ 53.4742268 174.5257732] ; [ 37.5257732 122.4742268],0
