Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,52.5,[235   7] ; [45 21],[220.  22.] ; [60.  6.],1
p7,1,0.0,48.790261,[159  82] ; [11 53],[134.32786885 106.67213115] ; [35.67213115 28.32786885],1
r3,1,0.0,46.881416,[228  13] ; [42 24],[211.95439739  29.04560261] ; [58.04560261  7.95439739],1
p10,1,0.0,42.182709,[197  44] ; [27 38],[176.41830065  64.58169935] ; [47.58169935 17.41830065],1
p9,1,0.0,36.14934,[203  37] ; [32 33],[184.91803279  55.08196721] ; [50.08196721 14.91803279],1
p8,1,0.0,33.500878,[137 104] ; [11 55],[116.18241042 124.81758958] ; [31.81758958 34.18241042],1
p4,1,0.0,32.306363,[159  84] ; [17 48],[138.85714286 104.14285714] ; [37.14285714 27.85714286],1
r4,1,0.0,29.118527,[220  23] ; [42 24],[206.03883495  36.96116505] ; [55.96116505 10.03883495],1
p6,1,1e-06,24.148734,[102 141] ; [ 6 59],[ 85.20779221 157.79220779] ; [22.79220779 42.20779221],1
p11,1,3e-06,21.522002,[194  49] ; [34 32],[179.30097087  63.69902913] ; [48.69902913 17.30097087],1
s6,1,5e-06,20.963318,[167  69] ; [26 39],[151.32225914  84.67774086] ; [41.67774086 23.32225914],1
d5,1,2.6e-05,17.688649,[198  44] ; [37 28],[185.24429967  56.75570033] ; [49.75570033 15.24429967],1
n6,1,0.000369,12.685343,[212  30] ; [45 20],[202.58631922  39.41368078] ; [54.41368078 10.58631922],1
s2,1,0.000585,11.821757,[125 117] ; [18 47],[112.72312704 129.27687296] ; [30.27687296 34.72312704],1
s3,1,0.002909,8.863564,[146  95] ; [25 38],[135.5625 105.4375] ; [35.4375 27.5625],0
s5,1,0.005641,7.661555,[ 81 155] ; [10 52],[ 72.06711409 163.93288591] ; [18.93288591 43.06711409],0
d4,1,0.008283,6.971159,[191  51] ; [41 24],[182.87947883  59.12052117] ; [49.12052117 15.87947883],0
p3,1,0.010221,6.595999,[120 122] ; [21 45],[110.78571429 131.21428571] ; [30.21428571 35.78571429],0
r1,1,0.012962,6.174229,[190  52] ; [42 24],[182.28571429  59.71428571] ; [49.71428571 16.28571429],0
a1,1,0.014215,6.011263,[  8 235] ; [ 7 59],[ 11.7961165 231.2038835] ; [ 3.2038835 62.7961165],0
r2,1,0.017695,5.626091,[227  13] ; [55  9],[222.63157895  17.36842105] ; [59.36842105  4.63157895],0
s1,1,0.025274,5.005042,[ 11 228] ; [ 8 58],[ 14.88852459 224.11147541] ; [ 4.11147541 61.88852459],0
s7,1,0.03625,4.385288,[117 115] ; [22 40],[109.68707483 122.31292517] ; [29.31292517 32.68707483],0
d3,1,0.041483,4.156194,[157  86] ; [33 32],[149.9025974  93.0974026] ; [40.0974026 24.9025974],0
v3,1,0.049942,3.843422,[ 46 194] ; [19 43],[ 51.65562914 188.34437086] ; [13.34437086 48.65562914],0
b2,1,0.094866,2.789794,[53 96] ; [24 25],[57.94444444 91.05555556] ; [19.05555556 29.94444444],0
b3,1,0.094866,2.789794,[53 96] ; [24 25],[57.94444444 91.05555556] ; [19.05555556 29.94444444],0
s8,1,0.103696,2.647754,[100 142] ; [20 46],[ 94.28571429 147.71428571] ; [25.71428571 40.28571429],0
a7,1,0.117119,2.455427,[165  78] ; [38 28],[159.6407767  83.3592233] ; [43.3592233 22.6407767],0
n1,1,0.131635,2.273111,[21 28] ; [17 11],[24.18181818 24.81818182] ; [13.81818182 14.18181818],0
u4,1,0.159491,1.979042,[  2 241] ; [ 2 64],[  3.14563107 239.85436893] ; [ 0.85436893 65.14563107],0
s4,1,0.167816,1.902342,[ 47 191] ; [ 8 57],[ 43.20132013 194.79867987] ; [11.79867987 53.20132013],0
v1,1,0.169213,1.889903,[ 99 141] ; [20 43],[ 94.25742574 145.74257426] ; [24.74257426 38.25742574],0
u2,1,0.171349,1.871102,[40 34] ; [10 16],[37. 37.] ; [13. 13.],0
a5,1,0.172779,1.858666,[179  64] ; [43 23],[174.58252427  68.41747573] ; [47.41747573 18.58252427],0
b1,1,0.185571,1.752433,[103 140] ; [34 32],[107.73786408 135.26213592] ; [29.26213592 36.73786408],0
b5,1,0.189124,1.724427,[147  96] ; [34 32],[142.33980583 100.66019417] ; [38.66019417 27.33980583],0
d1,1,0.200879,1.635969,[132 111] ; [30 36],[127.39805825 115.60194175] ; [34.60194175 31.39805825],0
p12,1,0.226904,1.460161,[ 17 223] ; [ 2 64],[ 14.90196078 225.09803922] ; [ 4.09803922 61.90196078],0
a3,1,0.262094,1.257664,[169  73] ; [40 24],[165.2875817  76.7124183] ; [43.7124183 20.2875817],0
u3,1,0.273961,1.196807,[40 33] ; [11 15],[37.60606061 35.39393939] ; [13.39393939 12.60606061],0
n3,1,0.332103,0.94068,[32 17] ; [14 12],[30.05333333 18.94666667] ; [15.94666667 10.05333333],0
a4,1,0.44677,0.578834,[115 127] ; [27 37],[112.30065359 129.69934641] ; [29.69934641 34.30065359],0
a2,1,0.562437,0.335503,[ 56 187] ; [13 53],[ 54.26213592 188.73786408] ; [14.73786408 51.26213592],0
p1,1,0.610433,0.259544,[ 24 217] ; [ 8 58],[ 25.12052117 215.87947883] ; [ 6.87947883 59.12052117],0
n5,1,0.784491,0.074786,[205  37] ; [55 11],[204.28571429  37.71428571] ; [55.71428571 10.28571429],0
p5,1,0.79036,0.070673,[ 34 209] ; [ 8 55],[ 33.35294118 209.64705882] ; [ 8.64705882 54.35294118],0
b4,1,0.81525,0.054596,[136 107] ; [38 28],[136.83495146 106.16504854] ; [37.16504854 28.83495146],0
n2,1,0.820918,0.051241,[34 16] ; [19 10],[33.5443038 16.4556962] ; [19.4556962  9.5443038],0
a6,1,0.853442,0.034125,[154  89] ; [42 23],[154.63636364  88.36363636] ; [41.36363636 23.63636364],0
a8,1,0.898059,0.016413,[ 32 189] ; [ 9 56],[ 31.68181818 189.31818182] ; [ 9.31818182 55.68181818],0
u1,1,0.903885,0.014582,[ 39 204] ; [11 55],[ 39.32038835 203.67961165] ; [10.67961165 55.32038835],0
d2,1,0.960059,0.002508,[111 132] ; [29 34],[111.17647059 131.82352941] ; [28.82352941 34.17647059],0
