Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.127154,[64  4] ; [2 4],[60.64864865  7.35135135] ; [5.35135135 0.64864865],1
r3,1,0.000167,14.167638,[66  1] ; [4 2],[64.24657534  2.75342466] ; [5.75342466 0.24657534],1
s3,1,0.002056,9.498827,[51 16] ; [1 5],[47.7260274 19.2739726] ; [4.2739726 1.7260274],0
r1,1,0.003188,8.696865,[57 11] ; [2 4],[54.21621622 13.78378378] ; [4.78378378 1.21621622],0
a5,1,0.003916,8.322418,[50 18] ; [1 5],[46.86486486 21.13513514] ; [4.13513514 1.86486486],0
b1,1,0.009885,6.655559,[21 47] ; [5 1],[23.89189189 44.10810811] ; [2.10810811 3.89189189],0
n6,1,0.012539,6.232974,[59  8] ; [3 3],[56.90410959 10.09589041] ; [5.09589041 0.90410959],0
b4,1,0.012894,6.183532,[46 22] ; [1 5],[43.18918919 24.81081081] ; [3.81081081 2.18918919],0
s6,1,0.01463,5.960524,[57  8] ; [3 3],[54.92957746 10.07042254] ; [5.07042254 0.92957746],0
a6,1,0.025936,4.960264,[43 25] ; [1 5],[40.43243243 27.56756757] ; [3.56756757 2.43243243],0
s1,1,0.029154,4.758479,[ 1 66] ; [1 5],[ 1.83561644 65.16438356] ; [0.16438356 5.83561644],0
a3,1,0.029996,4.709494,[51 17] ; [2 4],[48.7027027 19.2972973] ; [4.2972973 1.7027027],0
p9,1,0.041452,4.157443,[61  5] ; [4 2],[59.58333333  6.41666667] ; [5.41666667 0.58333333],0
s2,1,0.0418,4.143276,[49 18] ; [2 4],[46.80821918 20.19178082] ; [4.19178082 1.80821918],0
s5,1,0.046533,3.962179,[36 25] ; [1 5],[33.68656716 27.31343284] ; [3.31343284 2.68656716],0
s7,1,0.071491,3.248443,[41 26] ; [1 4],[39.08333333 27.91666667] ; [2.91666667 2.08333333],0
d3,1,0.078154,3.102878,[55 13] ; [3 3],[53.2972973 14.7027027] ; [4.7027027 1.2972973],0
a1,1,0.102234,2.670349,[ 2 66] ; [1 5],[ 2.75675676 65.24324324] ; [0.24324324 5.75675676],0
d1,1,0.109158,2.566372,[45 23] ; [2 4],[43.18918919 24.81081081] ; [3.81081081 2.18918919],0
a7,1,0.126218,2.33841,[53 15] ; [3 3],[51.45945946 16.54054054] ; [4.54054054 1.45945946],0
b5,1,0.12878,2.307149,[44 24] ; [2 4],[42.27027027 25.72972973] ; [3.72972973 2.27027027],0
v3,1,0.1439,2.135747,[31 34] ; [1 5],[29.29577465 35.70422535] ; [2.70422535 3.29577465],0
d5,1,0.184648,1.759811,[59  9] ; [4 2],[57.89189189 10.10810811] ; [5.10810811 0.89189189],0
v4,1,0.203176,1.619398,[65  3] ; [5 1],[64.32432432  3.67567568] ; [5.67567568 0.32432432],0
n1,1,0.254565,1.298077,[ 2 11] ; [1 1],[ 2.6 10.4] ; [0.4 1.6],0
p8,1,0.316375,1.003873,[29 35] ; [4 2],[30.17142857 33.82857143] ; [2.82857143 3.17142857],0
n5,1,0.389467,0.740605,[45 23] ; [5 1],[45.94594595 22.05405405] ; [4.05405405 1.94594595],0
s8,1,0.394349,0.72549,[35 33] ; [2 4],[34. 34.] ; [3. 3.],0
p3,1,0.394349,0.72549,[33 35] ; [4 2],[34. 34.] ; [3. 3.],0
p7,1,0.401861,0.702751,[44 22] ; [5 1],[44.91666667 21.08333333] ; [4.08333333 1.91666667],0
u3,1,0.422489,0.643382,[9 8] ; [3 1],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
u2,1,0.585804,0.296946,[ 6 11] ; [2 2],[ 6.47619048 10.52380952] ; [1.52380952 2.47619048],0
d4,1,0.629889,0.232212,[61  7] ; [5 1],[60.64864865  7.35135135] ; [5.35135135 0.64864865],0
p4,1,0.657581,0.196476,[39 29] ; [4 2],[39.51351351 28.48648649] ; [3.48648649 2.51351351],0
p6,1,0.719736,0.128746,[28 38] ; [3 3],[28.41666667 37.58333333] ; [2.58333333 3.41666667],0
v1,1,0.750752,0.1009,[38 29] ; [3 3],[37.63013699 29.36986301] ; [3.36986301 2.63013699],0
p2,1,0.778832,0.078872,[49 19] ; [4 2],[48.7027027 19.2972973] ; [4.2972973 1.7027027],0
d2,1,0.835332,0.043209,[37 31] ; [3 3],[36.75675676 31.24324324] ; [3.24324324 2.75675676],0
p10,1,0.837184,0.042229,[57  9] ; [5 1],[56.83333333  9.16666667] ; [5.16666667 0.83333333],0
b3,1,0.862026,0.030205,[ 7 26] ; [1 3],[ 7.13513514 25.86486486] ; [0.86486486 3.13513514],0
b2,1,0.862026,0.030205,[ 7 26] ; [1 3],[ 7.13513514 25.86486486] ; [0.86486486 3.13513514],0
p11,1,0.90104,0.015462,[47 21] ; [4 2],[46.86486486 21.13513514] ; [4.13513514 1.86486486],0
a4,1,1.0,0.0,[34 34] ; [3 3],[34. 34.] ; [3. 3.],0
