Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,94.927803,[ 38 131] ; [270 133],[91. 78.] ; [217. 186.],1
s3,1,0.0,82.090285,[ 51 118] ; [283 115],[99.55202822 69.44797178] ; [234.44797178 163.55202822],1
s7,1,0.0,70.856121,[ 44 115] ; [262 129],[88.46181818 70.53818182] ; [217.53818182 173.46181818],1
s8,1,0.0,60.028421,[ 42 129] ; [242 162],[84.45913043 86.54086957] ; [199.54086957 204.45913043],1
s5,1,0.0,40.357553,[ 27 140] ; [175 220],[ 60.02491103 106.97508897] ; [141.97508897 253.02491103],1
p9,1,8e-06,20.048728,[125  45] ; [355  46],[142.90718039  27.09281961] ; [337.09281961  63.90718039],1
p4,1,1.3e-05,19.083333,[85 85] ; [279 124],[107.9930192  62.0069808] ; [256.0069808 146.9930192],1
n5,1,7.3e-05,15.732458,[131  39] ; [364  42],[146.09375  23.90625] ; [348.90625  57.09375],1
n6,1,0.000131,14.627759,[136  34] ; [370  35],[149.6  20.4] ; [356.4  48.6],1
p5,1,0.000245,13.446652,[  8 161] ; [ 64 339],[ 21.27272727 147.72727273] ; [ 50.72727273 352.27272727],1
s4,1,0.000397,12.545839,[ 11 160] ; [ 71 328],[ 24.6 146.4] ; [ 57.4 341.6],1
p6,1,0.000418,12.448928,[ 49 121] ; [179 222],[ 67.88091068 102.11908932] ; [160.11908932 240.88091068],1
u1,1,0.000904,11.015523,[ 23 148] ; [106 301],[ 38.16435986 132.83564014] ; [ 90.83564014 316.16435986],1
p12,1,0.001708,9.839339,[  6 164] ; [ 48 355],[ 16.02094241 153.97905759] ; [ 37.97905759 365.02094241],0
p10,1,0.006459,7.417498,[130  40] ; [345  57],[141.17132867  28.82867133] ; [333.82867133  68.17132867],0
r4,1,0.012059,6.302227,[158  13] ; [395  12],[163.60380623   7.39619377] ; [389.39619377  17.60380623],0
d5,1,0.016442,5.754998,[134  37] ; [349  55],[143.64  27.36] ; [339.36  64.64],0
b5,1,0.03189,4.604386,[89 82] ; [251 156],[100.58823529  70.41176471] ; [239.41176471 167.58823529],0
u3,1,0.055892,3.655277,[25 25] ; [63 32],[30.34482759 19.65517241] ; [57.65517241 37.34482759],0
v4,1,0.06386,3.434183,[160  10] ; [395  11],[163.80208333   6.19791667] ; [391.19791667  14.80208333],0
p7,1,0.07238,3.228215,[102  67] ; [268 125],[111.2633452  57.7366548] ; [258.7366548 134.2633452],0
s1,1,0.073532,3.202373,[  3 166] ; [ 20 379],[  6.84330986 162.15669014] ; [ 16.15669014 382.84330986],0
a2,1,0.085047,2.965714,[ 40 131] ; [124 283],[ 48.51903114 122.48096886] ; [115.48096886 291.51903114],0
a8,1,0.097479,2.746312,[ 19 132] ; [ 68 298],[ 25.41005803 125.58994197] ; [ 61.58994197 304.41005803],0
a6,1,0.106834,2.600444,[127  44] ; [272 131],[118.86585366  52.13414634] ; [280.13414634 122.86585366],0
p3,1,0.11391,2.499117,[82 88] ; [224 180],[90.6271777 79.3728223] ; [215.3728223 188.6271777],0
u4,1,0.128904,2.30566,[  2 169] ; [ 14 393],[  4.73356401 166.26643599] ; [ 11.26643599 395.73356401],0
u2,1,0.14431,2.131394,[24 25] ; [58 36],[28.0979021 20.9020979] ; [53.9020979 40.0979021],0
p8,1,0.150399,2.068202,[84 85] ; [224 174],[91.80246914 77.19753086] ; [216.19753086 181.80246914],0
a3,1,0.152639,2.045678,[121  48] ; [312  92],[127.70855148  41.29144852] ; [305.29144852  98.70855148],0
v1,1,0.172935,1.857311,[91 79] ; [237 160],[98.34215168 71.65784832] ; [229.65784832 167.34215168],0
p2,1,0.18872,1.727584,[139  32] ; [346  58],[144.23478261  26.76521739] ; [340.76521739  63.23478261],0
n2,1,0.202101,1.627124,[24 13] ; [55 17],[26.81651376 10.18348624] ; [52.18348624 19.81651376],0
d1,1,0.242049,1.368623,[103  68] ; [266 141],[109.16782007  61.83217993] ; [259.83217993 147.16782007],0
d4,1,0.316686,1.002583,[139  31] ; [343  60],[143.0017452  26.9982548] ; [338.9982548  64.0017452],0
r3,1,0.382838,0.761569,[162   8] ; [392  13],[163.79130435   6.20869565] ; [390.20869565  14.79130435],0
r2,1,0.47629,0.507345,[163   6] ; [394  10],[164.28097731   4.71902269] ; [392.71902269  11.28097731],0
d2,1,0.484423,0.488889,[88 82] ; [222 182],[91.81184669 78.18815331] ; [218.18815331 185.81184669],0
b4,1,0.493975,0.467856,[96 75] ; [241 166],[99.70069204 71.29930796] ; [237.29930796 169.70069204],0
a5,1,0.505387,0.443607,[134  37] ; [328  78],[136.91854419  34.08145581] ; [325.08145581  80.91854419],0
v2,1,0.553343,0.351363,[101  63] ; [232 162],[97.87096774 66.12903226] ; [235.12903226 158.87096774],0
p1,1,0.592062,0.287135,[ 14 156] ; [ 39 365],[ 15.69686411 154.30313589] ; [ 37.30313589 366.69686411],0
n1,1,0.636284,0.223635,[15 21] ; [33 38],[16.14953271 19.85046729] ; [31.85046729 39.14953271],0
b2,1,0.644286,0.21318,[45 63] ; [102 159],[43.02439024 64.97560976] ; [103.97560976 157.02439024],0
b3,1,0.644286,0.21318,[45 63] ; [102 159],[43.02439024 64.97560976] ; [103.97560976 157.02439024],0
a4,1,0.742779,0.107699,[84 87] ; [204 199],[85.79790941 85.20209059] ; [202.20209059 200.79790941],0
d3,1,0.757514,0.095325,[121  50] ; [291 113],[122.52521739  48.47478261] ; [289.47478261 114.52521739],0
p11,1,0.771353,0.084452,[140  31] ; [329  78],[138.75259516  32.24740484] ; [330.24740484  76.75259516],0
a7,1,0.798452,0.065204,[126  44] ; [296 109],[124.76521739  45.23478261] ; [297.23478261 107.76521739],0
a1,1,0.808818,0.058541,[  8 163] ; [ 21 386],[  8.57958478 162.42041522] ; [ 20.42041522 386.57958478],0
v3,1,0.912193,0.01216,[73 90] ; [174 219],[72.4118705 90.5881295] ; [174.5881295 218.4118705],0
n3,1,0.914724,0.011467,[25 10] ; [50 21],[24.76415094 10.23584906] ; [50.23584906 20.76415094],0
b1,1,0.993318,7e-05,[ 68 103] ; [162 245],[ 68.0449827 102.9550173] ; [161.9550173 245.0449827],0
