Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.532355,0.389894,[ 7 83] ; [ 2 14],[ 7.64150943 82.35849057] ; [ 1.35849057 14.64150943],0
b1,1,0.592372,0.286655,[42 52] ; [ 6 10],[41.01818182 52.98181818] ; [6.98181818 9.01818182],0
u3,1,0.597356,0.279002,[26 15] ; [2 2],[25.51111111 15.48888889] ; [2.48888889 1.51111111],0
v1,1,0.601657,0.272504,[43 48] ; [6 9],[42.06603774 48.93396226] ; [6.93396226 8.06603774],0
a2,1,0.605829,0.266293,[13 81] ; [ 3 13],[13.67272727 80.32727273] ; [ 2.32727273 13.67272727],0
d5,1,0.624545,0.239531,[58 35] ; [11  5],[58.87155963 34.12844037] ; [10.12844037  5.87155963],0
a6,1,0.642439,0.215567,[58 35] ; [9 7],[57.16513761 35.83486239] ; [9.83486239 6.16513761],0
v3,1,0.671672,0.179653,[32 55] ; [ 5 11],[31.25242718 55.74757282] ; [ 5.74757282 10.25242718],0
p8,1,0.699182,0.149324,[25 69] ; [ 5 11],[25.63636364 68.36363636] ; [ 4.36363636 11.63636364],0
p5,1,0.762541,0.091292,[ 9 81] ; [ 2 14],[ 9.33962264 80.66037736] ; [ 1.66037736 14.33962264],0
a4,1,0.764156,0.090016,[39 55] ; [ 6 10],[38.45454545 55.54545455] ; [6.54545455 9.45454545],0
u1,1,0.80178,0.063023,[14 80] ; [ 2 14],[13.67272727 80.32727273] ; [ 2.32727273 13.67272727],0
d3,1,0.853719,0.033994,[50 43] ; [9 7],[50.33944954 42.66055046] ; [8.66055046 7.33944954],0
n3,1,0.863894,0.029385,[14  7] ; [7 4],[13.78125  7.21875] ; [7.21875 3.78125],0
a1,1,0.879527,0.022973,[ 5 89] ; [ 1 15],[ 5.12727273 88.87272727] ; [ 0.87272727 15.12727273],0
s7,1,0.881683,0.022152,[38 53] ; [7 9],[38.27102804 52.72897196] ; [6.72897196 9.27102804],0
a5,1,0.887808,0.019903,[57 37] ; [10  6],[57.25454545 36.74545455] ; [9.74545455 6.25454545],0
