Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.030985,4.65379,[28  3] ; [24 11],[24.42424242  6.57575758] ; [27.57575758  7.42424242],0
p3,1,0.034315,4.478921,[12 20] ; [ 5 29],[ 8.24242424 23.75757576] ; [ 8.75757576 25.24242424],0
v3,1,0.03611,4.391889,[ 2 29] ; [ 9 26],[ 5.16666667 25.83333333] ; [ 5.83333333 29.16666667],0
p7,1,0.038105,4.300318,[20 12] ; [13 22],[15.76119403 16.23880597] ; [17.23880597 17.76119403],0
s4,1,0.046225,3.973368,[10 22] ; [ 4 31],[ 6.68656716 25.31343284] ; [ 7.31343284 27.68656716],0
p8,1,0.046672,3.957183,[15 17] ; [ 8 26],[11.15151515 20.84848485] ; [11.84848485 22.15151515],0
s1,1,0.06097,3.510806,[ 1 31] ; [ 6 29],[ 3.34328358 28.65671642] ; [ 3.65671642 31.34328358],0
p4,1,0.072089,3.234794,[17 15] ; [11 24],[13.37313433 18.62686567] ; [14.62686567 20.37313433],0
n2,1,0.118989,2.430576,[12  5] ; [7 9],[9.78787879 7.21212121] ; [9.21212121 6.78787879],0
p11,1,0.121615,2.396402,[16 16] ; [11 24],[12.89552239 19.10447761] ; [14.10447761 20.89552239],0
s8,1,0.139428,2.184257,[ 7 25] ; [ 3 31],[ 4.84848485 27.15151515] ; [ 5.15151515 28.84848485],0
d4,1,0.158645,1.987097,[20 11] ; [28  7],[22.54545455  8.45454545] ; [25.45454545  9.54545455],0
r3,1,0.171869,1.866565,[28  4] ; [26  9],[25.79104478  6.20895522] ; [28.20895522  6.79104478],0
a7,1,0.252115,1.311544,[20 12] ; [17 18],[17.67164179 14.32835821] ; [19.32835821 15.67164179],0
a5,1,0.252115,1.311544,[12 20] ; [18 17],[14.32835821 17.67164179] ; [15.67164179 19.32835821],0
u1,1,0.260701,1.265033,[ 3 29] ; [ 1 34],[ 1.91044776 30.08955224] ; [ 2.08955224 32.91044776],0
a6,1,0.263491,1.250321,[19 13] ; [16 19],[16.71641791 15.28358209] ; [18.28358209 16.71641791],0
p6,1,0.263779,1.248814,[ 8 23] ; [ 5 29],[ 6.2 24.8] ; [ 6.8 27.2],0
d3,1,0.273396,1.199628,[18 14] ; [15 20],[15.76119403 16.23880597] ; [17.23880597 17.76119403],0
b5,1,0.281815,1.158317,[15 17] ; [21 14],[17.19402985 14.80597015] ; [18.80597015 16.19402985],0
d5,1,0.299298,1.077318,[19 13] ; [25 10],[21.01492537 10.98507463] ; [22.98507463 12.01492537],0
r4,1,0.344561,0.893389,[21 11] ; [19 16],[19.10447761 12.89552239] ; [20.89552239 14.10447761],0
a8,1,0.427355,0.63,[ 2 26] ; [ 1 34],[ 1.33333333 26.66666667] ; [ 1.66666667 33.33333333],0
n3,1,0.435078,0.609231,[12  6] ; [8 7],[10.90909091  7.09090909] ; [9.09090909 5.90909091],0
b2,1,0.464857,0.534175,[ 3 18] ; [ 4 13],[ 3.86842105 17.13157895] ; [ 3.13157895 13.86842105],0
b3,1,0.464857,0.534175,[ 3 18] ; [ 4 13],[ 3.86842105 17.13157895] ; [ 3.13157895 13.86842105],0
d2,1,0.529665,0.395035,[14 18] ; [18 17],[15.28358209 16.71641791] ; [16.71641791 18.28358209],0
b1,1,0.54448,0.367299,[15 17] ; [19 16],[16.23880597 15.76119403] ; [17.76119403 17.23880597],0
d1,1,0.570497,0.321852,[15 17] ; [14 21],[13.85074627 18.14925373] ; [15.14925373 19.85074627],0
s6,1,0.584735,0.298643,[12 20] ; [15 19],[13.09090909 18.90909091] ; [13.90909091 20.09090909],0
s3,1,0.592021,0.2872,[13 19] ; [12 23],[11.94029851 20.05970149] ; [13.05970149 21.94029851],0
p1,1,0.608729,0.26203,[ 1 31] ; [ 2 33],[ 1.43283582 30.56716418] ; [ 1.56716418 33.43283582],0
s2,1,0.614644,0.253468,[ 8 23] ; [11 24],[ 8.92424242 22.07575758] ; [10.07575758 24.92424242],0
p10,1,0.624661,0.239371,[ 7 25] ; [ 6 29],[ 6.20895522 25.79104478] ; [ 6.79104478 28.20895522],0
v2,1,0.637512,0.222011,[11 20] ; [14 20],[11.92307692 19.07692308] ; [13.07692308 20.92307692],0
s5,1,0.643498,0.214196,[ 5 26] ; [ 7 27],[ 5.72307692 25.27692308] ; [ 6.27692308 27.72307692],0
r1,1,0.655202,0.199405,[20 12] ; [20 15],[19.10447761 12.89552239] ; [20.89552239 14.10447761],0
s7,1,0.662019,0.19108,[ 7 24] ; [ 6 27],[ 6.296875 24.703125] ; [ 6.703125 26.296875],0
u3,1,0.704786,0.143541,[10  5] ; [9 6],[9.5 5.5] ; [9.5 5.5],0
n6,1,0.7096,0.138677,[17 15] ; [17 18],[16.23880597 15.76119403] ; [17.76119403 17.23880597],0
u2,1,0.715001,0.133333,[7 8] ; [8 7],[7.5 7.5] ; [7.5 7.5],0
a3,1,0.741133,0.109134,[17 15] ; [20 15],[17.67164179 14.32835821] ; [19.32835821 15.67164179],0
a4,1,0.767867,0.087123,[ 9 23] ; [11 24],[ 9.55223881 22.44776119] ; [10.44776119 24.55223881],0
b4,1,0.770168,0.085355,[19 13] ; [22 13],[19.58208955 12.41791045] ; [21.41791045 13.58208955],0
