Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4e-06,21.058878,[ 9 39] ; [29 15],[19.82608696 28.17391304] ; [18.17391304 25.82608696],1
s8,1,3.1e-05,17.347198,[ 5 43] ; [22 22],[14.08695652 33.91304348] ; [12.91304348 31.08695652],1
s5,1,4.2e-05,16.781984,[ 2 45] ; [17 26],[ 9.92222222 37.07777778] ; [ 9.07777778 33.92222222],1
s3,1,7e-05,15.8049,[15 33] ; [32 12],[24.52173913 23.47826087] ; [22.47826087 21.52173913],1
s7,1,0.000152,14.345412,[ 4 38] ; [20 23],[11.85882353 30.14117647] ; [12.14117647 30.85882353],1
p3,1,0.000153,14.331296,[ 6 40] ; [22 22],[14.31111111 31.68888889] ; [13.68888889 30.31111111],1
p4,1,0.003058,8.772738,[12 34] ; [25 19],[18.91111111 27.08888889] ; [18.08888889 25.91111111],0
r3,1,0.011887,6.327711,[35 13] ; [40  3],[39.56043956  8.43956044] ; [35.43956044  7.56043956],0
d1,1,0.013466,6.106862,[15 33] ; [25 19],[20.86956522 27.13043478] ; [19.13043478 24.86956522],0
p2,1,0.018339,5.563492,[24 23] ; [33 11],[29.43956044 17.56043956] ; [27.56043956 16.43956044],0
d4,1,0.023082,5.162309,[31 16] ; [38  6],[35.63736264 11.36263736] ; [33.36263736 10.63736264],0
d5,1,0.028703,4.785325,[28 20] ; [35  9],[32.86956522 15.13043478] ; [30.13043478 13.86956522],0
d3,1,0.036764,4.361294,[23 24] ; [31 13],[27.89010989 19.10989011] ; [26.10989011 17.89010989],0
r4,1,0.052898,3.747149,[28 20] ; [34 10],[32.34782609 15.65217391] ; [29.65217391 14.34782609],0
p8,1,0.060547,3.522333,[15 31] ; [22 20],[19.34090909 26.65909091] ; [17.65909091 24.34090909],0
s4,1,0.065264,3.3983,[ 5 43] ; [11 33],[ 8.34782609 39.65217391] ; [ 7.65217391 36.34782609],0
p7,1,0.085867,2.950206,[18 27] ; [24 17],[21.97674419 23.02325581] ; [20.02325581 20.97674419],0
p6,1,0.088088,2.908966,[ 7 38] ; [13 29],[10.34482759 34.65517241] ; [ 9.65517241 32.34482759],0
p9,1,0.099052,2.720738,[26 21] ; [31 12],[29.76666667 17.23333333] ; [27.23333333 15.76666667],0
a6,1,0.099753,2.709483,[27 21] ; [32 12],[30.7826087 17.2173913] ; [28.2173913 15.7826087],0
r1,1,0.116547,2.463118,[27 21] ; [31 12],[30.59340659 17.40659341] ; [27.40659341 15.59340659],0
p11,1,0.141452,2.162089,[21 27] ; [26 18],[24.52173913 23.47826087] ; [22.47826087 21.52173913],0
a5,1,0.141452,2.162089,[21 27] ; [26 18],[24.52173913 23.47826087] ; [22.47826087 21.52173913],0
v2,1,0.146342,2.109972,[16 29] ; [20 19],[19.28571429 25.71428571] ; [16.71428571 22.28571429],0
r2,1,0.169914,1.883702,[36 12] ; [38  6],[38.60869565  9.39130435] ; [35.39130435  8.60869565],0
p10,1,0.177585,1.817716,[24 23] ; [28 15],[27.15555556 19.84444444] ; [24.84444444 18.15555556],0
v1,1,0.19931,1.64742,[16 32] ; [20 23],[18.98901099 29.01098901] ; [17.01098901 25.98901099],0
a7,1,0.212073,1.557217,[29 19] ; [32 12],[31.82608696 16.17391304] ; [29.17391304 14.82608696],0
u1,1,0.288696,1.125694,[ 5 43] ; [ 2 42],[ 3.65217391 44.34782609] ; [ 3.34782609 40.65217391],0
n2,1,0.332216,0.940241,[10  9] ; [11  5],[11.4  7.6] ; [9.6 6.4],0
v4,1,0.338679,0.915427,[37 10] ; [38  6],[38.73626374  8.26373626] ; [36.26373626  7.73626374],0
b2,1,0.358471,0.843243,[ 6 20] ; [ 9 17],[ 7.5 18.5] ; [ 7.5 18.5],0
b3,1,0.358471,0.843243,[ 6 20] ; [ 9 17],[ 7.5 18.5] ; [ 7.5 18.5],0
p1,1,0.384556,0.756088,[ 3 45] ; [ 5 39],[ 4.17391304 43.82608696] ; [ 3.82608696 40.17391304],0
u3,1,0.386362,0.750361,[13  9] ; [13  5],[14.3  7.7] ; [11.7  6.3],0
a4,1,0.400988,0.705362,[17 31] ; [12 32],[15.13043478 32.86956522] ; [13.86956522 30.13043478],0
b5,1,0.431209,0.619566,[29 19] ; [23 21],[27.13043478 20.86956522] ; [24.86956522 19.13043478],0
a2,1,0.434572,0.610574,[ 5 43] ; [ 7 37],[ 6.26086957 41.73913043] ; [ 5.73913043 38.26086957],0
a8,1,0.50259,0.449464,[ 1 44] ; [ 2 39],[ 1.56976744 43.43023256] ; [ 1.43023256 39.56976744],0
