Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3.8e-05,16.974552,[210  56] ; [64 46],[193.84042553  72.15957447] ; [80.15957447 29.84042553],1
s6,1,0.000173,14.103228,[234  30] ; [78 29],[222.01617251  41.98382749] ; [89.98382749 17.01617251],1
s3,1,0.000376,12.645597,[212  54] ; [67 41],[198.43315508  67.56684492] ; [80.56684492 27.43315508],1
v1,1,0.000823,11.187813,[163  96] ; [47 60],[148.60655738 110.39344262] ; [61.39344262 45.60655738],1
p9,1,0.000977,10.870055,[247  19] ; [87 20],[238.18766756  27.81233244] ; [95.81233244 11.18766756],1
n5,1,0.005797,7.612209,[236  31] ; [85 25],[227.33952255  39.66047745] ; [93.66047745 16.33952255],0
v3,1,0.026993,4.891289,[133 125] ; [42 66],[123.36065574 134.63934426] ; [51.63934426 56.36065574],0
p10,1,0.035828,4.405274,[235  29] ; [89 21],[228.70588235  35.29411765] ; [95.29411765 14.70588235],0
p12,1,0.037241,4.339344,[ 34 231] ; [  6 103],[ 28.34224599 236.65775401] ; [11.65775401 97.34224599],0
u4,1,0.039235,4.250642,[ 15 252] ; [  1 109],[ 11.33156499 255.66843501] ; [  4.66843501 105.33156499],0
v4,1,0.046455,3.965019,[261   6] ; [103   7],[257.79310345   9.20689655] ; [106.20689655   3.79310345],0
v2,1,0.046511,3.962973,[163  96] ; [57 53],[154.41734417 104.58265583] ; [65.58265583 44.41734417],0
s5,1,0.049851,3.846452,[123 129] ; [41 68],[114.48199446 137.51800554] ; [49.51800554 59.48199446],0
p6,1,0.050063,3.839335,[135 127] ; [44 65],[126.4097035 135.5902965] ; [52.5902965 56.4097035],0
p5,1,0.06481,3.409805,[ 52 211] ; [13 97],[ 45.8310992 217.1689008] ; [19.1689008 90.8310992],0
a5,1,0.082568,3.013615,[220  47] ; [82 28],[213.88328912  53.11671088] ; [88.11671088 21.88328912],0
a3,1,0.083588,2.99371,[227  39] ; [85 24],[221.312  44.688] ; [90.688 18.312],0
a7,1,0.084732,2.971705,[180  87] ; [84 26],[186.97082228  80.02917772] ; [77.02917772 32.97082228],0
r4,1,0.097927,2.738977,[251  16] ; [98 12],[247.16976127  19.83023873] ; [101.83023873   8.16976127],0
d1,1,0.102323,2.668953,[179  88] ; [64 46],[172.09814324  94.90185676] ; [70.90185676 39.09814324],0
n4,1,0.116235,2.467339,[236  30] ; [91 19],[231.33510638  34.66489362] ; [95.66489362 14.33510638],0
b4,1,0.151425,2.057839,[146 121] ; [69 41],[152.26790451 114.73209549] ; [62.73209549 47.26790451],0
p7,1,0.171539,1.869444,[188  71] ; [70 37],[182.57377049  76.42622951] ; [75.42622951 31.57377049],0
b2,1,0.174265,1.845869,[ 88 107] ; [27 48],[ 83.05555556 111.94444444] ; [31.94444444 43.05555556],0
b3,1,0.174265,1.845869,[ 88 107] ; [27 48],[ 83.05555556 111.94444444] ; [31.94444444 43.05555556],0
