Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.9e-05,18.310255,[43 26] ; [74  7],[53.82 15.18] ; [63.18 17.82],1
v4,1,1.9e-05,18.240796,[44 25] ; [73  6],[54.5472973 14.4527027] ; [62.4527027 16.5472973],1
p4,1,0.000122,14.757414,[14 55] ; [41 40],[25.3 43.7] ; [29.7 51.3],1
r4,1,0.000175,14.080128,[36 34] ; [65 16],[46.82119205 23.17880795] ; [54.17880795 26.82119205],1
p7,1,0.000301,13.061584,[19 48] ; [47 34],[29.87837838 37.12162162] ; [36.12162162 44.87837838],1
p8,1,0.001136,10.59106,[12 57] ; [34 47],[21.16 47.84] ; [24.84 56.16],0
p11,1,0.001984,9.564423,[23 47] ; [47 34],[32.45033113 37.54966887] ; [37.54966887 43.45033113],0
r1,1,0.005346,7.758551,[40 29] ; [64 17],[47.84 21.16] ; [56.16 24.84],0
d3,1,0.009513,6.723803,[32 38] ; [54 27],[39.86754967 30.13245033] ; [46.13245033 34.86754967],0
s1,1,0.01412,6.023118,[ 9 60] ; [ 2 78],[ 5.09395973 63.90604027] ; [ 5.90604027 74.09395973],0
s8,1,0.028952,4.770453,[ 7 63] ; [19 62],[12.05298013 57.94701987] ; [13.94701987 67.05298013],0
p3,1,0.032038,4.596473,[14 55] ; [29 51],[19.91275168 49.08724832] ; [23.08724832 56.91275168],0
p6,1,0.032052,4.595701,[ 7 61] ; [19 61],[11.94594595 56.05405405] ; [14.05405405 65.94594595],0
a7,1,0.03456,4.466764,[37 32] ; [57 24],[43.24 25.76] ; [50.76 30.24],0
a6,1,0.036549,4.371298,[34 36] ; [53 28],[40.33112583 29.66887417] ; [46.66887417 34.33112583],0
s3,1,0.073788,3.196679,[22 47] ; [37 43],[27.32214765 41.67785235] ; [31.67785235 48.32214765],0
p10,1,0.082143,3.021978,[11 59] ; [22 58],[15.4 54.6] ; [17.6 62.4],0
s2,1,0.0928,2.825125,[16 54] ; [28 51],[20.67114094 49.32885906] ; [23.32885906 55.67114094],0
d5,1,0.094565,2.794894,[42 28] ; [59 22],[46.82119205 23.17880795] ; [54.17880795 26.82119205],0
b5,1,0.104637,2.633404,[34 36] ; [50 31],[38.94039735 31.05960265] ; [45.05960265 35.94039735],0
a1,1,0.120779,2.407195,[ 7 63] ; [ 3 78],[ 4.63576159 65.36423841] ; [ 5.36423841 75.63576159],0
n3,1,0.125763,2.344036,[12 15] ; [17  9],[14.77358491 12.22641509] ; [14.22641509 11.77358491],0
n2,1,0.126361,2.336649,[13 17] ; [16  9],[15.81818182 14.18181818] ; [13.18181818 11.81818182],0
n6,1,0.126476,2.335234,[37 31] ; [54 27],[41.53020134 26.46979866] ; [49.46979866 31.53020134],0
s7,1,0.134628,2.238311,[12 53] ; [22 53],[15.78571429 49.21428571] ; [18.21428571 56.78571429],0
v1,1,0.136218,2.220166,[18 52] ; [30 51],[22.25165563 47.74834437] ; [25.74834437 55.25165563],0
r2,1,0.161046,1.964375,[52 15] ; [70 11],[55.22972973 11.77027027] ; [66.77027027 14.22972973],0
n1,1,0.233992,1.416429,[11 18] ; [ 6 20],[ 8.96363636 20.03636364] ; [ 8.03636364 17.96363636],0
b2,1,0.237678,1.394314,[17 27] ; [13 35],[14.34782609 29.65217391] ; [15.65217391 32.34782609],0
b3,1,0.237678,1.394314,[17 27] ; [13 35],[14.34782609 29.65217391] ; [15.65217391 32.34782609],0
a3,1,0.28041,1.165104,[41 28] ; [41 40],[37.72 31.28] ; [44.28 36.72],0
a4,1,0.337299,0.920671,[24 45] ; [22 58],[21.30201342 47.69798658] ; [24.69798658 55.30201342],0
n4,1,0.369218,0.806296,[42 27] ; [55 26],[44.62 24.38] ; [52.38 28.62],0
s4,1,0.395878,0.720812,[ 8 62] ; [13 67],[ 9.8 60.2] ; [11.2 68.8],0
s6,1,0.414515,0.665815,[24 46] ; [33 48],[26.42384106 43.57615894] ; [30.57615894 50.42384106],0
a5,1,0.416557,0.660009,[36 34] ; [47 34],[38.47682119 31.52317881] ; [44.52317881 36.47682119],0
v3,1,0.419392,0.652017,[21 46] ; [20 59],[18.81506849 48.18493151] ; [22.18493151 56.81506849],0
u1,1,0.452399,0.564635,[ 6 64] ; [10 71],[ 7.41721854 62.58278146] ; [ 8.58278146 72.41721854],0
n5,1,0.453065,0.562972,[40 29] ; [42 39],[37.72 31.28] ; [44.28 36.72],0
p5,1,0.46814,0.526362,[ 2 67] ; [ 1 80],[ 1.38 67.62] ; [ 1.62 79.38],0
d2,1,0.487518,0.481999,[32 37] ; [33 48],[29.9 39.1] ; [35.1 45.9],0
d1,1,0.58155,0.303736,[28 42] ; [36 45],[29.66887417 40.33112583] ; [34.33112583 46.66887417],0
v2,1,0.622009,0.243054,[24 44] ; [31 48],[25.44217687 42.55782313] ; [29.55782313 49.44217687],0
u2,1,0.8063,0.060124,[15 14] ; [19 20],[14.5 14.5] ; [19.5 19.5],0
a8,1,0.886373,0.020419,[ 5 61] ; [ 5 67],[ 4.7826087 61.2173913] ; [ 5.2173913 66.7826087],0
d4,1,0.888391,0.019695,[48 22] ; [54 26],[47.6 22.4] ; [54.4 25.6],0
p12,1,0.924214,0.009049,[ 1 69] ; [ 1 79],[ 0.93333333 69.06666667] ; [ 1.06666667 78.93333333],0
