Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,7.1e-05,15.777391,[ 2 38] ; [8 8],[ 7.14285714 32.85714286] ; [ 2.85714286 13.14285714],1
s2,1,7.7e-05,15.624088,[ 7 34] ; [12  5],[13.43103448 27.56896552] ; [ 5.56896552 11.43103448],1
s6,1,9.8e-05,15.171804,[ 9 32] ; [13  4],[15.55172414 25.44827586] ; [ 6.44827586 10.55172414],1
s8,1,0.000331,12.887609,[ 4 37] ; [9 8],[ 9.18965517 31.81034483] ; [ 3.81034483 13.18965517],1
s4,1,0.008621,6.899719,[ 6 35] ; [8 9],[ 9.89655172 31.10344828] ; [ 4.10344828 12.89655172],0
s3,1,0.01359,6.090622,[14 26] ; [12  5],[18.24561404 21.75438596] ; [7.75438596 9.24561404],0
u3,1,0.027056,4.887218,[ 7 12] ; [6 1],[9.5 9.5] ; [3.5 3.5],0
u2,1,0.027056,4.887218,[ 7 12] ; [6 1],[9.5 9.5] ; [3.5 3.5],0
p4,1,0.065585,3.390209,[11 29] ; [9 8],[14.03508772 25.96491228] ; [ 5.96491228 11.03508772],0
v2,1,0.072711,3.220737,[ 9 30] ; [8 9],[11.83928571 27.16071429] ; [ 5.16071429 11.83928571],0
n5,1,0.074295,3.185487,[25 16] ; [ 6 11],[21.9137931 19.0862069] ; [9.0862069 7.9137931],0
r3,1,0.075516,3.15886,[21 20] ; [13  4],[24.03448276 16.96551724] ; [9.96551724 7.03448276],0
d4,1,0.105969,2.613326,[22 19] ; [13  4],[24.74137931 16.25862069] ; [10.25862069  6.74137931],0
d1,1,0.135124,2.232622,[11 30] ; [8 9],[13.43103448 27.56896552] ; [ 5.56896552 11.43103448],0
r4,1,0.135925,2.223492,[ 9 32] ; [ 7 10],[11.31034483 29.68965517] ; [ 4.68965517 12.31034483],0
d3,1,0.137744,2.202987,[15 25] ; [10  7],[17.54385965 22.45614035] ; [7.45614035 9.54385965],0
p10,1,0.146185,2.111614,[17 22] ; [11  6],[19.5 19.5] ; [8.5 8.5],0
n2,1,0.151623,2.05585,[10  7] ; [7 1],[11.56  5.44] ; [5.44 2.56],0
v1,1,0.158225,1.991111,[12 28] ; [8 8],[14.28571429 25.71428571] ; [ 5.71428571 10.28571429],0
b4,1,0.167551,1.904715,[16 25] ; [10  7],[18.37931034 22.62068966] ; [7.62068966 9.37931034],0
p6,1,0.173477,1.852638,[ 7 31] ; [ 6 11],[ 8.98181818 29.01818182] ; [ 4.01818182 12.98181818],0
d5,1,0.175154,1.838268,[21 20] ; [12  5],[23.32758621 17.67241379] ; [9.67241379 7.32758621],0
n1,1,0.221433,1.495062,[7 9] ; [5 2],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
a2,1,0.239654,1.382629,[ 3 38] ; [ 3 14],[ 4.24137931 36.75862069] ; [ 1.75862069 15.24137931],0
p3,1,0.240171,1.379588,[ 8 31] ; [ 6 11],[ 9.75 29.25] ; [ 4.25 12.75],0
a1,1,0.260578,1.265681,[ 7 34] ; [ 1 16],[ 5.65517241 35.34482759] ; [ 2.34482759 14.65517241],0
p7,1,0.269133,1.221161,[16 24] ; [9 7],[17.85714286 22.14285714] ; [7.14285714 8.85714286],0
p2,1,0.270005,1.216723,[19 20] ; [11  6],[20.89285714 18.10714286] ; [9.10714286 7.89285714],0
r2,1,0.283679,1.149381,[26 14] ; [12  3],[27.63636364 12.36363636] ; [10.36363636  4.63636364],0
p11,1,0.300612,1.071476,[18 23] ; [10  7],[19.79310345 21.20689655] ; [8.20689655 8.79310345],0
v4,1,0.318806,0.993837,[25 16] ; [12  4],[26.61403509 14.38596491] ; [10.38596491  5.61403509],0
a6,1,0.347178,0.883746,[21 20] ; [11  6],[22.62068966 18.37931034] ; [9.37931034 7.62068966],0
p9,1,0.448362,0.57479,[24 16] ; [12  5],[25.26315789 14.73684211] ; [10.73684211  6.26315789],0
b5,1,0.48598,0.485414,[20 21] ; [10  7],[21.20689655 19.79310345] ; [8.79310345 8.20689655],0
u1,1,0.512993,0.427957,[ 1 40] ; [ 1 16],[ 1.4137931 39.5862069] ; [ 0.5862069 16.4137931],0
a8,1,0.534236,0.386327,[ 3 38] ; [ 2 14],[ 3.59649123 37.40350877] ; [ 1.40350877 14.59649123],0
b2,1,0.575731,0.313187,[ 9 15] ; [ 4 10],[ 8.21052632 15.78947368] ; [4.78947368 9.21052632],0
b3,1,0.575731,0.313187,[ 9 15] ; [ 4 10],[ 8.21052632 15.78947368] ; [4.78947368 9.21052632],0
