Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,81.100716,[ 43 224] ; [147 131],[ 93.08256881 173.91743119] ; [ 96.91743119 181.08256881],1
r3,1,0.0,33.454243,[227  46] ; [277   7],[247.02333932  25.97666068] ; [256.97666068  27.02333932],1
r1,1,0.0,31.307078,[176  96] ; [242  42],[204.48920863  67.51079137] ; [213.51079137  70.48920863],1
v1,1,1e-06,25.025198,[ 89 180] ; [151 127],[118.02559415 150.97440585] ; [121.97440585 156.02559415],1
d1,1,2e-06,23.11021,[112 162] ; [175 111],[140.425 133.575] ; [146.575 139.425],1
p11,1,4.4e-05,16.700005,[176  98] ; [228  58],[197.67142857  76.32857143] ; [206.32857143  79.67142857],1
d4,1,5.1e-05,16.399141,[193  80] ; [242  43],[212.82258065  60.17741935] ; [222.17741935  62.82258065],1
d5,1,9.3e-05,15.271901,[190  83] ; [239  47],[209.51162791  63.48837209] ; [219.48837209  66.51162791],1
p10,1,0.000222,13.63137,[176  96] ; [223  60],[195.54594595  76.45405405] ; [203.45405405  79.54594595],1
a5,1,0.000277,13.221957,[170 104] ; [218  68],[189.84285714  84.15714286] ; [198.15714286  87.84285714],1
r4,1,0.000613,11.737289,[209  65] ; [250  36],[224.58214286  49.41785714] ; [234.41785714  51.58214286],1
r2,1,0.000787,11.271533,[236  36] ; [265  14],[247.31760436  24.68239564] ; [253.68239564  25.31760436],1
d3,1,0.000905,11.011982,[155 118] ; [201  85],[173.86046512  99.13953488] ; [182.13953488 103.86046512],1
p9,1,0.001061,10.7187,[184  84] ; [227  54],[200.63387978  67.36612022] ; [210.36612022  70.63387978],0
p7,1,0.001489,10.092274,[111 158] ; [154 127],[129.60909091 139.39090909] ; [135.39090909 145.60909091],0
s7,1,0.003031,8.788497,[ 81 176] ; [121 154],[ 97.58270677 159.41729323] ; [104.41729323 170.58270677],0
s8,1,0.003227,8.674539,[ 74 200] ; [110 174],[ 90.35125448 183.64874552] ; [ 93.64874552 190.35125448],0
n6,1,0.004021,8.274433,[198  75] ; [234  49],[212.11510791  60.88489209] ; [219.88489209  63.11510791],0
v4,1,0.004709,7.987791,[236  37] ; [264  18],[245.94594595  27.05405405] ; [254.05405405  27.94594595],0
s1,1,0.004859,7.931218,[ 16 255] ; [  4 277],[  9.81884058 261.18115942] ; [ 10.18115942 270.81884058],0
