Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3.7e-05,17.019882,[ 4 46] ; [16 18],[11.9047619 38.0952381] ; [ 8.0952381 25.9047619],1
s8,1,0.000541,11.969902,[ 4 49] ; [14 24],[10.48351648 42.51648352] ; [ 7.51648352 30.48351648],1
s6,1,0.001071,10.699847,[11 42] ; [20 17],[18.25555556 34.74444444] ; [12.74444444 24.25555556],0
v3,1,0.003289,8.64,[ 8 41] ; [16 19],[14. 35.] ; [10. 25.],0
v2,1,0.008415,6.942988,[14 37] ; [19 15],[19.8 31.2] ; [13.2 20.8],0
p9,1,0.009099,6.803375,[22 30] ; [26 11],[28.04494382 23.95505618] ; [19.95505618 17.04494382],0
s2,1,0.013341,6.123356,[12 41] ; [18 20],[17.47252747 35.52747253] ; [12.52747253 25.47252747],0
p10,1,0.023696,5.116738,[17 35] ; [21 16],[22.20224719 29.79775281] ; [15.79775281 21.20224719],0
p11,1,0.030833,4.662229,[16 37] ; [20 18],[20.96703297 32.03296703] ; [15.03296703 22.96703297],0
s5,1,0.060038,3.536327,[ 5 44] ; [ 9 26],[ 8.16666667 40.83333333] ; [ 5.83333333 29.16666667],0
p6,1,0.100499,2.697603,[ 3 50] ; [ 6 31],[ 5.3 47.7] ; [ 3.7 33.3],0
p2,1,0.106994,2.598064,[23 30] ; [23 15],[26.79120879 26.20879121] ; [19.20879121 18.79120879],0
d5,1,0.127552,2.322045,[34 19] ; [30  8],[37.27472527 15.72527473] ; [26.72527473 11.27472527],0
u2,1,0.134328,2.241758,[ 9 12] ; [9 4],[11.11764706  9.88235294] ; [6.88235294 6.11764706],0
s3,1,0.142898,2.146472,[18 34] ; [19 19],[21.37777778 30.62222222] ; [15.62222222 22.37777778],0
p3,1,0.152318,2.048882,[ 9 44] ; [11 26],[11.77777778 41.22222222] ; [ 8.22222222 28.77777778],0
n3,1,0.153508,2.037037,[11 11] ; [13  5],[13.2  8.8] ; [10.8  7.2],0
u3,1,0.163187,1.944444,[10 11] ; [10  4],[12.  9.] ; [8. 6.],0
a5,1,0.187349,1.738341,[29 24] ; [26 12],[32.03296703 20.96703297] ; [22.96703297 15.03296703],0
b3,1,0.200751,1.636905,[11 19] ; [11  9],[13.2 16.8] ; [ 8.8 11.2],0
b2,1,0.200751,1.636905,[11 19] ; [11  9],[13.2 16.8] ; [ 8.8 11.2],0
v4,1,0.203754,1.61526,[35 18] ; [29  8],[37.68888889 15.31111111] ; [26.31111111 10.68888889],0
a6,1,0.269911,1.217201,[34 19] ; [20 18],[31.45054945 21.54945055] ; [22.54945055 15.45054945],0
n2,1,0.280087,1.166667,[12 12] ; [12  6],[13.71428571 10.28571429] ; [10.28571429  7.71428571],0
r4,1,0.292897,1.106259,[32 21] ; [27 11],[34.36263736 18.63736264] ; [24.63736264 13.36263736],0
a1,1,0.314228,1.012823,[ 6 47] ; [ 2 36],[ 4.65934066 48.34065934] ; [ 3.34065934 34.65934066],0
d4,1,0.329381,0.951331,[37 16] ; [30  8],[39.02197802 13.97802198] ; [27.97802198 10.02197802],0
r3,1,0.329381,0.951331,[37 16] ; [30  8],[39.02197802 13.97802198] ; [27.97802198 10.02197802],0
b1,1,0.358154,0.844357,[20 33] ; [18 20],[22.13186813 30.86813187] ; [15.86813187 22.13186813],0
p1,1,0.377108,0.780109,[ 5 47] ; [ 6 32],[ 6.35555556 45.64444444] ; [ 4.64444444 33.35555556],0
b5,1,0.404941,0.693605,[26 27] ; [22 16],[27.95604396 25.04395604] ; [20.04395604 17.95604396],0
s1,1,0.40757,0.685878,[ 2 50] ; [ 3 35],[ 2.88888889 49.11111111] ; [ 2.11111111 35.88888889],0
d1,1,0.461521,0.542205,[21 32] ; [18 20],[22.71428571 30.28571429] ; [16.28571429 21.71428571],0
d3,1,0.465714,0.532127,[28 25] ; [23 15],[29.7032967 23.2967033] ; [21.2967033 16.7032967],0
u1,1,0.487009,0.483128,[ 3 50] ; [ 1 37],[ 2.32967033 50.67032967] ; [ 1.67032967 36.32967033],0
r2,1,0.503068,0.448458,[44  8] ; [34  4],[45.06666667  6.93333333] ; [32.93333333  5.06666667],0
d2,1,0.530186,0.394035,[23 30] ; [14 24],[21.54945055 31.45054945] ; [15.45054945 22.54945055],0
n5,1,0.544108,0.367979,[20 33] ; [12 26],[18.63736264 34.36263736] ; [13.36263736 24.63736264],0
a7,1,0.545199,0.365988,[34 19] ; [22 16],[32.61538462 20.38461538] ; [23.38461538 14.61538462],0
r1,1,0.624811,0.239163,[33 19] ; [26 12],[34.08888889 17.91111111] ; [24.91111111 13.08888889],0
a8,1,0.656795,0.19744,[ 3 48] ; [ 3 33],[ 3.51724138 47.48275862] ; [ 2.48275862 33.51724138],0
p8,1,0.702631,0.145749,[ 8 44] ; [ 7 31],[ 8.66666667 43.33333333] ; [ 6.33333333 31.66666667],0
s4,1,0.794604,0.067776,[ 8 45] ; [ 5 33],[ 7.57142857 45.42857143] ; [ 5.42857143 32.57142857],0
a4,1,0.812057,0.056536,[21 32] ; [16 22],[21.54945055 31.45054945] ; [15.45054945 22.54945055],0
n1,1,0.829384,0.046437,[11 12] ; [ 8 10],[10.65853659 12.34146341] ; [8.34146341 9.65853659],0
p4,1,0.856754,0.032583,[12 41] ; [ 8 30],[11.64835165 41.35164835] ; [ 8.35164835 29.64835165],0
a3,1,0.87563,0.024496,[32 20] ; [24 14],[32.35555556 19.64444444] ; [23.64444444 14.35555556],0
b4,1,0.902325,0.015061,[30 23] ; [22 16],[30.28571429 22.71428571] ; [21.71428571 16.28571429],0
n4,1,0.929266,0.00788,[27 26] ; [19 19],[26.79120879 26.20879121] ; [19.20879121 18.79120879],0
a2,1,0.994492,4.8e-05,[ 7 46] ; [ 5 33],[ 6.98901099 46.01098901] ; [ 5.01098901 32.98901099],0
