Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,2.8e-05,17.562135,[ 1 11] ; [29  9],[7.2 4.8] ; [22.8 15.2],1
r2,1,0.000286,13.159556,[7 5] ; [37  1],[10.56  1.44] ; [33.44  4.56],1
a5,1,0.004302,8.151771,[ 1 11] ; [21 17],[5.28 6.72] ; [16.72 21.28],0
s6,1,0.008422,6.941476,[ 1 11] ; [19 18],[4.89795918 7.10204082] ; [15.10204082 21.89795918],0
n2,1,0.009195,6.784615,[2 4] ; [11  1],[4.33333333 1.66666667] ; [8.66666667 3.33333333],0
v4,1,0.009636,6.700916,[8 3] ; [36  1],[10.08333333  0.91666667] ; [33.91666667  3.08333333],0
v1,1,0.038696,4.274165,[ 1 11] ; [15 22],[3.91836735 8.08163265] ; [12.08163265 24.91836735],0
u3,1,0.043047,4.093567,[2 7] ; [12  7],[4.5 4.5] ; [9.5 9.5],0
s3,1,0.060395,3.526515,[2 9] ; [19 19],[4.71428571 6.28571429] ; [16.28571429 21.71428571],0
s8,1,0.081775,3.029275,[ 1 11] ; [13 25],[3.36 8.64] ; [10.64 27.36],0
p8,1,0.099414,2.714919,[8 4] ; [15 23],[5.52 6.48] ; [17.48 20.52],0
a6,1,0.099414,2.714919,[4 8] ; [23 15],[6.48 5.52] ; [20.52 17.48],0
a3,1,0.128271,2.313312,[3 9] ; [19 19],[5.28 6.72] ; [16.72 21.28],0
p6,1,0.189873,1.718603,[ 1 11] ; [10 28],[2.64 9.36] ; [ 8.36 29.64],0
n3,1,0.210209,1.569986,[4 2] ; [10  1],[4.94117647 1.05882353] ; [9.05882353 1.94117647],0
a7,1,0.21251,1.554242,[5 7] ; [23 14],[6.85714286 5.14285714] ; [21.14285714 15.85714286],0
b4,1,0.243403,1.360774,[8 4] ; [18 20],[6.24 5.76] ; [19.76 18.24],0
p3,1,0.247621,1.336675,[ 2 10] ; [13 25],[3.6 8.4] ; [11.4 26.6],0
v3,1,0.274722,1.193017,[ 1 10] ; [ 9 28],[2.29166667 8.70833333] ; [ 7.70833333 29.29166667],0
b5,1,0.325915,0.965061,[6 6] ; [25 13],[7.44 4.56] ; [23.56 14.44],0
b3,1,0.36131,0.833333,[2 4] ; [ 4 20],[1.2 4.8] ; [ 4.8 19.2],0
b2,1,0.36131,0.833333,[2 4] ; [ 4 20],[1.2 4.8] ; [ 4.8 19.2],0
d2,1,0.405985,0.690528,[ 1 11] ; [ 7 31],[ 1.92 10.08] ; [ 6.08 31.92],0
v2,1,0.416871,0.659119,[3 9] ; [14 23],[4.16326531 7.83673469] ; [12.83673469 24.16326531],0
d5,1,0.416871,0.659119,[3 9] ; [14 23],[4.16326531 7.83673469] ; [12.83673469 24.16326531],0
n4,1,0.450282,0.569941,[3 9] ; [14 24],[4.08 7.92] ; [12.92 25.08],0
p9,1,0.456344,0.554846,[6 6] ; [23 14],[7.10204082 4.89795918] ; [21.89795918 15.10204082],0
n1,1,0.45675,0.553846,[1 5] ; [4 8],[1.66666667 4.33333333] ; [3.33333333 8.66666667],0
u2,1,0.48338,0.491228,[3 6] ; [ 9 10],[3.85714286 5.14285714] ; [ 8.14285714 10.85714286],0
p4,1,0.485336,0.486849,[4 8] ; [17 21],[5.04 6.96] ; [15.96 22.04],0
p10,1,0.508923,0.436281,[5 6] ; [21 16],[5.95833333 5.04166667] ; [20.04166667 16.95833333],0
s2,1,0.515316,0.423257,[3 9] ; [13 24],[3.91836735 8.08163265] ; [12.08163265 24.91836735],0
b1,1,0.519528,0.41483,[6 6] ; [15 23],[5.04 6.96] ; [15.96 22.04],0
p2,1,0.580636,0.305207,[9 2] ; [28 10],[8.30612245 2.69387755] ; [28.69387755  9.30612245],0
s5,1,0.614295,0.253968,[ 1 11] ; [ 5 31],[ 1.5 10.5] ; [ 4.5 31.5],0
p1,1,0.674975,0.175837,[2 9] ; [ 5 33],[1.57142857 9.42857143] ; [ 5.42857143 32.57142857],0
s1,1,0.696233,0.15242,[ 1 11] ; [ 2 36],[ 0.72 11.28] ; [ 2.28 35.72],0
n6,1,0.825283,0.048733,[8 4] ; [24 14],[7.68 4.32] ; [24.32 13.68],0
a8,1,0.849162,0.036171,[ 1 10] ; [ 4 32],[1.17021277 9.82978723] ; [ 3.82978723 32.17021277],0
d3,1,0.953884,0.003344,[4 8] ; [12 25],[3.91836735 8.08163265] ; [12.08163265 24.91836735],0
p11,1,0.955404,0.003127,[8 4] ; [25 13],[7.92 4.08] ; [25.08 12.92],0
p7,1,0.966384,0.001776,[6 5] ; [21 17],[6.06122449 4.93877551] ; [20.93877551 17.06122449],0
