Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,104.85825,[209  92] ; [ 5 77],[168.18276762 132.81723238] ; [45.81723238 36.18276762],1
d4,1,0.0,48.133679,[269  31] ; [46 35],[248.03149606  51.96850394] ; [66.96850394 14.03149606],1
a4,1,1.9e-05,18.283635,[148 153] ; [18 62],[131.14435696 169.85564304] ; [34.85564304 45.14435696],1
a5,1,2.2e-05,18.046829,[227  74] ; [42 40],[211.4073107  89.5926893] ; [57.5926893 24.4073107],1
d2,1,3.2e-05,17.303849,[150 149] ; [20 62],[133.41207349 165.58792651] ; [36.58792651 45.41207349],1
d3,1,0.000469,12.236416,[225  76] ; [45 37],[212.19321149  88.80678851] ; [57.80678851 24.19321149],1
r3,1,0.000761,11.334469,[288   9] ; [72 10],[282.11081794  14.88918206] ; [77.88918206  4.11081794],1
a2,1,0.001128,10.603933,[ 76 225] ; [ 7 75],[ 65.22976501 235.77023499] ; [17.77023499 64.22976501],0
a3,1,0.002148,9.41863,[216  85] ; [43 37],[204.6167979  96.3832021] ; [54.3832021 25.6167979],0
r2,1,0.00519,7.812025,[287  10] ; [73  9],[282.11081794  14.88918206] ; [77.88918206  4.11081794],0
s1,1,0.006827,7.317987,[  9 285] ; [ 8 70],[ 13.43548387 280.56451613] ; [ 3.56451613 74.43548387],0
v2,1,0.00748,7.153973,[163 121] ; [31 46],[152.62049861 131.37950139] ; [41.37950139 35.62049861],0
a7,1,0.018736,5.525968,[229  71] ; [52 30],[220.68062827  79.31937173] ; [60.31937173 21.68062827],0
u1,1,0.018845,5.515866,[ 49 252] ; [ 5 77],[ 42.4386423 258.5613577] ; [11.5613577 70.4386423],0
n4,1,0.020598,5.360475,[221  79] ; [49 32],[212.5984252  87.4015748] ; [57.4015748 23.5984252],0
p9,1,0.022778,5.185363,[231  62] ; [54 27],[223.27540107  69.72459893] ; [61.72459893 19.27540107],0
