Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,86.025625,[137   3] ; [23 33],[114.28571429  25.71428571] ; [45.71428571 10.28571429],1
v4,1,0.0,55.575285,[133   5] ; [29 26],[115.83419689  22.16580311] ; [46.16580311  8.83419689],1
r2,1,0.0,55.29871,[133   6] ; [27 26],[115.83333333  23.16666667] ; [44.16666667  8.83333333],1
r1,1,0.0,46.694118,[112  28] ; [16 40],[91.42857143 48.57142857] ; [36.57142857 19.42857143],1
p11,1,0.0,27.010159,[111  29] ; [23 33],[95.71428571 44.28571429] ; [38.28571429 17.71428571],1
p9,1,4.2e-05,16.799092,[108  31] ; [25 28],[96.28645833 42.71354167] ; [36.71354167 16.28645833],1
d5,1,0.00011,14.956181,[99 41] ; [23 33],[87.14285714 52.85714286] ; [34.85714286 21.14285714],1
s8,1,0.000281,13.194592,[58 82] ; [ 8 48],[47.14285714 92.85714286] ; [18.85714286 37.14285714],1
p10,1,0.000344,12.813609,[101  38] ; [25 30],[90.27835052 48.72164948] ; [35.72164948 19.27835052],1
a5,1,0.000398,12.539832,[98 42] ; [24 32],[87.14285714 52.85714286] ; [34.85714286 21.14285714],1
s6,1,0.000407,12.499325,[80 57] ; [17 39],[68.85492228 68.14507772] ; [28.14507772 27.85492228],1
v3,1,0.000651,11.623024,[52 79] ; [ 8 48],[42.03208556 88.96791444] ; [17.96791444 38.03208556],1
v2,1,0.000986,10.853914,[67 66] ; [13 41],[56.89839572 76.10160428] ; [23.10160428 30.89839572],1
u2,1,0.003244,8.664615,[24 16] ; [ 6 20],[18.18181818 21.81818182] ; [11.81818182 14.18181818],0
n2,1,0.003748,8.401989,[33  7] ; [15 15],[27.42857143 12.57142857] ; [20.57142857  9.42857143],0
p3,1,0.004735,7.977941,[61 79] ; [12 43],[52.41025641 87.58974359] ; [20.58974359 34.41025641],0
p2,1,0.004805,7.951439,[101  39] ; [28 27],[92.61538462 47.38461538] ; [36.38461538 18.61538462],0
s3,1,0.005922,7.573903,[77 62] ; [18 36],[68.41968912 70.58031088] ; [26.58031088 27.41968912],0
p7,1,0.00718,7.227288,[71 68] ; [16 38],[62.65803109 76.34196891] ; [24.34196891 29.65803109],0
s5,1,0.00893,6.836862,[44 90] ; [ 8 48],[36.67368421 97.32631579] ; [15.32631579 40.67368421],0
n6,1,0.009157,6.791859,[111  28] ; [34 21],[103.89175258  35.10824742] ; [41.10824742 13.89175258],0
n3,1,0.014495,5.976851,[30  9] ; [14 15],[25.23529412 13.76470588] ; [18.76470588 10.23529412],0
a6,1,0.01832,5.565305,[71 69] ; [18 38],[63.57142857 76.42857143] ; [25.42857143 30.57142857],0
b1,1,0.018664,5.53277,[59 81] ; [34 22],[66.42857143 73.57142857] ; [26.57142857 29.42857143],0
v1,1,0.020925,5.333031,[70 67] ; [18 37],[62.79166667 74.20833333] ; [25.20833333 29.79166667],0
a1,1,0.023923,5.100215,[  4 136] ; [ 6 50],[  7.14285714 132.85714286] ; [ 2.85714286 53.14285714],0
a3,1,0.031777,4.61051,[99 41] ; [30 25],[92.61538462 47.38461538] ; [36.38461538 18.61538462],0
d4,1,0.035245,4.433251,[101  38] ; [32 24],[94.80512821 44.19487179] ; [38.19487179 17.80512821],0
a4,1,0.035722,4.410327,[61 79] ; [15 40],[54.56410256 85.43589744] ; [21.43589744 33.56410256],0
a8,1,0.037077,4.346879,[ 15 116] ; [ 1 52],[ 11.39130435 119.60869565] ; [ 4.60869565 48.39130435],0
a2,1,0.03917,4.253472,[ 15 125] ; [ 1 55],[ 11.42857143 128.57142857] ; [ 4.57142857 51.42857143],0
p8,1,0.042221,4.126316,[51 89] ; [12 44],[45. 95.] ; [18. 38.],0
d1,1,0.045118,4.014222,[59 81] ; [15 41],[52.85714286 87.14285714] ; [21.14285714 34.85714286],0
p5,1,0.051131,3.803982,[ 14 124] ; [ 1 54],[ 10.7253886 127.2746114] ; [ 4.2746114 50.7253886],0
s2,1,0.05393,3.714873,[60 78] ; [16 40],[54.06185567 83.93814433] ; [21.93814433 34.06185567],0
u3,1,0.055017,3.681558,[19 22] ; [ 6 20],[15.29850746 25.70149254] ; [ 9.70149254 16.29850746],0
s7,1,0.060552,3.522187,[57 75] ; [15 38],[51.37297297 80.62702703] ; [20.62702703 32.37297297],0
p4,1,0.115816,2.473015,[60 79] ; [17 38],[55.17010309 83.82989691] ; [21.82989691 33.17010309],0
n4,1,0.132602,2.261778,[102  37] ; [35 21],[97.65641026 41.34358974] ; [39.34358974 16.65641026],0
p1,1,0.219492,1.507692,[  8 132] ; [ 6 50],[ 10. 130.] ; [ 4. 52.],0
u1,1,0.235197,1.40915,[  8 132] ; [ 1 55],[  6.42857143 133.57142857] ; [ 2.57142857 53.42857143],0
s1,1,0.306122,1.047333,[  7 132] ; [ 5 51],[  8.55384615 130.44615385] ; [ 3.44615385 52.55384615],0
n5,1,0.321549,0.982636,[101  37] ; [37 19],[98.16494845 39.83505155] ; [39.83505155 16.16494845],0
d3,1,0.378418,0.775833,[57 83] ; [19 37],[54.28571429 85.71428571] ; [21.71428571 34.28571429],0
n1,1,0.386831,0.748881,[17 22] ; [10 20],[15.26086957 23.73913043] ; [11.73913043 18.26086957],0
b5,1,0.618782,0.247583,[68 72] ; [25 31],[66.42857143 73.57142857] ; [26.57142857 29.42857143],0
d2,1,0.657779,0.196233,[63 76] ; [23 32],[61.6185567 77.3814433] ; [24.3814433 30.6185567],0
b4,1,0.785257,0.074242,[78 62] ; [30 26],[77.14285714 62.85714286] ; [30.85714286 25.14285714],0
s4,1,0.809202,0.058301,[ 23 117] ; [10 46],[ 23.57142857 116.42857143] ; [ 9.42857143 46.57142857],0
b2,1,0.870424,0.026608,[33 54] ; [15 23],[33.408 53.592] ; [14.592 23.408],0
b3,1,0.870424,0.026608,[33 54] ; [15 23],[33.408 53.592] ; [14.592 23.408],0
