Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,27.676122,[277   8] ; [8 4],[273.48484848  11.51515152] ; [11.51515152  0.48484848],1
r4,1,7e-06,20.322566,[269  18] ; [7 5],[264.92307692  22.07692308] ; [11.07692308  0.92307692],1
a7,1,0.004264,8.167963,[204  80] ; [4 8],[199.56756757  84.43243243] ; [8.43243243 3.56756757],0
r1,1,0.016117,5.790108,[242  44] ; [7 5],[238.97315436  47.02684564] ; [10.02684564  1.97315436],0
v1,1,0.044525,4.036543,[196  87] ; [5 7],[192.82372881  90.17627119] ; [8.17627119 3.82372881],0
a6,1,0.046844,3.950975,[196  88] ; [5 7],[192.85135135  91.14864865] ; [8.14864865 3.85135135],0
a4,1,0.071239,3.25424,[147 138] ; [3 9],[143.93939394 141.06060606] ; [6.06060606 5.93939394],0
a5,1,0.075475,3.15975,[228  58] ; [7 5],[225.53691275  60.46308725] ; [9.46308725 2.53691275],0
a3,1,0.099827,2.708303,[223  61] ; [7 5],[220.67567568  63.32432432] ; [9.32432432 2.67567568],0
a2,1,0.130263,2.289368,[ 81 206] ; [ 1 11],[ 78.7090301 208.2909699] ; [3.2909699 8.7090301],0
p5,1,0.167022,1.909469,[ 50 234] ; [4 8],[ 51.81081081 232.18918919] ; [2.18918919 9.81081081],0
p3,1,0.171896,1.866326,[173 109] ; [5 7],[170.73469388 111.26530612] ; [7.26530612 4.73469388],0
s8,1,0.175159,1.838225,[155 126] ; [9 3],[157.28327645 123.71672355] ; [6.71672355 5.28327645],0
n3,1,0.251346,1.315804,[36  8] ; [3 2],[35.02040816  8.97959184] ; [3.97959184 1.02040816],0
n2,1,0.251346,1.315804,[36  8] ; [3 2],[35.02040816  8.97959184] ; [3.97959184 1.02040816],0
u3,1,0.271499,1.209159,[35 29] ; [4 1],[36.17391304 27.82608696] ; [2.82608696 2.17391304],0
s1,1,0.280743,1.16349,[  8 273] ; [ 1 11],[  8.63139932 272.36860068] ; [ 0.36860068 11.63139932],0
n6,1,0.322165,0.980135,[261  24] ; [10  2],[260.05050505  24.94949495] ; [10.94949495  1.05050505],0
s5,1,0.327442,0.958987,[107 167] ; [3 9],[105.38461538 168.61538462] ; [4.61538462 7.38461538],0
d3,1,0.351234,0.868992,[202  83] ; [7 5],[200.55555556  84.44444444] ; [8.44444444 3.55555556],0
v2,1,0.352275,0.865244,[221  62] ; [8 4],[219.68474576  63.31525424] ; [9.31525424 2.68474576],0
s2,1,0.402886,0.699697,[164 118] ; [5 6],[162.6552901 119.3447099] ; [6.3447099 4.6552901],0
d4,1,0.416681,0.659657,[234  49] ; [11  1],[235.03389831  47.96610169] ; [9.96610169 2.03389831],0
s7,1,0.436847,0.604551,[166 101] ; [5 5],[164.8267148 102.1732852] ; [6.1732852 3.8267148],0
